Customer_ID,Gender,Age,Tenure_Months,Monthly_Charges,Total_Charges,Contract_Type,Internet_Service,Payment_Method,Support_Calls,Late_Payments,Usage_Hours,Discount,Churn
CUST-00043,Female,31.0,26.0,64.64,1728.21,Two year,No,Mailed check,2.0,2.0,132.7,29.1,0
CUST-00044,Female,43.0,3.0,99.84,281.19,Month-to-month,DSL,Bank transfer (automatic),3.0,2.0,171.6,7.6,1
CUST-00045,Female,45.0,41.0,102.24,4106.65,Month-to-month,No,Credit card (automatic),2.0,0.0,267.7,14.6,0
CUST-00046,Female,40.0,60.0,105.76,6299.38,Month-to-month,No,Bank transfer (automatic),1.0,0.0,104.6,15.0,0
CUST-00047,Female,31.0,14.0,111.66,1641.38,Two year,DSL,Electronic check,0.0,0.0,48.7,7.2,0
CUST-00048,Male,41.0,12.0,63.1,743.5,Month-to-month,DSL,Credit card (automatic),0.0,0.0,151.9,17.7,1
CUST-00049,Female,19.0,12.0,51.89,610.51,Month-to-month,Fiber optic,Mailed check,0.0,2.0,226.5,13.3,0
CUST-00051,Male,43.0,25.0,57.12,1523.21,Month-to-month,Fiber optic,Electronic check,2.0,0.0,133.2,10.9,0
CUST-00052,Female,31.0,45.0,80.11,3686.25,One year,Fiber optic,Credit card (automatic),2.0,2.0,15.2,0.5,0
CUST-00053,Male,73.0,19.0,90.56,1831.58,One year,Fiber optic,Mailed check,2.0,0.0,19.7,15.7,0
CUST-00054,Female,68.0,55.0,88.84,4878.25,Month-to-month,Fiber optic,Credit card (automatic),1.0,0.0,150.1,10.1,0
CUST-00055,Male,24.0,45.0,57.46,2600.48,Month-to-month,DSL,Mailed check,1.0,0.0,96.5,0.0,0
CUST-00056,Female,20.0,8.0,36.69,217.69,Month-to-month,Fiber optic,Electronic check,2.0,1.0,255.1,9.2,1
CUST-00057,Female,64.0,53.0,63.05,3415.5,Month-to-month,DSL,Bank transfer (automatic),0.0,0.0,184.6,8.4,0
CUST-00058,Male,40.0,55.0,34.26,1825.91,Month-to-month,DSL,Electronic check,1.0,2.0,141.6,11.8,0
CUST-00059,Male,63.0,32.0,109.01,3499.16,One year,Fiber optic,Bank transfer (automatic),3.0,1.0,128.3,4.0,1
CUST-00061,Male,64.0,44.0,35.45,1530.36,Two year,DSL,Mailed check,0.0,0.0,21.7,20.8,0
CUST-00062,Male,62.0,70.0,22.54,1535.94,Two year,Fiber optic,Credit card (automatic),1.0,2.0,268.9,18.9,0
CUST-00063,Male,35.0,18.0,84.58,1492.05,One year,Fiber optic,Mailed check,1.0,1.0,299.5,24.1,0
CUST-00064,Male,55.0,22.0,83.69,1814.22,One year,DSL,Electronic check,0.0,1.0,62.6,13.6,0
CUST-00065,Male,52.0,37.0,54.06,1972.81,Month-to-month,DSL,Credit card (automatic),2.0,1.0,44.9,15.6,1
CUST-00066,Female,68.0,56.0,27.17,1563.19,One year,No,Bank transfer (automatic),2.0,1.0,51.6,24.3,0
CUST-00067,Female,32.0,59.0,60.96,3541.4,Month-to-month,Fiber optic,Bank transfer (automatic),2.0,2.0,201.7,12.8,0
CUST-00068,Male,42.0,3.0,51.12,164.39,Month-to-month,Fiber optic,Electronic check,0.0,1.0,201.8,21.0,0
CUST-00069,Female,72.0,28.0,87.71,2516.78,One year,Fiber optic,Credit card (automatic),3.0,2.0,255.9,13.0,1
CUST-00070,Female,54.0,35.0,80.58,2794.64,Month-to-month,DSL,Electronic check,0.0,1.0,228.0,12.5,0
CUST-00071,Female,45.0,61.0,56.46,3408.16,Month-to-month,Fiber optic,Electronic check,2.0,2.0,140.4,22.8,0
CUST-00072,Female,27.0,54.0,41.79,2245.13,Two year,Fiber optic,Mailed check,3.0,1.0,187.7,5.2,0
CUST-00073,Male,56.0,63.0,118.8,7543.39,Month-to-month,Fiber optic,Electronic check,4.0,0.0,209.6,10.2,1
CUST-00074,Female,74.0,7.0,65.4,467.51,Month-to-month,DSL,Credit card (automatic),2.0,1.0,158.7,6.7,1
CUST-00075,Male,34.0,49.0,88.83,4326.11,Two year,DSL,Electronic check,1.0,1.0,147.9,10.8,0
CUST-00076,Female,56.0,31.0,34.06,1080.05,One year,DSL,Credit card (automatic),1.0,0.0,197.1,6.9,1
CUST-00077,Female,39.0,58.0,68.56,3921.37,Month-to-month,No,Bank transfer (automatic),5.0,1.0,171.7,17.4,0
CUST-00078,Female,43.0,61.0,22.75,1421.82,Month-to-month,Fiber optic,Electronic check,3.0,1.0,196.7,23.9,0
CUST-00079,Male,61.0,24.0,70.55,1713.63,Month-to-month,Fiber optic,Credit card (automatic),3.0,0.0,187.7,23.6,1
CUST-00080,Female,42.0,20.0,116.4,2312.61,Two year,DSL,Bank transfer (automatic),1.0,0.0,218.6,10.9,0
CUST-00081,Male,34.0,37.0,58.42,2119.61,One year,DSL,Credit card (automatic),0.0,0.0,196.4,29.7,0
CUST-00082,Female,30.0,4.0,23.9,51.27,Month-to-month,Fiber optic,Bank transfer (automatic),1.0,1.0,160.7,17.8,0
CUST-00083,Male,37.0,20.0,23.1,488.74,Month-to-month,Fiber optic,Mailed check,2.0,2.0,207.7,12.0,0
CUST-00084,Female,42.0,60.0,58.8,3589.45,Month-to-month,Fiber optic,Electronic check,2.0,1.0,140.3,25.1,0
CUST-00085,Male,21.0,24.0,36.0,832.13,Two year,DSL,Electronic check,0.0,0.0,80.1,21.9,0
CUST-00087,Female,20.0,49.0,95.62,4581.03,One year,DSL,Mailed check,2.0,1.0,172.4,5.9,0
CUST-00088,Male,58.0,51.0,65.85,3329.12,Month-to-month,DSL,Credit card (automatic),3.0,0.0,181.3,14.0,0
CUST-00089,Female,62.0,36.0,48.92,1759.57,One year,Fiber optic,Mailed check,3.0,2.0,291.9,25.9,0
CUST-00090,Female,35.0,66.0,110.01,7215.18,Two year,DSL,Credit card (automatic),0.0,1.0,114.8,15.1,0
CUST-00091,Female,64.0,34.0,31.61,1027.91,One year,DSL,Credit card (automatic),3.0,0.0,124.3,20.5,0
CUST-00092,Female,53.0,36.0,115.59,4127.85,Month-to-month,Fiber optic,Electronic check,1.0,2.0,68.5,17.6,1
CUST-00093,Female,64.0,6.0,51.4,323.01,One year,Fiber optic,Bank transfer (automatic),3.0,0.0,30.5,25.3,1
CUST-00094,Female,39.0,39.0,108.84,4235.39,One year,Fiber optic,Electronic check,3.0,0.0,234.1,8.5,1
CUST-00095,Female,51.0,42.0,80.29,3260.27,Month-to-month,Fiber optic,Electronic check,1.0,1.0,82.4,17.3,1
CUST-00096,Female,64.0,58.0,102.67,5848.82,Two year,DSL,Electronic check,1.0,3.0,186.6,3.7,0
CUST-00097,Female,25.0,12.0,118.4,1390.46,One year,DSL,Credit card (automatic),1.0,1.0,209.5,20.7,1
CUST-00098,Female,57.0,3.0,48.84,169.4,Two year,No,Electronic check,2.0,0.0,146.7,22.0,0
CUST-00099,Female,66.0,18.0,116.11,1952.6,One year,Fiber optic,Credit card (automatic),0.0,0.0,264.1,1.3,0
CUST-00100,Male,61.0,40.0,58.95,2333.01,Month-to-month,Fiber optic,Bank transfer (automatic),2.0,0.0,138.7,20.3,1
CUST-00101,Male,36.0,21.0,58.55,1203.24,Month-to-month,DSL,Credit card (automatic),4.0,1.0,92.6,12.4,1
CUST-00102,Female,59.0,15.0,54.04,880.02,Month-to-month,Fiber optic,Credit card (automatic),1.0,0.0,269.8,3.7,1
CUST-00103,Female,58.0,26.0,74.14,1908.39,Two year,DSL,Mailed check,1.0,1.0,259.9,12.6,1
CUST-00104,Female,54.0,8.0,35.41,302.43,One year,Fiber optic,Electronic check,1.0,1.0,57.6,5.8,1
CUST-00105,Female,23.0,42.0,75.37,3172.6,One year,No,Electronic check,5.0,0.0,17.5,12.5,0
CUST-00106,Female,69.0,44.0,74.17,3156.95,Month-to-month,No,Electronic check,2.0,1.0,36.1,11.5,0
CUST-00107,Female,43.0,14.0,96.19,1385.07,Month-to-month,Fiber optic,Electronic check,4.0,1.0,93.1,22.2,1
CUST-00108,Female,51.0,2.0,103.36,217.49,One year,Fiber optic,Mailed check,1.0,0.0,292.0,23.2,0
CUST-00109,Female,73.0,37.0,64.04,2394.89,Month-to-month,No,Mailed check,4.0,0.0,172.0,18.2,1
CUST-00110,Male,62.0,69.0,50.23,3662.18,Month-to-month,Fiber optic,Mailed check,3.0,0.0,118.2,0.7,1
CUST-00111,Female,23.0,38.0,45.93,1641.13,One year,DSL,Mailed check,2.0,0.0,267.7,27.9,0
CUST-00112,Male,54.0,41.0,39.46,1704.09,Month-to-month,Fiber optic,Electronic check,1.0,1.0,141.4,20.6,0
CUST-00113,Female,74.0,62.0,25.76,1582.75,Month-to-month,DSL,Credit card (automatic),1.0,0.0,101.4,1.0,1
CUST-00114,Female,50.0,60.0,54.24,3268.77,Month-to-month,Fiber optic,Bank transfer (automatic),0.0,0.0,283.0,24.6,0
CUST-00115,Male,70.0,14.0,47.02,656.0,Month-to-month,Fiber optic,Mailed check,1.0,4.0,256.4,6.0,1
CUST-00116,Female,39.0,2.0,116.64,212.07,Two year,Fiber optic,Credit card (automatic),1.0,0.0,254.7,17.4,1
CUST-00117,Male,38.0,70.0,75.77,5275.41,Month-to-month,DSL,Mailed check,3.0,1.0,158.6,14.0,0
CUST-00118,Female,23.0,17.0,54.73,946.89,Month-to-month,DSL,Electronic check,1.0,1.0,238.9,12.6,0
CUST-00119,Female,23.0,28.0,78.05,2109.54,Month-to-month,Fiber optic,Electronic check,0.0,2.0,62.0,26.7,0
CUST-00120,Male,72.0,66.0,33.92,2276.25,One year,Fiber optic,Credit card (automatic),2.0,1.0,176.2,13.1,0
CUST-00121,Female,65.0,35.0,64.4,2233.19,Month-to-month,Fiber optic,Credit card (automatic),2.0,0.0,295.3,2.3,0
CUST-00122,Male,21.0,5.0,82.62,356.6,One year,DSL,Credit card (automatic),1.0,0.0,94.4,28.4,0
CUST-00123,Female,47.0,65.0,68.89,4455.35,Month-to-month,No,Electronic check,2.0,0.0,240.4,27.6,0
CUST-00124,Male,28.0,40.0,60.18,2470.06,Month-to-month,No,Electronic check,2.0,0.0,152.2,20.5,0
CUST-00125,Male,47.0,56.0,119.38,6658.51,Month-to-month,DSL,Bank transfer (automatic),2.0,1.0,21.5,14.0,0
CUST-00126,Female,48.0,36.0,108.03,3907.0,Two year,DSL,Credit card (automatic),1.0,1.0,231.3,2.8,0
CUST-00127,Female,41.0,45.0,82.34,3668.75,Two year,Fiber optic,Bank transfer (automatic),1.0,0.0,58.9,23.7,0
CUST-00128,Male,72.0,23.0,76.94,1807.52,Month-to-month,Fiber optic,Mailed check,5.0,4.0,193.1,2.3,1
CUST-00129,Female,26.0,47.0,82.07,3891.57,Month-to-month,No,Bank transfer (automatic),5.0,0.0,34.8,2.1,0
CUST-00130,Female,72.0,31.0,40.13,1336.46,Two year,No,Mailed check,1.0,3.0,284.6,16.1,0
CUST-00131,Female,20.0,11.0,59.51,645.83,Month-to-month,Fiber optic,Mailed check,0.0,1.0,94.6,4.8,1
CUST-00132,Male,68.0,10.0,23.95,272.93,Two year,Fiber optic,Bank transfer (automatic),1.0,2.0,75.7,0.2,0
CUST-00133,Male,48.0,67.0,67.55,4530.75,Month-to-month,DSL,Credit card (automatic),3.0,0.0,47.4,12.7,0
CUST-00134,Male,57.0,14.0,74.3,1104.99,Two year,DSL,Mailed check,1.0,0.0,284.3,4.1,0
CUST-00135,Male,54.0,10.0,42.77,391.76,One year,Fiber optic,Credit card (automatic),0.0,0.0,216.5,4.8,1
CUST-00136,Male,53.0,1.0,116.4,153.65,Two year,Fiber optic,Electronic check,3.0,0.0,225.1,2.3,1
CUST-00137,Male,41.0,5.0,110.95,545.02,One year,Fiber optic,Mailed check,1.0,1.0,154.8,6.2,1
CUST-00138,Male,48.0,20.0,92.21,1840.99,Month-to-month,Fiber optic,Electronic check,1.0,0.0,147.7,21.5,0
CUST-00139,Male,23.0,8.0,73.34,591.31,Two year,DSL,Bank transfer (automatic),0.0,0.0,41.9,24.3,0
CUST-00140,Male,19.0,43.0,107.0,4613.61,Month-to-month,Fiber optic,Credit card (automatic),1.0,1.0,172.4,13.6,0
CUST-00141,Female,37.0,1.0,33.07,27.26,Month-to-month,DSL,Bank transfer (automatic),2.0,0.0,81.6,15.2,0
CUST-00142,Male,45.0,57.0,99.05,5656.59,One year,Fiber optic,Mailed check,1.0,0.0,293.4,1.0,1
CUST-00143,Female,28.0,64.0,32.48,2157.63,One year,Fiber optic,Electronic check,0.0,0.0,241.0,2.1,0
CUST-00144,Female,21.0,28.0,99.42,2833.03,Two year,Fiber optic,Mailed check,3.0,1.0,129.8,7.7,0
CUST-00145,Female,32.0,37.0,47.58,1803.92,Month-to-month,No,Bank transfer (automatic),0.0,1.0,53.9,16.3,0
CUST-00146,Male,23.0,47.0,107.71,5039.59,One year,DSL,Credit card (automatic),2.0,0.0,237.7,22.2,0
CUST-00147,Male,71.0,37.0,114.4,4188.34,One year,Fiber optic,Credit card (automatic),1.0,1.0,45.4,18.2,0
CUST-00148,Male,66.0,49.0,34.88,1756.89,Month-to-month,DSL,Mailed check,1.0,1.0,64.9,11.8,0
CUST-00149,Male,47.0,44.0,66.27,2959.68,Month-to-month,Fiber optic,Mailed check,3.0,1.0,71.3,3.5,0
CUST-00150,Female,73.0,56.0,118.1,6687.23,Month-to-month,No,Electronic check,2.0,1.0,171.5,23.4,0
CUST-00151,Male,55.0,28.0,68.34,1883.32,Month-to-month,Fiber optic,Bank transfer (automatic),3.0,0.0,238.2,10.9,1
CUST-00152,Male,68.0,6.0,106.35,626.62,Two year,No,Mailed check,3.0,1.0,101.2,22.1,0
CUST-00153,Male,74.0,61.0,78.87,4729.1,One year,DSL,Electronic check,5.0,1.0,34.6,15.4,1
CUST-00154,Male,19.0,20.0,57.53,1130.98,One year,No,Mailed check,2.0,0.0,144.7,22.2,0
CUST-00155,Male,32.0,2.0,48.58,146.99,Two year,DSL,Credit card (automatic),0.0,1.0,227.0,27.2,0
CUST-00156,Female,28.0,37.0,40.32,1468.52,Month-to-month,No,Electronic check,1.0,0.0,74.3,27.6,0
CUST-00157,Male,25.0,20.0,96.18,1955.62,Two year,DSL,Electronic check,1.0,0.0,73.8,16.1,0
CUST-00158,Female,43.0,26.0,58.65,1515.37,Month-to-month,DSL,Mailed check,2.0,3.0,284.7,15.3,1
CUST-00159,Male,68.0,29.0,71.13,2078.97,Two year,Fiber optic,Bank transfer (automatic),3.0,2.0,286.7,8.0,0
CUST-00160,Female,62.0,1.0,69.23,20.0,Month-to-month,No,Credit card (automatic),3.0,1.0,297.2,28.1,0
CUST-00161,Male,61.0,35.0,77.73,2724.81,Two year,DSL,Bank transfer (automatic),1.0,0.0,244.2,13.7,0
CUST-00162,Male,22.0,70.0,106.56,7309.64,Month-to-month,DSL,Electronic check,1.0,0.0,64.6,3.8,0
CUST-00163,Female,23.0,59.0,118.07,6956.79,Month-to-month,No,Bank transfer (automatic),1.0,0.0,71.5,13.0,0
CUST-00164,Female,43.0,69.0,60.76,4110.92,One year,DSL,Electronic check,0.0,1.0,108.7,3.8,0
CUST-00165,Female,71.0,33.0,102.75,3451.05,Month-to-month,DSL,Bank transfer (automatic),2.0,0.0,102.3,15.1,0
CUST-00166,Male,21.0,51.0,96.45,4957.82,One year,Fiber optic,Mailed check,3.0,0.0,287.4,16.8,0
CUST-00167,Female,36.0,12.0,77.35,951.53,Month-to-month,DSL,Bank transfer (automatic),1.0,1.0,238.8,10.1,1
CUST-00168,Male,37.0,20.0,115.6,2388.05,One year,No,Electronic check,1.0,1.0,220.0,2.1,1
CUST-00169,Male,50.0,53.0,40.05,2075.2,Month-to-month,Fiber optic,Credit card (automatic),1.0,0.0,63.9,28.3,0
CUST-00170,Female,37.0,43.0,30.93,1417.36,Month-to-month,Fiber optic,Credit card (automatic),1.0,0.0,273.8,23.2,0
CUST-00171,Female,66.0,50.0,105.4,5316.61,Month-to-month,No,Credit card (automatic),2.0,1.0,250.1,25.2,0
CUST-00172,Male,29.0,29.0,63.91,1841.56,Month-to-month,Fiber optic,Electronic check,1.0,0.0,57.5,11.0,0
CUST-00173,Male,64.0,57.0,104.7,6024.68,Month-to-month,DSL,Bank transfer (automatic),2.0,1.0,262.6,22.8,1
CUST-00175,Female,43.0,56.0,26.25,1428.77,Month-to-month,Fiber optic,Credit card (automatic),2.0,1.0,33.5,6.0,0
CUST-00176,Female,31.0,43.0,108.35,4628.62,Month-to-month,DSL,Credit card (automatic),0.0,1.0,200.5,3.7,0
CUST-00177,Male,55.0,50.0,64.83,3215.05,One year,No,Mailed check,2.0,2.0,199.6,10.4,0
CUST-00178,Male,54.0,23.0,71.04,1581.09,Two year,Fiber optic,Electronic check,3.0,0.0,37.5,4.1,0
CUST-00179,Male,28.0,44.0,82.66,3698.19,Month-to-month,DSL,Electronic check,1.0,0.0,102.5,29.9,0
CUST-00180,Male,53.0,38.0,112.64,4267.38,One year,Fiber optic,Electronic check,3.0,0.0,297.9,1.5,0
CUST-00181,Male,30.0,23.0,21.91,521.56,One year,Fiber optic,Electronic check,0.0,2.0,206.7,13.2,0
CUST-00182,Male,60.0,45.0,67.68,3017.08,Month-to-month,No,Electronic check,4.0,0.0,221.7,13.6,0
CUST-00183,Female,20.0,52.0,88.77,4525.01,One year,No,Mailed check,3.0,0.0,71.7,9.0,0
CUST-00184,Male,50.0,50.0,92.27,4627.0,Month-to-month,Fiber optic,Bank transfer (automatic),2.0,0.0,32.8,17.1,0
CUST-00185,Male,23.0,8.0,89.25,618.39,Month-to-month,Fiber optic,Mailed check,0.0,0.0,90.3,4.5,1
CUST-00186,Male,67.0,1.0,33.44,30.01,Month-to-month,Fiber optic,Credit card (automatic),1.0,2.0,82.2,23.5,1
CUST-00187,Female,73.0,8.0,49.94,331.1,One year,Fiber optic,Mailed check,2.0,0.0,78.0,10.0,1
CUST-00188,Male,27.0,29.0,55.87,1719.59,One year,DSL,Electronic check,1.0,0.0,65.9,17.7,0
CUST-00189,Male,22.0,5.0,100.44,547.77,Month-to-month,DSL,Mailed check,3.0,1.0,176.7,21.5,1
CUST-00190,Female,40.0,47.0,47.88,2255.65,Month-to-month,Fiber optic,Electronic check,4.0,2.0,105.2,26.7,1
CUST-00191,Male,27.0,34.0,41.07,1459.57,Two year,DSL,Mailed check,3.0,1.0,247.9,25.1,0
CUST-00192,Male,61.0,65.0,115.74,7480.78,Month-to-month,DSL,Electronic check,1.0,1.0,63.3,18.2,1
CUST-00193,Male,19.0,55.0,20.89,1176.12,Month-to-month,Fiber optic,Credit card (automatic),1.0,0.0,144.7,11.7,0
CUST-00194,Male,30.0,43.0,119.78,5160.53,Two year,DSL,Electronic check,1.0,1.0,14.0,15.1,0
CUST-00195,Male,57.0,30.0,87.68,2630.4,One year,Fiber optic,Mailed check,1.0,0.0,149.7,23.1,0
CUST-00196,Female,19.0,17.0,102.85,1812.07,One year,Fiber optic,Credit card (automatic),1.0,0.0,26.2,26.3,0
CUST-00197,Female,37.0,26.0,49.46,1322.58,One year,No,Mailed check,3.0,0.0,293.5,3.1,0
CUST-00198,Female,18.0,8.0,21.43,185.88,Two year,Fiber optic,Credit card (automatic),3.0,0.0,239.3,11.5,0
CUST-00199,Male,54.0,47.0,93.79,4325.39,Month-to-month,DSL,Bank transfer (automatic),3.0,0.0,152.1,23.3,0
CUST-00200,Male,26.0,46.0,103.41,4708.86,Month-to-month,Fiber optic,Bank transfer (automatic),3.0,0.0,35.1,12.9,1
CUST-00201,Male,34.0,68.0,94.05,6389.26,Month-to-month,Fiber optic,Bank transfer (automatic),2.0,0.0,181.8,10.0,0
CUST-00202,Female,26.0,33.0,34.29,1136.24,Two year,No,Mailed check,4.0,1.0,230.0,12.3,0
CUST-00203,Male,28.0,1.0,95.34,38.83,One year,Fiber optic,Mailed check,2.0,0.0,65.3,18.1,0
CUST-00204,Male,32.0,19.0,96.89,1961.49,Month-to-month,DSL,Credit card (automatic),1.0,2.0,174.8,30.0,1
CUST-00205,Female,41.0,31.0,85.85,2737.17,Two year,No,Credit card (automatic),4.0,0.0,246.1,14.8,0
CUST-00206,Male,55.0,14.0,96.61,1382.65,Month-to-month,DSL,Credit card (automatic),3.0,1.0,232.8,6.3,1
CUST-00207,Female,72.0,53.0,104.59,5546.87,Month-to-month,Fiber optic,Credit card (automatic),0.0,2.0,242.9,4.9,0
CUST-00208,Female,52.0,48.0,81.36,3894.67,Month-to-month,Fiber optic,Electronic check,0.0,2.0,265.0,1.3,0
CUST-00209,Female,47.0,69.0,28.86,1943.74,Month-to-month,DSL,Bank transfer (automatic),2.0,2.0,281.9,16.8,0
CUST-00210,Male,48.0,62.0,68.76,4266.99,Two year,DSL,Electronic check,1.0,1.0,127.6,16.3,0
CUST-00211,Male,66.0,66.0,27.76,1845.05,Month-to-month,DSL,Electronic check,2.0,1.0,174.9,6.2,0
CUST-00212,Male,22.0,64.0,60.75,3825.91,Two year,Fiber optic,Electronic check,2.0,0.0,239.3,20.9,0
CUST-00213,Male,61.0,70.0,60.71,4266.41,One year,No,Electronic check,1.0,1.0,212.2,22.2,0
CUST-00214,Male,67.0,63.0,26.6,1668.04,Month-to-month,DSL,Bank transfer (automatic),1.0,0.0,298.7,7.8,0
CUST-00215,Male,31.0,33.0,54.88,1715.65,Two year,Fiber optic,Electronic check,4.0,0.0,14.0,10.3,0
CUST-00216,Male,70.0,41.0,31.1,1232.08,Month-to-month,DSL,Credit card (automatic),2.0,0.0,113.0,29.7,0
CUST-00217,Female,73.0,48.0,100.82,4818.68,Month-to-month,Fiber optic,Mailed check,1.0,0.0,91.5,11.2,1
CUST-00218,Male,28.0,13.0,114.77,1586.39,Month-to-month,DSL,Credit card (automatic),2.0,2.0,86.1,22.8,1
CUST-00219,Female,26.0,31.0,27.23,871.96,Two year,No,Mailed check,1.0,1.0,74.5,13.6,0
CUST-00220,Male,51.0,68.0,115.51,7787.91,Month-to-month,Fiber optic,Credit card (automatic),1.0,0.0,215.6,23.8,0
CUST-00221,Male,29.0,4.0,72.26,313.34,Month-to-month,Fiber optic,Credit card (automatic),1.0,0.0,34.6,23.1,0
CUST-00222,Male,52.0,19.0,49.96,871.87,Month-to-month,Fiber optic,Mailed check,2.0,2.0,225.1,20.0,0
CUST-00223,Female,52.0,70.0,27.69,1992.43,Month-to-month,Fiber optic,Bank transfer (automatic),1.0,0.0,211.1,25.6,0
CUST-00224,Female,18.0,13.0,70.06,887.22,One year,No,Electronic check,2.0,0.0,82.7,28.2,0
CUST-00225,Female,57.0,23.0,99.45,2282.67,Month-to-month,Fiber optic,Credit card (automatic),0.0,1.0,83.3,17.4,1
CUST-00226,Female,39.0,1.0,90.71,157.0,Month-to-month,No,Bank transfer (automatic),2.0,0.0,192.4,7.1,0
