Age,Tenure_Months,Monthly_Charges,Total_Charges,Support_Calls,Late_Payments,Usage_Hours,Discount,Complaints,Tenure_to_Age_Ratio,Charges_Deviation,Support_Per_Month,Gender,Contract_Type,Internet_Service,Payment_Method,Churn
70.0,19,57.5,1078.57,2,0,219.2,0.0,0,0.27142853265306677,0.7331877720064384,0.10526310249310396,Female,Month-to-month,DSL,Bank transfer (automatic),0
45.0,21,91.1,1866.96,4,0,197.6,0.0,1,0.466666562962986,2.1971851918165726,0.19047609977328583,Male,One year,Fiber optic,Bank transfer (automatic),0
42.0,2,27.08,56.8,4,2,79.7,0.0,0,0.04761903628118183,-1.3198580007099956,1.9999900000499997,Male,One year,No,Credit card (automatic),0
24.0,15,61.74,911.49,1,0,132.6,0.0,0,0.6249997395834419,0.9740405106396608,0.06666662222225185,Male,Month-to-month,DSL,Credit card (automatic),0
67.0,21,91.42,1940.76,1,0,186.3,0.0,0,0.3134327890398822,-0.997098849000551,0.04761902494332146,Male,Month-to-month,Fiber optic,Mailed check,0
20.0,27,29.23,762.54,3,1,152.3,15.0,0,1.3499993250003375,0.9877882378562113,0.11111106995886298,Male,Two year,No,Credit card (automatic),0
35.0,24,64.08,1561.33,5,1,167.8,5.0,1,0.6857140897959743,-0.9753895602543565,0.20833324652781396,Female,One year,DSL,Electronic check,0
68.0,6,75.35,453.9,2,1,111.6,0.0,0,0.08823528114187042,-0.2998739168768054,0.33333277777870374,Male,Month-to-month,Fiber optic,Bank transfer (automatic),0
22.0,72,99.77,6906.07,0,2,143.9,0.0,0,3.272725785124643,3.852374433003561,0.0,Female,One year,Fiber optic,Mailed check,0
43.0,37,62.24,2324.24,2,3,199.4,0.0,0,0.8604649161709497,-0.5772803196539513,0.0540540394448542,Female,Month-to-month,DSL,Electronic check,0
69.0,17,29.37,513.52,1,0,145.1,0.0,0,0.24637677588742377,-0.8370410546817304,0.058823494809708936,Male,Two year,No,Bank transfer (automatic),0
69.0,8,18.18,139.15,0,1,137.6,10.0,0,0.11594201218231708,0.78627174216032,0.0,Male,Month-to-month,No,Bank transfer (automatic),1
64.0,8,29.72,233.97,0,0,109.7,15.0,0,0.12499998046875305,0.47378655776680034,0.0,Female,Month-to-month,No,Mailed check,1
48.0,6,56.02,328.04,2,2,179.8,15.0,0,0.12499997395833876,1.3467577887370155,0.33333277777870374,Female,One year,DSL,Mailed check,0
67.0,42,57.46,2295.0,2,0,98.3,5.0,0,0.6268655780797644,2.8171558673438426,0.04761903628118183,Male,Month-to-month,DSL,Mailed check,0
45.0,13,18.0,223.58,7,0,124.1,20.0,1,0.2888888246913723,0.8015516911140814,0.5384611242606736,Female,One year,No,Credit card (automatic),0
48.0,9,27.75,252.44,0,1,163.3,0.0,1,0.18749996093750812,-0.2988577234914196,0.0,Male,Month-to-month,No,Mailed check,1
33.0,33,60.36,2041.67,3,1,180.7,5.0,0,0.9999996969697887,-1.508769130676015,0.09090906336088989,Male,Two year,DSL,Mailed check,0
41.0,4,102.08,401.03,2,0,93.6,5.0,0,0.09756095181440198,1.8227506431233849,0.49999875000312505,Female,Month-to-month,Fiber optic,Credit card (automatic),1
48.0,22,92.59,2084.01,1,2,205.3,5.0,0,0.45833323784724206,-2.1376842146890027,0.04545452479339782,Male,One year,Fiber optic,Mailed check,0
37.0,48,24.84,1207.53,0,2,140.6,5.0,0,1.2972969466765008,-0.3168697589854652,0.0,Male,One year,No,Bank transfer (automatic),0
67.0,12,42.16,505.88,1,0,146.9,0.0,1,0.1791044508799327,0.0033684638596085392,0.08333326388894677,Male,One year,DSL,Electronic check,0
46.0,10,65.18,620.88,2,0,172.0,0.0,1,0.21739125708885715,3.0920620879379186,0.1999998000002,Female,One year,DSL,Mailed check,0
29.0,9,61.45,546.83,1,1,186.9,5.0,0,0.310344720570786,0.6911786209126376,0.11111098765445816,Male,Month-to-month,DSL,Electronic check,1
32.0,1,55.05,55.1,3,0,143.4,0.0,0,0.03124999023437805,-0.04944900550994902,2.9999700002999967,Female,One year,DSL,Mailed check,0
54.0,4,24.86,102.83,3,0,71.0,0.0,0,0.07407406035665548,-0.8474357314106733,0.7499981250046875,Female,One year,No,Mailed check,0
44.0,1,79.05,79.54,1,0,248.3,0.0,1,0.022727267561984642,-0.48920460795392273,0.9999900000999989,Female,Two year,Fiber optic,Mailed check,0
41.0,27,66.56,1886.64,2,2,140.7,5.0,0,0.6585364247472134,-3.315529675729749,0.07407404663924198,Male,Two year,DSL,Electronic check,0
61.0,23,57.92,1277.62,1,2,79.1,0.0,0,0.37704911851653794,2.371328499422397,0.043478241965981754,Female,Month-to-month,DSL,Credit card (automatic),0
68.0,27,57.0,1614.92,5,1,147.1,15.0,0,0.39705876513841687,-2.811829699322338,0.18518511659810497,Female,Month-to-month,DSL,Bank transfer (automatic),1
49.0,6,102.23,604.11,3,1,148.4,0.0,0,0.12244895460225415,1.5451678080536482,0.4999991666680556,Male,One year,Fiber optic,Bank transfer (automatic),0
29.0,39,94.92,3830.63,1,0,101.8,0.0,0,1.344827122473406,-3.3012568663443886,0.025641019066405365,Female,Month-to-month,Fiber optic,Electronic check,1
23.0,14,47.33,639.93,1,1,59.0,0.0,2,0.6086953875237445,1.6207469351807617,0.0714285204081997,Male,Month-to-month,DSL,Bank transfer (automatic),1
26.0,41,71.51,2910.65,2,1,236.8,0.0,2,1.5769224704144345,0.518553900352714,0.04878047590720099,Male,Month-to-month,Fiber optic,Mailed check,1
45.0,21,37.03,741.36,3,2,240.2,15.0,0,0.466666562962986,1.7271596680192047,0.14285707482996438,Male,One year,DSL,Electronic check,0
38.0,27,52.32,1457.71,2,0,85.3,0.0,1,0.7105261288089134,-1.6692392632447195,0.07407404663924198,Female,Two year,DSL,Credit card (automatic),0
27.0,10,18.09,182.03,5,1,171.6,0.0,0,0.37037023319620993,-0.11298179701820388,0.49999950000050003,Male,One year,No,Electronic check,0
22.0,62,57.75,3547.66,4,0,83.4,0.0,0,2.8181805371906647,0.5296866484376395,0.06451611862643247,Female,One year,DSL,Bank transfer (automatic),0
52.0,5,40.53,210.55,0,0,128.8,0.0,1,0.09615382766272544,-1.5799157801684416,0.0,Female,Two year,DSL,Bank transfer (automatic),0
68.0,40,81.12,3265.03,2,1,145.8,5.0,0,0.5882352076124694,-0.5057295935675938,0.04999998750000312,Female,Month-to-month,Fiber optic,Credit card (automatic),0
64.0,6,73.54,442.7,0,2,112.8,0.0,0,0.09374998535156479,-0.24321036131605922,0.0,Female,One year,Fiber optic,Mailed check,0
67.0,72,55.94,3961.98,2,0,179.7,0.0,0,1.0746267052795961,0.9125076427072685,0.027777773919753623,Female,Month-to-month,DSL,Electronic check,0
42.0,24,64.36,1490.27,3,1,213.2,0.0,0,0.571428435374182,2.26544253939894,0.12499994791668836,Male,Month-to-month,DSL,Electronic check,0
32.0,43,55.74,2510.37,0,4,170.5,0.0,0,1.3437495800782562,-2.6406840975153187,0.0,Male,Month-to-month,DSL,Credit card (automatic),0
39.0,16,40.16,644.36,1,1,140.1,0.0,0,0.41025630506248584,-0.1124748297032383,0.06249996093752441,Male,Two year,DSL,Mailed check,0
54.0,23,52.53,1204.41,3,0,161.6,10.0,0,0.425925847050769,0.16437059375191154,0.13043472589794528,Male,Month-to-month,DSL,Mailed check,0
68.0,9,61.25,548.37,3,0,110.5,0.0,0,0.13235292171280563,0.32006769992477757,0.3333329629633745,Male,One year,DSL,Bank transfer (automatic),0
54.0,33,47.35,1623.92,3,0,214.6,0.0,0,0.6111109979424078,-1.859682057672103,0.09090906336088989,Male,Two year,DSL,Bank transfer (automatic),0
71.0,72,68.65,4966.3,2,1,167.6,0.0,0,1.0140843642134698,-0.32637930883619504,0.027777773919753623,Female,Month-to-month,DSL,Electronic check,0
51.0,41,71.97,2887.69,2,0,223.4,0.0,1,0.8039214109958017,1.538553763767382,0.04878047590720099,Male,Month-to-month,Fiber optic,Electronic check,0
53.0,8,76.8,638.52,1,2,139.8,5.0,0,0.15094336774653438,-3.0149002313747104,0.12499984375019532,Female,Two year,Fiber optic,Credit card (automatic),0
52.0,10,28.45,282.85,1,1,136.4,5.0,2,0.19230765532545088,0.16502828497171151,0.0999999000001,Female,Month-to-month,No,Electronic check,1
39.0,35,65.74,2401.2,2,0,92.8,10.0,0,0.8974356673241878,-2.865694684087231,0.05714284081633119,Male,Month-to-month,Fiber optic,Electronic check,0
24.0,27,88.77,2437.56,1,0,79.9,0.0,0,1.1249995312501953,-1.5099665629753503,0.03703702331962099,Female,One year,Fiber optic,Electronic check,0
52.0,6,85.36,501.88,1,0,120.0,0.0,1,0.11538459319527053,1.7134727442120834,0.16666638888935187,Female,Month-to-month,Fiber optic,Mailed check,1
31.0,36,99.22,3577.95,1,0,184.2,5.0,0,1.1612899479709846,-0.1674723923687651,0.027777770061730538,Male,One year,Fiber optic,Mailed check,0
18.0,23,18.0,416.16,1,2,133.6,0.0,0,1.277777067901629,-0.09390517656296637,0.043478241965981754,Male,Month-to-month,No,Electronic check,0
31.0,26,84.87,2205.41,1,0,140.8,15.0,0,0.8387094068679333,0.04657108593420389,0.03846152366864474,Female,One year,Fiber optic,Electronic check,0
48.0,8,33.8,265.47,0,0,83.2,0.0,2,0.16666663194445167,0.6162914796356418,0.0,Male,Month-to-month,No,Bank transfer (automatic),1
26.0,1,52.66,53.8,1,1,67.2,0.0,1,0.03846152366864474,-1.13946200537994,0.9999900000999989,Male,One year,DSL,Electronic check,0
74.0,13,51.85,672.13,3,0,110.0,5.0,1,0.1756756519357227,0.14773207866763016,0.23076905325457442,Male,Month-to-month,DSL,Credit card (automatic),0
32.0,26,98.35,2551.18,1,3,171.3,0.0,0,0.8124997460938292,0.2277300470269097,0.03846152366864474,Male,Month-to-month,Fiber optic,Electronic check,0
49.0,33,102.09,3327.82,3,1,117.4,10.0,2,0.6734692503123979,1.2470002554544806,0.09090906336088989,Male,One year,Fiber optic,Mailed check,0
47.0,8,75.78,585.74,1,0,138.1,5.0,1,0.17021272974197238,2.562591521760595,0.12499984375019532,Male,Month-to-month,Fiber optic,Electronic check,1
57.0,35,28.93,1043.07,3,0,88.2,10.0,1,0.6140349799938631,-0.871991485145287,0.08571426122449678,Female,One year,No,Mailed check,0
52.0,15,60.05,945.22,4,0,231.5,15.0,1,0.2884614829881763,-2.9646246569169037,0.2666664888890074,Male,Two year,DSL,Bank transfer (automatic),0
-4.0,13,45.67,591.6,2,0,197.2,0.0,0,-3.2500081250203126,0.16234269819792502,0.15384603550304962,Female,One year,DSL,Credit card (automatic),0
21.0,16,97.35,1574.28,2,0,153.3,5.0,0,0.7619043990931433,-1.0424385047259364,0.12499992187504883,Male,Two year,Fiber optic,Mailed check,0
73.0,25,72.24,1758.81,2,1,60.6,0.0,1,0.34246570651154706,1.8876281409487348,0.0799999680000128,Female,One year,Fiber optic,Credit card (automatic),0
73.0,16,60.93,998.94,0,2,130.1,0.0,0,0.2191780521673901,-1.5037109789306413,0.0,Female,One year,DSL,Electronic check,0
21.0,2,81.07,169.06,4,0,92.6,5.0,0,0.09523804988664292,-3.459577352113243,1.9999900000499997,Female,Two year,Fiber optic,Electronic check,0
19.0,61,28.49,1822.33,1,2,95.7,10.0,0,3.2105246260396707,-1.3842573976627222,0.016393439935501648,Male,Month-to-month,No,Credit card (automatic),0
34.0,50,57.66,2864.05,3,0,216.8,0.0,2,1.4705878027682933,0.37901145619770205,0.0599999880000024,Male,Month-to-month,DSL,Bank transfer (automatic),0
51.0,27,72.48,1969.41,0,1,188.6,0.0,1,0.5294116608996743,-0.46108409589477617,0.0,Male,Month-to-month,Fiber optic,Bank transfer (automatic),0
67.0,14,105.49,1452.69,1,1,139.1,0.0,2,0.2089551926932548,1.7265026882123493,0.0714285204081997,Male,One year,Fiber optic,Electronic check,1
64.0,30,67.59,2065.67,4,2,147.3,5.0,0,0.4687499267578239,-1.2656437147854263,0.1333332888889037,Female,One year,Fiber optic,Mailed check,0
61.0,12,60.44,745.24,3,2,69.7,0.0,1,0.19672127922601979,-1.6632815805986851,0.24999979166684028,Male,Month-to-month,DSL,Electronic check,0
43.0,30,81.6,2412.87,0,0,136.8,0.0,3,0.697674256354824,1.1710268096577323,0.0,Male,One year,Fiber optic,Electronic check,0
23.0,32,63.79,2074.04,4,0,129.3,0.0,0,1.3913037429114161,-1.0237297457094527,0.1249999609375122,Male,Month-to-month,DSL,Electronic check,1
46.0,24,22.97,548.19,6,2,128.6,20.0,1,0.5217390170132571,0.12875951718353207,0.24999989583337673,Male,Month-to-month,No,Electronic check,1
72.0,22,52.6,1119.69,1,0,153.7,10.0,0,0.30555551311728985,1.7050231340803919,0.04545452479339782,Female,Month-to-month,DSL,Bank transfer (automatic),0
26.0,3,85.96,262.94,0,0,157.7,10.0,1,0.11538457100593423,-1.6863745120849671,0.0,Female,Month-to-month,Fiber optic,Bank transfer (automatic),1
53.0,72,38.03,2770.32,6,0,121.9,5.0,0,1.3584903097188095,-0.4466613226859266,0.08333332175926086,Female,Month-to-month,DSL,Mailed check,1
33.0,46,104.26,4866.04,3,0,145.1,5.0,1,1.3939389715336448,-1.5234552644662358,0.06521737712665714,Female,Month-to-month,Fiber optic,Bank transfer (automatic),0
54.0,51,47.59,2367.63,1,1,113.9,0.0,0,0.9444442695473574,1.165891455707559,0.01960783929258053,Male,One year,DSL,Mailed check,0
69.0,59,20.47,1204.68,2,1,138.2,0.0,1,0.8550723398445884,0.051698375983324496,0.0338982993392713,Male,One year,No,Electronic check,0
51.0,5,23.12,118.9,2,1,151.0,5.0,0,0.09803919646290264,-0.6599524400951218,0.39999920000160005,Male,Month-to-month,No,Bank transfer (automatic),1
32.0,7,46.21,328.24,1,2,136.4,0.0,0,0.21874993164064635,-0.6813615837691671,0.14285693877580175,Female,Month-to-month,DSL,Bank transfer (automatic),1
53.0,34,30.26,1006.92,2,1,141.6,20.0,0,0.6415093129227711,0.6447145927310061,0.058823512110731724,Male,Month-to-month,No,Credit card (automatic),0
22.0,59,89.11,5338.14,4,0,106.3,10.0,0,2.6818169628104713,-1.3669338174688477,0.0677965986785426,Female,Month-to-month,Fiber optic,Bank transfer (automatic),1
68.0,27,36.84,953.86,0,0,155.1,10.0,0,0.39705876513841687,1.5118649363463206,0.0,Male,Two year,DSL,Mailed check,0
19.0,4,74.24,291.57,3,0,159.0,5.0,1,0.21052620498620792,1.347682230794419,0.7499981250046875,Male,One year,Fiber optic,Mailed check,0
46.0,33,53.53,1704.79,0,0,117.4,0.0,0,0.7173911483932286,1.869712624329516,0.0,Female,Two year,DSL,Mailed check,0
74.0,36,20.19,722.49,0,0,146.7,0.0,1,0.48648642074507825,0.12083890810030695,0.0,Female,Month-to-month,No,Electronic check,0
21.0,58,77.24,4266.74,2,0,118.0,5.0,0,2.7619034467126444,3.6755299249086306,0.03448275267538747,Female,Two year,Fiber optic,Electronic check,0
23.0,3,48.94,151.17,1,2,218.9,5.0,0,0.13043472589794528,-1.449832033893216,0.3333322222259259,Male,Month-to-month,DSL,Bank transfer (automatic),1
55.0,7,97.79,666.11,3,1,126.2,0.0,0,0.1272727041322356,2.6315645120507014,0.4285708163274053,Female,One year,Fiber optic,Electronic check,0
47.0,2,54.69,108.72,1,1,106.0,15.0,0,0.042553182435493095,0.3302717986410073,0.49999750001249993,Female,Month-to-month,DSL,Credit card (automatic),0
51.0,67,85.45,5645.93,1,0,167.4,0.0,0,1.3137252326028954,1.182400636955137,0.014925370906661057,Male,Month-to-month,Fiber optic,Electronic check,0
37.0,13,23.47,314.04,5,0,20.4,15.0,0,0.3513512563915523,-0.6869044946888536,0.38461508875762407,Male,Two year,No,Electronic check,0
58.0,63,59.92,3827.89,0,0,153.8,15.0,2,1.0862067092747052,-0.8401490856906122,0.0,Male,Month-to-month,DSL,Electronic check,0
36.0,28,71.65,2087.15,5,0,132.0,15.0,1,0.777777561728455,-2.891044806769713,0.17857136479594116,Female,Month-to-month,Fiber optic,Mailed check,1
73.0,22,31.98,690.27,0,1,149.1,5.0,0,0.3013698217301614,0.6041051708612883,0.0,Male,One year,No,Electronic check,0
66.0,47,89.21,4288.03,2,0,113.1,15.0,2,0.712121104224075,-2.0246614394337286,0.042553182435493095,Female,Month-to-month,Fiber optic,Credit card (automatic),0
62.0,43,74.85,3109.93,5,1,119.3,15.0,0,0.6935482752341491,2.526063331148066,0.11627904272580401,Male,Month-to-month,DSL,Bank transfer (automatic),1
46.0,6,22.13,139.32,5,1,116.5,15.0,0,0.13043475425331427,-1.0899613000645019,0.8333319444467593,Female,One year,No,Bank transfer (automatic),0
27.0,14,51.2,720.94,0,3,110.9,0.0,0,0.5185183264746939,-0.2956775030875036,0.0,Male,Two year,DSL,Mailed check,0
46.0,16,96.23,1542.08,1,2,26.3,0.0,0,0.34782601134217145,-0.14993976253764174,0.06249996093752441,Male,Month-to-month,Fiber optic,Mailed check,0
58.0,8,100.67,780.59,3,0,165.9,0.0,1,0.13793101070154987,3.09637196703504,0.37499953125058594,Female,Month-to-month,Fiber optic,Mailed check,1
52.0,35,48.32,1647.99,3,1,109.9,0.0,0,0.6730767936390781,1.2345848815471783,0.08571426122449678,Male,Month-to-month,DSL,Mailed check,0
43.0,17,86.87,1435.35,2,0,63.1,0.0,0,0.3953487452677336,2.4376967248842902,0.11764698961941787,Male,One year,Fiber optic,Bank transfer (automatic),0
68.0,68,28.32,1862.22,2,1,84.6,0.0,1,0.9999998529411981,0.9344157919976794,0.029411760380623472,Female,Month-to-month,No,Mailed check,0
18.0,15,55.19,811.22,0,1,147.7,0.0,0,0.8333328703706276,1.108702720864848,0.0,Female,One year,DSL,Bank transfer (automatic),0
73.0,42,54.36,2182.21,3,0,184.0,0.0,0,0.575342386939399,2.4026314184210946,0.07142855442177275,Female,Two year,DSL,Electronic check,0
45.0,43,35.88,1560.94,4,0,112.2,10.0,1,0.9555553432099236,-0.42092179048329825,0.0930232341806432,Male,One year,DSL,Electronic check,0
70.0,22,62.9,1450.12,2,1,138.8,0.0,3,0.3142856693877615,-3.014515493402051,0.09090904958679565,Female,Two year,DSL,Bank transfer (automatic),0
39.0,2,61.16,126.31,0,0,126.6,0.0,2,0.05128203813281073,-1.994684226578869,0.0,Female,Month-to-month,DSL,Credit card (automatic),0
25.0,22,42.76,940.32,0,0,104.6,0.0,1,0.8799996480001409,0.018201246272155913,0.0,Male,One year,DSL,Bank transfer (automatic),0
48.0,44,39.62,1763.21,0,1,86.3,15.0,1,0.9166664756944841,-0.452945437966946,0.0,Female,Month-to-month,DSL,Mailed check,0
58.0,8,60.26,490.05,1,0,84.9,10.0,1,0.13793101070154987,-0.9961734297832194,0.12499984375019532,Female,One year,Fiber optic,Bank transfer (automatic),0
37.0,25,58.76,1465.71,2,1,199.8,5.0,0,0.6756754930606775,0.13162345135061315,0.0799999680000128,Male,Month-to-month,DSL,Mailed check,0
63.0,20,21.65,420.77,0,0,164.9,0.0,0,0.31746026706979885,0.6115105192447388,0.0,Male,month-to-month,No,Electronic check,0
59.0,27,83.37,2279.03,4,1,162.8,10.0,0,0.4576270410801625,-1.038487256115829,0.14814809327848397,Female,Month-to-month,Fiber optic,Mailed check,1
36.0,4,94.51,385.08,1,1,138.4,10.0,1,0.11111108024692215,-1.7597593256016921,0.24999937500156252,Male,Month-to-month,Fiber optic,Credit card (automatic),1
22.0,50,22.56,1140.43,1,1,151.8,0.0,0,2.272726239669891,-0.2485954382809119,0.019999996000000797,Male,Two year,No,Bank transfer (automatic),0
29.0,11,81.87,931.23,2,0,214.1,0.0,0,0.37931021403096066,-2.7871957661856612,0.1818180165290759,Male,Two year,Fiber optic,Bank transfer (automatic),0
40.0,65,24.99,1625.77,5,0,146.2,0.0,0,1.6249995937501014,-0.02184230587041469,0.07692306508875921,Male,Two year,No,Electronic check,0
27.0,53,27.98,1547.96,3,2,126.5,10.0,1,1.9629622359399126,-1.2267869421156696,0.056603762904950394,Male,Month-to-month,No,Mailed check,0
73.0,55,49.68,2643.88,3,1,157.5,0.0,1,0.7534245543254035,1.6094632855521311,0.05454544462810097,Male,Month-to-month,DSL,Electronic check,0
19.0,23,28.58,640.22,0,0,70.1,5.0,0,1.2105256786706955,0.7443599285391578,0.0,Female,Month-to-month,No,Bank transfer (automatic),0
37.0,12,55.17,694.78,1,0,144.6,20.0,0,0.3243242366691252,-2.728285084762426,0.08333326388894677,Male,Month-to-month,DSL,Electronic check,0
32.0,18,58.59,1063.82,1,2,168.2,15.0,0,0.5624998242188048,-0.5110782771787257,0.055555524691375174,Male,Month-to-month,DSL,Credit card (automatic),0
42.0,4,28.31,112.0,1,0,119.5,0.0,0,0.09523807256236366,0.3100699998249965,0.24999937500156252,Female,Two year,No,Mailed check,0
29.0,49,55.35,2759.92,1,0,145.1,0.0,0,1.6896545897742794,-0.9748864643088808,0.020408159100375693,Female,Two year,DSL,Electronic check,0
55.0,1,55.49,52.98,3,0,83.9,5.0,0,0.018181814876033656,2.510529794702059,2.9999700002999967,Male,Month-to-month,DSL,Mailed check,1
46.0,8,87.55,722.63,0,0,146.0,0.0,1,0.17391300567108572,-2.7786370892036416,0.0,Male,Two year,Fiber optic,Mailed check,0
38.0,26,49.85,1243.77,2,0,122.1,10.0,0,0.6842103462604351,2.0127107066497274,0.07692304733728948,Male,Month-to-month,DSL,Bank transfer (automatic),0
64.0,27,84.36,2251.88,3,3,86.1,5.0,1,0.4218749340820415,0.9570679270118774,0.11111106995886298,Male,One year,Fiber optic,Mailed check,0
40.0,18,77.91,1404.59,0,2,43.2,0.0,0,0.44999988750002806,-0.12273442625864561,0.0,Male,Month-to-month,Fiber optic,Mailed check,0
35.0,28,91.4,2589.88,1,2,75.3,5.0,1,0.7999997714286367,-1.0956812515424161,0.03571427295918823,Male,One year,Fiber optic,Mailed check,0
74.0,18,21.71,386.73,1,0,55.8,0.0,0,0.24324321037253913,0.22501193610447956,0.055555524691375174,Male,Month-to-month,No,Bank transfer (automatic),0
62.0,36,29.57,1080.08,1,0,96.6,0.0,1,0.5806450676378923,-0.43221388827391394,0.027777770061730538,Male,Month-to-month,No,Electronic check,0
71.0,68,59.59,4012.54,2,0,132.0,20.0,0,0.9577463439793882,0.5820675011665486,0.029411760380623472,Female,Month-to-month,DSL,Mailed check,0
46.0,38,76.4,3016.47,2,4,135.2,0.0,0,0.8260867769376571,-2.9807685840082456,0.05263156509695655,Female,Month-to-month,Fiber optic,Bank transfer (automatic),0
49.0,70,54.63,3900.96,2,3,73.8,15.0,1,1.4285711370262986,-1.0979920388582727,0.0285714244897965,Male,Month-to-month,DSL,Bank transfer (automatic),0
45.0,9,82.41,778.36,0,0,171.1,10.0,0,0.1999999555555654,-4.074348350724065,0.0,Male,Month-to-month,Fiber optic,Electronic check,1
46.0,39,21.1,822.22,0,1,163.8,5.0,0,0.8478259026465429,0.017441303220181226,0.0,Male,Month-to-month,No,Bank transfer (automatic),0
67.0,38,71.11,2621.64,1,1,62.0,0.0,0,0.5671640944531202,2.11949183960742,0.026315782548478276,Male,month-to-month,Fiber optic,Credit card (automatic),0
50.0,41,31.98,1247.85,1,0,88.1,20.0,1,0.8199998360000328,1.544641569599623,0.024390237953600496,Female,Month-to-month,No,Credit card (automatic),0
46.0,36,18.0,642.57,4,0,41.6,5.0,2,0.7826085255198857,0.15083829143380711,0.11111108024692215,Male,One year,No,Credit card (automatic),0
72.0,21,80.77,1696.17,2,0,120.7,0.0,0,0.291666626157413,3.846188643308324e-05,0.09523804988664292,Male,Two year,Fiber optic,Credit card (automatic),0
73.0,6,49.95,292.2,2,0,112.6,0.0,2,0.08219176956277129,1.2500811665313876,0.33333277777870374,Female,Month-to-month,DSL,Bank transfer (automatic),1
44.0,10,86.62,851.48,0,0,145.2,20.0,1,0.22727267561984643,1.4720851479148536,0.0,Male,One year,Fiber optic,Bank transfer (automatic),0
74.0,14,59.33,819.84,2,1,145.7,0.0,0,0.189189163623086,0.7700418285415438,0.1428570408163994,Female,Month-to-month,DSL,Electronic check,0
55.0,14,53.77,753.38,0,0,175.5,15.0,0,0.2545454082644712,-0.042818705129491264,0.0,Male,Two year,DSL,Electronic check,0
65.0,2,31.96,61.86,4,0,190.9,5.0,0,0.030769226035503687,1.0301546492267555,1.9999900000499997,Female,Two year,No,Mailed check,0
64.0,42,97.9,4069.75,3,2,115.3,0.0,0,0.6562498974609535,1.0012135473301242,0.07142855442177275,Male,Two year,Fiber optic,Mailed check,0
39.0,29,21.68,656.74,0,2,170.9,5.0,0,0.7435895529257556,-0.9661990875175555,0.0,Female,One year,No,Electronic check,0
24.0,11,93.14,1045.31,1,1,212.6,0.0,0,0.4583331423611907,-1.888095429004153,0.09090900826453795,Male,Month-to-month,Fiber optic,Mailed check,1
51.0,52,60.85,3301.76,3,0,139.7,5.0,1,1.0196076432141876,-2.6453724047360723,0.057692296597635265,Male,Month-to-month,DSL,Mailed check,0
