Order_ID,Quantity,Unit_Price,Cost_Price,Discount,Revenue,Cost,Profit,Profit_Margin,Customer_Rating,Delivery_Time_Days,Marketing_Spend,Page_Views
ORD-10041,28,15.91,5.0,0.215,349.7,140.0,209.7,0.5997,3.8,3,38.31,93
ORD-10042,16,54.09,35.8,0.08,796.2,572.8,223.4,0.2806,4.3,9,41.25,59
ORD-10043,15,173.51,98.53,0.022,2545.39,1477.95,1067.44,0.4194,3.4,6,125.66,95
ORD-10044,15,218.04,117.63,0.161,2744.03,1764.45,979.58,0.357,3.7,2,114.82,68
ORD-10045,19,281.09,152.81,0.159,4491.54,2903.39,1588.15,0.3536,3.6,9,182.24,105
ORD-10046,12,50.74,25.94,0.146,519.98,311.28,208.7,0.4014,3.8,4,54.05,64
ORD-10047,23,299.99,162.94,0.042,6609.98,3747.62,2862.36,0.433,3.5,5,264.21,150
ORD-10048,20,264.9,138.47,0.178,4354.96,2769.4,1585.56,0.3641,3.7,8,204.53,115
ORD-10049,25,151.85,75.21,0.186,3090.15,1880.25,1209.9,0.3915,3.6,8,147.4,121
ORD-10050,3,327.53,180.29,0.132,45000.0,540.87,-12000.0,0.3658,3.6,3,50.53,25
ORD-10051,5,346.96,196.2,0.062,1627.24,981.0,646.24,0.3971,3.6,8,51.7,35
ORD-10052,19,83.68,43.34,0.09,1446.83,823.46,623.37,0.4309,3.9,7,95.16,96
ORD-10053,7,142.04,79.64,0.056,938.6,557.48,381.12,0.4061,3.7,3,38.52,48
ORD-10054,21,325.36,182.62,0.06,6422.61,3835.02,2587.59,0.4029,4.0,5,286.2,151
ORD-10055,9,256.73,136.23,0.164,1931.64,1226.07,705.57,0.3653,3.1,8,81.9,47
ORD-10056,7,31.11,17.01,0.223,169.21,119.07,50.14,0.2963,3.6,2,10.2,27
ORD-10057,18,276.81,148.91,0.055,4708.54,2680.38,2028.16,0.4307,4.0,8,213.37,120
ORD-10058,4,292.36,168.83,0.03,1134.36,675.32,459.04,0.4047,3.9,6,68.45,55
ORD-10059,25,266.42,154.34,0.067,6214.25,3858.5,2355.75,0.3791,2.8,7,246.39,129
ORD-10060,28,282.84,150.6,0.161,6644.48,4216.8,2427.68,0.3654,3.4,6,302.33,162
ORD-10061,14,291.42,162.21,0.046,3892.21,2270.94,1621.27,0.4165,3.6,9,167.6,107
ORD-10062,18,77.45,47.94,0.105,1247.72,862.92,384.8,0.3084,3.4,10,65.94,88
ORD-10063,26,93.96,55.92,0.139,2103.39,1453.92,649.47,0.3088,3.9,5,94.68,103
ORD-10064,9,227.31,125.43,0.131,1777.79,1128.87,648.92,0.365,3.7,6,69.57,69
ORD-10065,26,319.14,182.06,0.119,7310.22,4733.56,2576.66,0.3525,3.3,10,318.44,163
ORD-10066,21,120.93,61.99,0.062,2382.08,1301.79,1080.29,0.4535,3.8,4,114.63,82
ORD-10067,2,212.08,115.13,0.109,377.93,230.26,147.67,0.3907,4.1,5,18.04,28
ORD-10068,20,243.8,129.7,0.127,4256.75,2594.0,1662.75,0.3906,3.7,8,199.43,133
ORD-10069,28,166.4,95.43,0.063,4365.67,2672.04,1693.63,0.3879,4.2,2,190.45,150
ORD-10070,15,254.12,136.85,0.049,3625.02,2052.75,1572.27,0.4337,3.6,7,161.15,87
ORD-10071,28,316.39,173.16,0.007,8796.91,4848.48,3948.43,0.4488,3.7,4,393.52,200
ORD-10072,7,224.07,126.33,0.151,1331.65,884.31,447.34,0.3359,3.6,5,44.15,49
ORD-10073,12,195.83,111.2,0.011,2324.11,1334.4,989.71,0.4258,4.1,7,83.65,68
ORD-10074,29,161.98,84.55,0.055,4439.06,2451.95,1987.11,0.4476,4.5,1,171.62,148
ORD-10075,8,208.46,119.94,0.235,1275.78,959.52,316.26,0.2479,3.3,6,71.49,47
ORD-10076,15,134.05,76.01,0.135,1739.3,1140.15,599.15,0.3445,3.4,9,79.19,71
ORD-10077,3,146.15,74.97,0.155,370.49,224.91,145.58,0.3929,4.0,4,25.63,28
ORD-10078,14,193.17,99.6,0.101,2431.24,1394.4,1036.84,0.4265,3.8,6,98.11,83
ORD-10079,17,37.32,20.45,0.129,552.6,347.65,204.95,0.3709,3.6,8,62.08,69
ORD-10080,4,91.72,54.7,0.154,310.38,218.8,91.58,0.2951,3.5,2,57.43,47
ORD-10081,18,196.85,112.65,0.04,3401.57,2027.7,1373.87,0.4039,3.1,7,164.55,120
ORD-10082,8,159.56,89.54,0.085,1167.98,716.32,451.66,0.3867,4.0,7,39.11,37
ORD-10083,4,126.49,69.81,0.17,419.95,279.24,140.71,0.3351,4.2,6,24.49,26
ORD-10084,2,259.73,145.41,0.058,489.33,290.82,198.51,0.4057,3.2,5,46.99,39
ORD-10085,6,247.4,131.79,0.121,1304.79,790.74,514.05,0.394,3.9,3,66.5,64
ORD-10086,22,70.85,47.4,0.015,1535.32,1042.8,492.52,0.3208,3.9,8,89.95,98
ORD-10087,10,309.34,178.51,0.187,2514.93,1785.1,729.83,0.2902,2.8,5,134.31,67
ORD-10088,4,180.97,101.68,0.103,649.32,406.72,242.6,0.3736,3.4,3,69.58,43
ORD-10089,22,263.39,145.85,0.12,5099.23,3208.7,1890.53,0.3707,3.7,5,209.15,137
ORD-10090,29,207.01,111.8,0.194,4838.65,3242.2,1596.45,0.3299,3.2,7,209.77,137
ORD-10091,18,349.23,194.72,0.068,5858.68,3504.96,2353.72,0.4017,4.1,2,242.74,117
ORD-10092,26,267.06,143.43,0.04,6665.82,3729.18,2936.64,0.4406,4.3,6,251.62,147
ORD-10093,12,251.84,127.39,0.047,2880.04,1528.68,1351.36,0.4692,3.5,4,140.73,89
ORD-10094,2,275.82,138.13,0.079,508.06,276.26,231.8,0.4562,3.6,7,43.77,14
ORD-10095,10,62.95,30.63,0.085,575.99,306.3,269.69,0.4682,3.9,1,29.84,37
ORD-10096,4,83.52,46.72,0.076,308.69,186.88,121.81,0.3946,3.6,7,5.0,24
ORD-10097,14,254.21,141.48,0.054,3366.76,1980.72,1386.04,0.4117,3.5,8,143.91,99
ORD-10098,16,180.48,96.83,0.139,2486.29,1549.28,937.01,0.3769,5.0,2,125.42,91
ORD-10099,15,267.8,148.0,0.045,3836.23,2220.0,1616.23,0.4213,4.6,2,188.51,108
ORD-10100,8,49.48,25.84,0.108,353.09,206.72,146.37,0.4145,2.8,8,18.43,46
ORD-10101,14,194.72,102.1,0.018,2677.01,1429.4,1247.61,0.466,3.6,3,138.7,103
ORD-10102,23,141.91,77.78,0.102,2931.01,1788.94,1142.07,0.3897,2.8,12,141.58,125
ORD-10103,28,168.1,96.52,0.096,4254.95,2702.56,1552.39,0.3648,3.5,2,191.4,117
ORD-10104,25,217.33,114.76,0.039,5221.35,2869.0,2352.35,0.4505,3.1,6,204.45,135
ORD-10105,8,183.27,96.03,0.122,1287.29,768.24,519.05,0.4032,3.6,5,47.74,53
ORD-10106,21,195.85,102.37,0.155,3475.36,2149.77,1325.59,0.3814,3.4,5,141.55,122
ORD-10107,16,177.93,88.18,0.098,2567.89,1410.88,1157.01,0.4506,3.3,6,112.82,90
ORD-10108,13,152.0,81.2,0.105,1768.52,1055.6,712.92,0.4031,4.4,6,112.75,68
ORD-10109,18,273.58,154.04,0.199,3944.48,2772.72,1171.76,0.2971,3.4,5,162.85,97
ORD-10110,15,19.09,11.37,0.047,272.89,170.55,102.34,0.375,3.7,3,37.48,52
ORD-10111,21,215.48,117.67,0.069,4212.85,2471.07,1741.78,0.4134,3.8,8,176.54,119
ORD-10112,24,204.45,113.09,0.082,4504.44,2714.16,1790.28,0.3974,3.4,7,202.27,126
ORD-10113,26,254.92,137.76,0.159,5574.08,3581.76,1992.32,0.3574,3.1,6,237.02,116
ORD-10114,25,215.67,108.88,0.023,5267.74,2722.0,2545.74,0.4833,3.5,7,228.36,129
ORD-10115,28,291.98,164.51,0.07,7603.16,4606.28,2996.88,0.3942,4.4,7,324.67,173
ORD-10116,28,336.29,190.32,0.146,8041.37,5328.96,2712.41,0.3373,3.6,4,332.91,166
ORD-10117,28,129.75,67.72,0.109,3237.0,1896.16,1340.84,0.4142,3.2,7,150.1,113
ORD-10118,13,91.16,49.38,0.174,978.88,641.94,336.94,0.3442,3.9,4,72.66,85
ORD-10119,9,156.9,85.11,0.11,1256.77,765.99,490.78,0.3905,3.4,7,53.96,49
ORD-10120,29,111.46,63.06,0.104,2896.18,1828.74,1067.44,0.3686,4.7,6,148.64,123
ORD-10121,15,221.01,130.0,0.122,2910.7,1950.0,960.7,0.3301,3.3,6,127.45,92
ORD-10122,13,320.47,182.06,0.092,3782.83,2366.78,1416.05,0.3743,4.5,4,160.75,102
ORD-10123,1,61.6,32.0,0.12,54.21,32.0,22.21,0.4097,4.1,6,27.66,43
ORD-10124,25,48.77,29.54,0.048,1160.73,738.5,422.23,0.3638,3.7,4,56.31,106
ORD-10125,7,100.77,61.7,0.048,671.53,431.9,239.63,0.3568,3.8,5,46.65,46
ORD-10126,9,258.24,144.07,0.092,2110.34,1296.63,813.71,0.3856,3.2,7,102.8,48
ORD-10127,24,213.64,117.48,0.081,4712.04,2819.52,1892.52,0.4016,3.4,7,172.23,112
ORD-10128,1,49.24,29.31,0.042,47.17,29.31,17.86,0.3786,3.6,5,23.15,15
ORD-10129,12,322.78,174.01,0.104,3470.53,2088.12,1382.41,0.3983,3.5,9,132.2,85
ORD-10130,8,279.68,151.04,0.029,2172.55,1208.32,964.23,0.4438,3.1,7,81.43,55
ORD-10131,24,22.71,7.17,0.247,410.42,172.08,238.34,0.5807,3.6,7,36.91,66
ORD-10132,11,233.21,129.8,0.174,2118.95,1427.8,691.15,0.3262,3.5,6,107.81,53
ORD-10133,19,273.37,149.7,0.017,5105.73,2844.3,2261.43,0.4429,3.8,7,237.3,131
ORD-10134,17,140.44,73.13,0.068,2225.13,1243.21,981.92,0.4413,3.6,9,87.66,80
ORD-10135,8,38.09,20.13,0.011,301.37,161.04,140.33,0.4656,3.8,4,15.94,33
ORD-10136,3,40.9,24.84,0.119,108.1,74.52,33.58,0.3106,3.7,7,26.29,30
ORD-10137,3,49.92,37.03,0.209,118.46,111.09,7.37,0.0622,3.6,5,38.1,41
ORD-10138,1,296.55,168.16,0.067,276.68,168.16,108.52,0.3922,4.1,4,28.95,24
ORD-10139,27,320.08,164.62,0.023,8443.39,4444.74,3998.65,0.4736,3.8,6,339.57,170
ORD-10140,5,56.14,32.07,0.119,247.3,160.35,86.95,0.3516,3.8,5,47.49,56
ORD-10141,10,94.03,58.86,0.035,907.39,588.6,318.79,0.3513,3.9,3,47.36,47
ORD-10142,7,70.45,32.06,0.036,475.4,224.42,250.98,0.5279,4.1,7,30.55,37
ORD-10143,26,77.42,45.34,0.121,1769.36,1178.84,590.52,0.3337,3.8,6,64.24,88
ORD-10144,9,295.56,161.37,0.031,2577.58,1452.33,1125.25,0.4366,3.2,5,128.96,60
ORD-10145,28,126.27,75.2,0.036,3408.28,2105.6,1302.68,0.3822,3.3,9,164.12,119
ORD-10146,7,119.33,67.65,0.092,758.46,473.55,284.91,0.3756,3.6,5,34.75,26
ORD-10147,9,91.18,45.73,0.084,751.69,411.57,340.12,0.4525,3.5,8,71.34,24
ORD-10148,8,218.64,119.25,0.034,1689.65,954.0,735.65,0.4354,3.9,4,73.78,51
ORD-10149,12,142.07,77.43,0.039,1638.35,929.16,709.19,0.4329,3.6,3,89.91,78
ORD-10150,2,264.32,144.76,0.85,521.24,289.52,-8000.0,0.4446,3.8,4,39.2,17
ORD-10151,1,83.87,51.72,0.054,79.34,51.72,27.62,0.3481,4.0,1,5.0,40
ORD-10152,16,278.91,149.19,0.018,4382.23,2387.04,1995.19,0.4553,4.1,7,198.45,123
ORD-10153,23,217.25,124.5,0.071,4641.98,2863.5,1778.48,0.3831,3.4,4,207.49,130
ORD-10154,23,53.28,27.79,0.058,1154.36,639.17,515.19,0.4463,3.8,4,34.68,67
ORD-10155,24,153.86,85.74,0.035,3563.4,2057.76,1505.64,0.4225,3.3,7,180.42,108
ORD-10156,5,304.28,167.72,0.061,1428.59,838.6,589.99,0.413,4.5,5,79.02,45
ORD-10157,3,324.19,178.2,0.19,787.78,534.6,253.18,0.3214,4.2,4,65.1,38
ORD-10158,12,171.01,93.99,0.039,1972.09,1127.88,844.21,0.4281,3.4,1,68.14,58
ORD-10159,8,176.08,104.13,0.006,1400.19,833.04,567.15,0.4051,3.2,8,64.85,60
ORD-10160,22,322.68,181.69,0.136,6133.5,3997.18,2136.32,0.3483,3.9,7,278.05,163
ORD-10161,27,211.67,114.6,0.087,5217.88,3094.2,2123.68,0.407,3.5,10,200.19,142
ORD-10162,3,26.0,22.21,0.134,67.55,66.63,0.92,0.0136,4.0,3,11.99,26
ORD-10163,1,320.77,177.8,0.021,314.03,177.8,136.23,0.4338,4.1,2,33.66,19
ORD-10164,3,98.16,55.78,0.15,250.31,167.34,82.97,0.3315,3.9,7,5.0,19
ORD-10165,5,208.51,110.49,0.11,927.87,552.45,375.42,0.4046,4.1,4,32.29,36
ORD-10166,15,70.45,36.26,0.158,889.78,543.9,345.88,0.3887,3.4,7,71.32,66
ORD-10167,14,26.35,11.05,0.171,305.82,154.7,151.12,0.4941,2.9,8,28.13,60
ORD-10168,3,119.34,66.07,0.045,341.91,198.21,143.7,0.4203,3.1,5,46.33,21
ORD-10169,1,276.47,155.25,0.109,246.33,155.25,91.08,0.3697,3.7,5,27.58,13
ORD-10170,5,107.99,61.23,0.101,485.42,306.15,179.27,0.3693,3.0,5,71.26,33
ORD-10171,26,88.73,56.74,0.117,2037.06,1475.24,561.82,0.2758,4.0,3,103.06,99
ORD-10172,23,86.25,43.0,0.022,1940.11,989.0,951.11,0.4902,3.4,8,111.65,98
ORD-10173,14,187.58,103.74,0.004,2615.62,1452.36,1163.26,0.4447,4.3,8,115.93,90
ORD-10174,7,341.81,181.58,0.11,2129.48,1271.06,858.42,0.4031,3.8,6,103.34,59
ORD-10175,27,168.76,88.21,0.002,4547.41,2381.67,2165.74,0.4763,3.9,3,206.52,127
ORD-10176,9,201.7,117.26,0.153,1537.56,1055.34,482.22,0.3136,3.0,5,88.62,45
ORD-10177,15,303.31,164.5,0.038,4376.76,2467.5,1909.26,0.4362,3.0,8,189.49,100
ORD-10178,15,194.25,102.82,0.048,2773.89,1542.3,1231.59,0.444,4.1,4,126.0,94
ORD-10179,26,76.8,31.59,0.082,1833.06,821.34,1011.72,0.5519,3.4,8,95.85,118
ORD-10180,10,115.36,59.38,0.087,1053.24,593.8,459.44,0.4362,4.7,5,64.65,38
ORD-10181,28,118.83,64.33,0.099,2997.84,1801.24,1196.6,0.3992,3.5,7,119.54,120
ORD-10182,13,148.1,74.67,0.05,1829.04,970.71,858.33,0.4693,3.9,4,91.54,66
ORD-10183,19,157.97,85.57,0.203,2392.14,1625.83,766.31,0.3203,3.0,6,115.5,89
ORD-10184,7,282.93,161.96,0.041,1899.31,1133.72,765.59,0.4031,4.1,6,76.33,40
ORD-10185,17,132.04,69.09,0.094,2033.68,1174.53,859.15,0.4225,3.5,3,109.94,83
ORD-10186,20,171.86,89.81,0.04,3299.71,1796.2,1503.51,0.4556,3.9,6,153.18,95
ORD-10187,29,224.37,117.78,0.012,6428.65,3415.62,3013.03,0.4687,4.4,1,307.11,172
ORD-10188,4,141.54,72.14,0.134,490.29,288.56,201.73,0.4115,3.9,3,34.22,42
ORD-10189,5,295.25,165.07,0.141,1268.1,825.35,442.75,0.3491,4.3,6,82.77,54
ORD-10190,23,211.8,116.73,0.073,4515.79,2684.79,1831.0,0.4055,3.3,8,203.72,148
ORD-10191,7,113.5,67.21,0.069,739.68,470.47,269.21,0.364,4.3,6,73.41,55
ORD-10192,13,254.21,149.91,0.011,3268.38,1948.83,1319.55,0.4037,3.5,2,131.19,84
ORD-10193,15,191.76,96.32,0.14,2473.7,1444.8,1028.9,0.4159,3.8,7,106.52,85
ORD-10194,11,194.04,108.62,0.037,2055.47,1194.82,860.65,0.4187,3.9,3,83.18,55
ORD-10195,29,176.16,91.29,0.107,4562.02,2647.41,1914.61,0.4197,3.3,7,196.31,121
ORD-10196,4,181.5,103.77,0.153,614.92,415.08,199.84,0.325,3.3,2,22.73,35
ORD-10197,13,271.39,147.9,0.061,3312.86,1922.7,1390.16,0.4196,3.7,4,124.62,62
ORD-10198,7,49.5,27.36,0.048,329.87,191.52,138.35,0.4194,3.8,3,5.0,40
ORD-10199,27,127.01,63.44,0.122,3010.9,1712.88,1298.02,0.4311,3.7,6,102.47,116
ORD-10200,19,40.29,20.03,0.06,719.58,380.57,339.01,0.4711,4.0,5,53.63,65
ORD-10201,22,267.34,147.49,0.081,5405.08,3244.78,2160.3,0.3997,3.3,7,224.37,128
ORD-10202,28,106.22,65.2,0.049,2828.43,1825.6,1002.83,0.3546,4.4,6,109.63,113
ORD-10203,2,315.64,169.63,0.068,588.35,339.26,249.09,0.4234,3.8,2,28.65,14
ORD-10204,10,191.4,102.52,0.187,1556.08,1025.2,530.88,0.3412,3.8,6,69.32,61
ORD-10205,13,283.25,160.51,0.12,3240.38,2086.63,1153.75,0.3561,4.0,2,130.15,88
ORD-10206,25,342.94,184.32,0.058,8076.24,4608.0,3468.24,0.4294,3.8,4,362.13,167
ORD-10207,21,296.33,168.69,0.047,5930.45,3542.49,2387.96,0.4027,3.8,5,273.47,136
ORD-10208,6,305.44,167.95,0.02,1795.99,1007.7,788.29,0.4389,3.5,4,110.67,58
ORD-10209,28,151.67,84.93,0.075,3928.25,2378.04,1550.21,0.3946,3.7,3,174.82,144
ORD-10210,28,199.83,111.74,0.004,5572.86,3128.72,2444.14,0.4386,2.9,9,242.12,159
ORD-10211,12,100.05,51.95,0.12,1056.53,623.4,433.13,0.41,3.2,8,47.47,31
ORD-10212,12,80.7,46.33,0.047,922.89,555.96,366.93,0.3976,3.2,10,39.21,49
ORD-10213,20,184.35,97.53,0.158,3104.45,1950.6,1153.85,0.3717,3.8,8,139.5,107
ORD-10214,11,214.34,115.38,0.059,2218.63,1269.18,949.45,0.4279,3.7,4,113.53,64
ORD-10215,26,128.66,73.56,0.131,2906.94,1912.56,994.38,0.3421,3.5,5,149.21,111
ORD-10216,23,205.76,114.63,0.09,4306.56,2636.49,1670.07,0.3878,3.8,5,179.07,114
ORD-10217,28,312.3,171.39,0.092,7939.92,4798.92,3141.0,0.3956,3.4,10,313.81,171
ORD-10218,25,201.5,104.53,0.003,5022.39,2613.25,2409.14,0.4797,3.5,6,226.91,131
ORD-10219,7,256.47,136.01,0.133,1556.52,952.07,604.45,0.3883,3.7,7,49.99,49
ORD-10220,1,284.78,158.01,0.161,238.93,158.01,80.92,0.3387,3.4,7,23.97,11
ORD-10221,1,346.22,194.08,0.049,329.26,194.08,135.18,0.4106,3.5,5,29.51,11
ORD-10222,25,217.07,113.84,0.097,4900.36,2846.0,2054.36,0.4192,3.7,3,205.33,130
ORD-10223,27,285.29,152.71,0.064,7209.85,4123.17,3086.68,0.4281,4.0,6,280.22,176
ORD-10224,25,337.49,186.29,0.1,7593.52,4657.25,2936.27,0.3867,3.5,6,313.26,172
ORD-10225,20,331.38,182.82,0.008,6574.58,3656.4,2918.18,0.4439,3.7,8,302.62,157
ORD-10226,13,62.26,26.12,0.128,705.78,339.56,366.22,0.5189,3.2,5,52.11,61
ORD-10227,9,151.14,83.93,0.092,1235.12,755.37,479.75,0.3884,4.3,3,81.83,48
ORD-10228,3,123.54,64.96,0.115,328.0,194.88,133.12,0.4059,3.3,7,9.86,14
ORD-10229,7,44.12,32.47,0.079,284.44,227.29,57.15,0.2009,4.0,4,30.21,28
ORD-10230,6,227.14,126.17,0.083,1249.72,757.02,492.7,0.3942,4.0,1,66.31,56
ORD-10231,8,261.53,145.95,0.12,1841.17,1167.6,673.57,0.3658,3.8,6,90.26,60
ORD-10232,27,299.12,166.75,0.134,6994.02,4502.25,2491.77,0.3563,3.7,7,303.1,152
ORD-10233,9,56.13,24.8,0.077,466.27,223.2,243.07,0.5213,3.8,3,35.86,58
ORD-10234,5,308.61,179.45,0.03,1496.76,897.25,599.51,0.4005,3.1,4,57.03,36
ORD-10235,1,230.38,118.59,0.051,218.63,118.59,100.04,0.4576,4.1,6,32.94,29
ORD-10236,19,250.82,141.93,0.088,4346.21,2696.67,1649.54,0.3795,3.6,6,201.46,128
ORD-10237,10,320.06,179.13,0.167,2666.1,1791.3,874.8,0.3281,4.1,2,141.44,52
ORD-10238,12,224.3,120.98,0.074,2492.42,1451.76,1040.66,0.4175,3.8,8,135.15,85
ORD-10239,24,127.52,73.47,0.091,2781.98,1763.28,1018.7,0.3662,3.2,9,133.43,108
ORD-10240,15,291.41,158.69,0.29,3103.52,2380.35,723.17,0.233,3.9,4,122.0,60
ORD-10241,27,136.62,71.76,0.267,2703.85,1937.52,766.33,0.2834,3.5,2,100.21,96
ORD-10242,22,26.47,16.91,0.023,568.95,372.02,196.93,0.3461,3.8,7,34.35,71
ORD-10243,24,293.27,156.27,0.132,6109.4,3750.48,2358.92,0.3861,3.8,4,273.17,160
ORD-10244,9,130.64,70.73,0.123,1031.14,636.57,394.57,0.3827,3.5,6,69.07,51
ORD-10245,20,274.23,147.86,0.007,5446.21,2957.2,2489.01,0.457,3.4,10,236.96,133
ORD-10246,17,136.52,73.41,0.062,2176.95,1247.97,928.98,0.4267,3.6,2,101.53,79
ORD-10247,17,303.46,169.07,0.117,4555.24,2874.19,1681.05,0.369,3.9,4,225.77,131
ORD-10248,26,88.54,45.73,0.123,2018.89,1188.98,829.91,0.4111,3.9,5,104.37,112
ORD-10249,20,341.47,186.85,0.126,5968.9,3737.0,2231.9,0.3739,3.6,8,252.45,137
ORD-10250,12,276.22,149.41,0.121,2913.57,1792.92,1120.65,0.3846,3.7,12,121.86,65
ORD-10251,7,53.27,36.52,0.062,349.77,255.64,94.13,0.2691,3.7,5,13.86,33
ORD-10252,2,204.54,114.21,0.006,406.63,228.42,178.21,0.4383,4.1,1,14.66,47
ORD-10253,3,345.1,190.91,0.025,1009.42,572.73,436.69,0.4326,3.4,4,40.25,38
ORD-10254,17,172.81,98.46,0.029,2852.57,1673.82,1178.75,0.4132,4.5,4,133.32,85
ORD-10255,5,76.01,38.83,0.027,369.79,194.15,175.64,0.475,3.1,6,29.52,50
ORD-10256,17,177.4,101.87,0.162,2527.24,1731.79,795.45,0.3148,3.7,6,111.2,78
ORD-10257,24,186.67,104.4,0.042,4291.92,2505.6,1786.32,0.4162,3.6,4,197.72,136
ORD-10258,17,263.47,137.1,0.058,4219.21,2330.7,1888.51,0.4476,3.9,4,210.91,115
ORD-10259,27,249.11,129.87,0.089,6127.36,3506.49,2620.87,0.4277,3.2,5,247.74,154
ORD-10260,17,149.85,79.56,0.015,2509.24,1352.52,1156.72,0.461,4.1,5,105.26,86
ORD-10261,2,88.04,41.82,0.131,153.01,83.64,69.37,0.4534,3.3,5,5.0,14
ORD-10262,2,231.09,125.91,0.132,401.17,251.82,149.35,0.3723,4.2,5,30.65,20
ORD-10263,28,156.27,80.88,0.013,4318.68,2264.64,2054.04,0.4756,3.2,8,185.83,123
ORD-10264,22,59.31,32.13,0.156,1101.27,706.86,394.41,0.3581,4.1,5,72.44,75
ORD-10265,23,316.69,181.24,0.022,7123.62,4168.52,2955.1,0.4148,3.5,5,298.64,160
ORD-10266,5,246.56,135.36,0.035,1189.65,676.8,512.85,0.4311,3.8,2,53.76,32
