order_id,order_value,category,customer_type
ORD-10105,53.34,Home & Kitchen,New
ORD-10106,34.12,Fitness,New
ORD-10107,49.23,Books,Returning
ORD-10108,99.9,Electronics,VIP
ORD-10109,21.4,Books,New
ORD-10110,78.31,Fashion,VIP
ORD-10111,69.59,Fitness,VIP
ORD-10112,42.25,Fashion,Returning
ORD-10113,25.34,Home & Kitchen,VIP
ORD-10114,63.01,Fashion,New
ORD-10115,43.92,Fitness,New
ORD-10116,69.38,Fashion,Returning
ORD-10117,61.14,Fashion,Returning
ORD-10118,157.76,Home & Kitchen,New
ORD-10119,52.27,Home & Kitchen,New
ORD-10120,32.65,Fashion,New
ORD-10121,67.19,Home & Kitchen,New
ORD-10122,68.85,Fashion,New
ORD-10123,136.39,Home & Kitchen,VIP
ORD-10124,99.59,Home & Kitchen,New
ORD-10125,74.75,Home & Kitchen,Returning
ORD-10126,145.18,Fitness,New
ORD-10127,29.57,Fashion,New
ORD-10128,41.11,Electronics,VIP
ORD-10129,34.61,Home & Kitchen,New
ORD-10130,47.76,Electronics,New
ORD-10131,26.42,Electronics,Returning
ORD-10132,88.33,Fitness,New
ORD-10133,52.81,Fashion,New
ORD-10134,24.97,Fashion,VIP
ORD-10135,32.81,Books,New
ORD-10136,72.83,Electronics,Returning
ORD-10137,99.77,Electronics,New
ORD-10138,199.94,Electronics,New
ORD-10139,346.65,Electronics,Returning
ORD-10140,77.37,Home & Kitchen,Returning
ORD-10141,33.32,Fitness,New
ORD-10142,16.79,Home & Kitchen,VIP
ORD-10143,70.85,Fashion,Returning
ORD-10144,37.05,Fashion,Returning
ORD-10145,47.03,Electronics,Returning
ORD-10146,41.79,Home & Kitchen,Returning
ORD-10147,55.45,Home & Kitchen,Returning
ORD-10148,114.39,Electronics,New
ORD-10149,66.3,Fitness,VIP
ORD-10150,54.86,Fitness,Returning
ORD-10151,32.41,Fashion,VIP
ORD-10152,22.09,Home & Kitchen,VIP
ORD-10153,45.07,Home & Kitchen,New
ORD-10154,58.42,Electronics,New
ORD-10155,174.3,Electronics,Returning
ORD-10156,65.25,Home & Kitchen,Returning
ORD-10157,108.81,Books,Returning
ORD-10158,44.72,Home & Kitchen,New
ORD-10159,29.64,Home & Kitchen,Returning
ORD-10160,33.82,Home & Kitchen,VIP
ORD-10161,39.05,Fashion,VIP
ORD-10162,216.39,Electronics,New
ORD-10163,36.86,Fashion,VIP
ORD-10164,99.79,Books,New
ORD-10165,35.1,Fitness,Returning
ORD-10166,105.52,Books,New
ORD-10167,76.02,Electronics,Returning
ORD-10168,54.93,Fashion,New
ORD-10169,58.88,Home & Kitchen,New
ORD-10170,40.74,Electronics,New
ORD-10171,78.86,Electronics,VIP
ORD-10172,45.93,Fitness,Returning
ORD-10173,28.92,Home & Kitchen,Returning
ORD-10174,28.03,Home & Kitchen,Returning
ORD-10175,66.92,Fashion,New
ORD-10176,155.63,Fashion,New
ORD-10177,66.42,Electronics,New
ORD-10178,56.19,Electronics,Returning
ORD-10179,71.63,Fashion,VIP
ORD-10180,132.11,Fashion,New
ORD-10181,68.83,Books,Returning
ORD-10182,47.16,Fashion,Returning
ORD-10183,117.19,Electronics,VIP
ORD-10184,78.04,Electronics,New
ORD-10185,151.63,Home & Kitchen,VIP
ORD-10186,67.35,Electronics,Returning
ORD-10187,28.94,Electronics,Returning
ORD-10188,26.55,Fashion,Returning
ORD-10189,162.48,Fashion,New
ORD-10190,169.73,Home & Kitchen,Returning
ORD-10191,54.18,Fashion,Returning
ORD-10192,47.95,Electronics,Returning
ORD-10193,145.02,Fitness,VIP
ORD-10194,31.06,Fashion,Returning
ORD-10195,35.27,Home & Kitchen,New
ORD-10196,88.77,Electronics,New
ORD-10197,47.62,Home & Kitchen,VIP
ORD-10198,60.16,Fashion,Returning
ORD-10199,54.7,Fashion,VIP
ORD-10200,73.89,Fashion,New
ORD-10201,140.4,Books,Returning
ORD-10202,63.71,Electronics,VIP
ORD-10203,88.8,Books,Returning
ORD-10204,17.64,Books,New
ORD-10205,58.6,Fashion,New
ORD-10206,36.38,Fashion,VIP
ORD-10207,29.04,Fashion,Returning
ORD-10208,35.63,Books,New
ORD-10209,49.38,Home & Kitchen,Returning
ORD-10210,104.54,Fashion,New
ORD-10211,27.23,Electronics,New
ORD-10212,61.46,Fitness,New
ORD-10213,45.13,Electronics,New
ORD-10214,49.57,Electronics,Returning
ORD-10215,110.13,Fashion,New
ORD-10216,83.34,Fashion,Returning
ORD-10217,134.62,Fitness,Returning
ORD-10218,55.0,Fitness,New
ORD-10219,39.74,Electronics,New
ORD-10220,52.76,Fashion,New
ORD-10221,69.79,Fitness,Returning
ORD-10222,67.08,Fashion,VIP
ORD-10223,31.48,Electronics,Returning
ORD-10224,63.71,Fashion,Returning
ORD-10225,69.2,Home & Kitchen,VIP
ORD-10226,273.28,Books,Returning
ORD-10227,186.07,Home & Kitchen,Returning
ORD-10228,36.16,Electronics,Returning
ORD-10229,50.78,Home & Kitchen,New
ORD-10230,25.08,Fashion,New
ORD-10231,42.33,Fitness,Returning
ORD-10232,72.92,Fashion,Returning
ORD-10233,124.4,Electronics,New
ORD-10234,38.96,Fashion,VIP
ORD-10235,40.75,Fashion,New
ORD-10236,16.64,Electronics,Returning
ORD-10237,54.73,Home & Kitchen,VIP
ORD-10238,31.9,Fitness,New
ORD-10239,43.92,Fitness,VIP
ORD-10240,35.65,Fashion,Returning
ORD-10241,57.02,Electronics,Returning
ORD-10242,21.02,Fashion,VIP
ORD-10243,25.02,Fashion,Returning
ORD-10244,216.49,Electronics,Returning
ORD-10245,27.87,Fitness,Returning
ORD-10246,31.25,Books,New
ORD-10247,181.66,Electronics,New
ORD-10248,344.83,Fitness,New
ORD-10249,29.88,Home & Kitchen,New
ORD-10250,48.38,Fashion,Returning
ORD-10251,74.06,Home & Kitchen,VIP
ORD-10252,170.24,Electronics,VIP
ORD-10253,33.38,Electronics,New
ORD-10254,52.08,Books,Returning
ORD-10255,96.2,Home & Kitchen,Returning
ORD-10256,78.32,Fashion,New
ORD-10257,48.15,Fashion,Returning
ORD-10258,55.68,Books,New
ORD-10259,26.44,Fashion,VIP
ORD-10260,52.31,Books,New
ORD-10261,51.43,Fitness,Returning
ORD-10262,69.36,Fashion,VIP
ORD-10263,43.24,Home & Kitchen,Returning
ORD-10264,80.07,Home & Kitchen,New
ORD-10265,110.79,Fitness,New
ORD-10266,66.24,Fashion,VIP
ORD-10267,74.52,Electronics,New
ORD-10268,62.3,Electronics,New
ORD-10269,60.34,Home & Kitchen,VIP
ORD-10270,39.14,Fitness,Returning
ORD-10271,72.96,Fitness,Returning
ORD-10272,56.92,Home & Kitchen,New
ORD-10273,211.85,Electronics,Returning
ORD-10274,155.09,Electronics,Returning
ORD-10275,76.06,Fitness,New
ORD-10276,38.17,Fashion,New
ORD-10277,30.96,Fitness,New
ORD-10278,123.31,Electronics,Returning
ORD-10279,70.64,Fashion,New
ORD-10280,80.49,Books,VIP
ORD-10281,21.18,Electronics,New
ORD-10282,105.26,Electronics,New
ORD-10283,79.25,Home & Kitchen,VIP
ORD-10284,30.99,Home & Kitchen,VIP
ORD-10285,45.47,Books,Returning
ORD-10286,70.68,Books,VIP
ORD-10287,62.27,Home & Kitchen,New
ORD-10288,50.64,Electronics,Returning
ORD-10289,56.71,Fashion,New
ORD-10290,51.87,Fitness,Returning
ORD-10291,66.12,Fashion,Returning
ORD-10292,145.9,Books,Returning
ORD-10293,12.94,Home & Kitchen,New
ORD-10294,52.35,Electronics,New
ORD-10295,67.08,Fashion,VIP
ORD-10296,72.07,Home & Kitchen,Returning
ORD-10297,48.27,Electronics,New
ORD-10298,21.03,Fashion,New
ORD-10299,73.46,Home & Kitchen,New
ORD-10300,170.1,Electronics,New
ORD-10301,24.04,Fashion,New
ORD-10302,101.32,Home & Kitchen,Returning
ORD-10303,49.55,Fitness,Returning
ORD-10304,58.16,Fashion,Returning
ORD-10305,32.08,Books,New
ORD-10306,49.37,Books,New
ORD-10307,131.63,Fashion,New
ORD-10308,85.59,Electronics,VIP
ORD-10309,170.61,Fitness,Returning
ORD-10310,122.3,Electronics,New
ORD-10311,78.53,Fitness,Returning
ORD-10312,171.81,Home & Kitchen,Returning
ORD-10313,78.52,Fashion,Returning
ORD-10314,99.17,Home & Kitchen,Returning
ORD-10315,50.5,Fashion,VIP
ORD-10316,62.8,Books,New
ORD-10317,39.71,Electronics,Returning
ORD-10318,109.26,Books,Returning
ORD-10319,29.76,Electronics,Returning
ORD-10320,96.49,Fitness,New
ORD-10321,53.82,Books,Returning
ORD-10322,121.84,Fashion,New
ORD-10323,94.68,Electronics,Returning
ORD-10324,179.9,Fitness,Returning
ORD-10325,93.55,Fitness,New
ORD-10326,23.49,Fashion,VIP
ORD-10327,57.96,Fashion,Returning
ORD-10328,29.87,Fitness,Returning
ORD-10329,44.21,Electronics,VIP
ORD-10330,149.42,Home & Kitchen,Returning
ORD-10331,88.46,Fashion,New
ORD-10332,39.67,Electronics,Returning
ORD-10333,32.84,Fitness,Returning
ORD-10334,61.54,Fashion,Returning
ORD-10335,29.08,Books,VIP
ORD-10336,40.34,Home & Kitchen,Returning
ORD-10337,72.76,Fashion,New
ORD-10338,120.69,Fashion,Returning
ORD-10339,86.94,Fashion,Returning
ORD-10340,15.26,Fitness,New
ORD-10341,72.43,Home & Kitchen,New
ORD-10342,63.01,Fitness,New
ORD-10343,77.35,Fashion,Returning
ORD-10344,159.13,Fashion,New
ORD-10345,17.5,Electronics,New
ORD-10346,42.32,Fitness,New
ORD-10347,86.02,Fashion,Returning
ORD-10348,23.36,Fashion,New
ORD-10349,146.29,Fashion,New
ORD-10350,75.26,Fashion,Returning
ORD-10351,100.28,Home & Kitchen,New
ORD-10352,42.84,Home & Kitchen,New
ORD-10353,98.32,Books,Returning
ORD-10354,114.56,Electronics,New
ORD-10355,69.39,Home & Kitchen,New
ORD-10356,69.45,Electronics,New
ORD-10357,70.97,Fitness,New
ORD-10358,35.95,Home & Kitchen,Returning
ORD-10359,55.23,Fashion,VIP
ORD-10360,55.06,Fitness,New
ORD-10361,75.95,Fashion,Returning
ORD-10362,109.94,Electronics,VIP
ORD-10363,31.97,Fashion,Returning
ORD-10364,55.98,Electronics,Returning
ORD-10365,146.77,Fitness,Returning
ORD-10366,38.62,Home & Kitchen,Returning
ORD-10367,36.84,Fitness,VIP
ORD-10368,68.13,Fitness,New
ORD-10369,100.15,Fitness,VIP
ORD-10370,60.76,Fashion,Returning
ORD-10371,133.94,Electronics,Returning
ORD-10372,100.89,Fashion,Returning
ORD-10373,99.99,Books,New
ORD-10374,84.14,Books,New
ORD-10375,243.86,Fitness,VIP
ORD-10376,53.35,Electronics,Returning
ORD-10377,18.14,Electronics,VIP
ORD-10378,157.99,Fitness,New
ORD-10379,45.85,Electronics,New
ORD-10380,64.38,Home & Kitchen,New
ORD-10381,132.39,Fashion,New
ORD-10382,23.07,Fashion,Returning
ORD-10383,28.47,Home & Kitchen,VIP
ORD-10384,23.09,Books,VIP
ORD-10385,37.47,Fitness,Returning
ORD-10386,78.55,Fashion,New
ORD-10387,82.64,Fashion,Returning
ORD-10388,71.22,Books,Returning
ORD-10389,25.85,Home & Kitchen,Returning
ORD-10390,15.09,Fashion,Returning
ORD-10391,62.34,Home & Kitchen,New
ORD-10392,45.46,Electronics,New
ORD-10393,79.49,Electronics,VIP
ORD-10394,91.94,Fitness,Returning
ORD-10395,65.56,Home & Kitchen,VIP
ORD-10396,95.21,Electronics,New
ORD-10397,69.24,Fashion,Returning
ORD-10398,82.93,Books,New
ORD-10399,39.54,Home & Kitchen,VIP
ORD-10400,54.18,Home & Kitchen,New
ORD-10401,67.9,Electronics,Returning
ORD-10402,98.72,Books,New
ORD-10403,47.64,Fitness,New
ORD-10404,82.49,Fashion,New
ORD-10405,51.44,Fashion,Returning
ORD-10406,56.23,Home & Kitchen,Returning
ORD-10407,99.26,Fitness,VIP
ORD-10408,18.25,Fitness,Returning
ORD-10409,27.72,Books,Returning
ORD-10410,24.8,Home & Kitchen,Returning
ORD-10411,14.88,Fashion,New
ORD-10412,40.17,Fashion,Returning
ORD-10413,94.6,Fitness,Returning
ORD-10414,50.86,Fashion,Returning
ORD-10415,67.94,Electronics,New
ORD-10416,115.99,Home & Kitchen,New
ORD-10417,133.84,Fashion,New
ORD-10418,57.89,Fitness,VIP
ORD-10419,135.93,Electronics,Returning
ORD-10420,63.77,Fashion,Returning
ORD-10421,36.51,Fashion,Returning
ORD-10422,42.24,Home & Kitchen,Returning
ORD-10423,24.82,Fitness,New
ORD-10424,35.41,Fashion,New
ORD-10425,48.68,Fashion,Returning
ORD-10426,97.72,Electronics,New
ORD-10427,169.43,Home & Kitchen,New
ORD-10428,26.33,Books,Returning
ORD-10429,76.38,Fitness,New
ORD-10430,32.32,Electronics,VIP
ORD-10431,80.22,Home & Kitchen,Returning
ORD-10432,55.78,Fashion,VIP
ORD-10433,20.11,Electronics,VIP
ORD-10434,105.32,Electronics,New
ORD-10435,41.97,Electronics,New
ORD-10436,43.8,Electronics,Returning
ORD-10437,31.76,Fitness,New
ORD-10438,40.75,Fashion,VIP
ORD-10439,78.0,Fitness,New
ORD-10440,53.86,Books,Returning
ORD-10441,73.49,Home & Kitchen,Returning
ORD-10442,74.97,Fashion,VIP
ORD-10443,133.27,Fitness,Returning
ORD-10444,49.12,Electronics,Returning
ORD-10445,24.88,Fashion,New
ORD-10446,114.47,Fashion,Returning
ORD-10447,49.46,Fitness,Returning
ORD-10448,117.77,Fitness,Returning
ORD-10449,75.95,Fitness,Returning
ORD-10450,55.77,Home & Kitchen,New
ORD-10451,74.39,Fashion,New
ORD-10452,194.53,Fitness,VIP
ORD-10453,209.81,Fitness,New
ORD-10454,62.91,Fashion,Returning
ORD-10455,66.43,Books,Returning
ORD-10456,115.09,Fitness,VIP
ORD-10457,36.33,Fashion,New
ORD-10458,73.69,Electronics,New
ORD-10459,59.41,Electronics,VIP
ORD-10460,72.85,Fitness,Returning
ORD-10461,36.6,Electronics,Returning
ORD-10462,23.25,Fashion,New
ORD-10463,17.4,Home & Kitchen,New
ORD-10464,30.86,Fitness,VIP
ORD-10465,45.82,Fitness,Returning
ORD-10466,50.61,Fitness,VIP
ORD-10467,192.93,Fashion,VIP
ORD-10468,117.17,Electronics,Returning
ORD-10469,33.88,Home & Kitchen,Returning
ORD-10470,74.34,Electronics,Returning
ORD-10471,47.26,Home & Kitchen,Returning
ORD-10472,50.88,Books,Returning
ORD-10473,67.44,Home & Kitchen,New
ORD-10474,87.49,Home & Kitchen,VIP
ORD-10475,49.23,Home & Kitchen,Returning
ORD-10476,114.24,Fitness,VIP
ORD-10477,30.41,Fashion,New
ORD-10478,60.57,Fashion,Returning
ORD-10479,286.75,Electronics,Returning
ORD-10480,68.98,Home & Kitchen,Returning
ORD-10481,142.58,Fashion,New
ORD-10482,63.75,Fashion,New
ORD-10483,85.5,Fitness,Returning
ORD-10484,58.32,Electronics,VIP
ORD-10485,54.48,Home & Kitchen,New
ORD-10486,37.8,Electronics,New
ORD-10487,78.11,Fashion,Returning
ORD-10488,36.2,Electronics,New
ORD-10489,89.96,Electronics,New
ORD-10490,115.72,Books,Returning
ORD-10491,75.18,Books,Returning
ORD-10492,50.82,Home & Kitchen,New
ORD-10493,79.23,Home & Kitchen,New
ORD-10494,50.14,Fitness,VIP
ORD-10495,105.78,Fitness,Returning
ORD-10496,20.11,Fashion,Returning
ORD-10497,49.34,Electronics,New
ORD-10498,18.27,Home & Kitchen,Returning
ORD-10499,24.61,Books,Returning
ORD-10500,136.77,Fashion,New
ORD-10501,103.25,Fashion,Returning
ORD-10502,39.19,Fashion,Returning
ORD-10503,24.5,Fashion,New
ORD-10504,10.19,Home & Kitchen,Returning
ORD-10505,43.55,Fashion,New
ORD-10506,257.82,Books,Returning
ORD-10507,78.33,Fitness,VIP
ORD-10508,43.13,Electronics,New
ORD-10509,79.76,Fitness,New
ORD-10510,23.65,Fitness,New
ORD-10511,50.48,Fashion,VIP
ORD-10512,64.05,Fashion,New
ORD-10513,57.3,Fitness,New
ORD-10514,96.98,Fashion,Returning
ORD-10515,74.2,Electronics,Returning
ORD-10516,90.11,Fashion,Returning
ORD-10517,39.92,Fashion,VIP
ORD-10518,103.41,Home & Kitchen,New
ORD-10519,160.35,Electronics,Returning
ORD-10520,33.71,Home & Kitchen,Returning
ORD-10521,35.42,Fashion,New
ORD-10522,134.49,Fitness,VIP
ORD-10523,53.8,Fashion,Returning
ORD-10524,140.09,Books,New
ORD-10525,46.27,Books,New
ORD-10526,144.46,Electronics,New
ORD-10527,65.29,Home & Kitchen,VIP
ORD-10528,70.45,Electronics,New
ORD-10529,154.29,Fitness,VIP
ORD-10530,48.57,Home & Kitchen,New
ORD-10531,34.31,Fashion,VIP
ORD-10532,46.1,Electronics,Returning
ORD-10533,79.15,Fashion,New
ORD-10534,23.58,Fitness,New
ORD-10535,88.45,Fitness,Returning
ORD-10536,43.67,Electronics,New
ORD-10537,120.14,Fashion,New
ORD-10538,14.35,Fashion,Returning
ORD-10539,37.64,Home & Kitchen,VIP
ORD-10540,21.94,Electronics,Returning
ORD-10541,36.75,Fashion,VIP
ORD-10542,70.01,Fitness,Returning
ORD-10543,54.19,Fashion,Returning
ORD-10544,51.83,Home & Kitchen,New
ORD-10545,54.84,Fashion,Returning
ORD-10546,68.17,Fashion,Returning
ORD-10547,32.95,Home & Kitchen,Returning
ORD-10548,92.21,Fashion,VIP
ORD-10549,89.8,Electronics,Returning
ORD-10550,76.02,Books,Returning
ORD-10551,84.26,Fitness,Returning
ORD-10552,72.09,Home & Kitchen,New
ORD-10553,204.6,Electronics,New
ORD-10554,57.27,Electronics,VIP
ORD-10555,50.19,Electronics,New
ORD-10556,38.39,Books,Returning
ORD-10557,32.48,Fitness,Returning
ORD-10558,28.6,Fashion,VIP
ORD-10559,35.4,Books,Returning
ORD-10560,57.83,Electronics,New
ORD-10561,73.74,Home & Kitchen,New
ORD-10562,62.22,Electronics,Returning
ORD-10563,38.12,Fashion,New
ORD-10564,103.56,Books,Returning
ORD-10565,94.03,Fitness,New
ORD-10566,54.83,Electronics,New
ORD-10567,40.78,Electronics,VIP
ORD-10568,83.85,Home & Kitchen,VIP
ORD-10569,67.54,Electronics,Returning
ORD-10570,25.31,Home & Kitchen,New
ORD-10571,57.93,Home & Kitchen,VIP
ORD-10572,70.61,Fashion,Returning
ORD-10573,35.17,Fashion,VIP
ORD-10574,67.62,Electronics,New
ORD-10575,25.21,Books,New
ORD-10576,134.52,Fashion,Returning
ORD-10577,127.58,Home & Kitchen,VIP
ORD-10578,51.86,Fashion,New
ORD-10579,75.04,Home & Kitchen,New
ORD-10580,14.21,Electronics,Returning
ORD-10581,30.15,Electronics,VIP
ORD-10582,50.59,Home & Kitchen,Returning
ORD-10583,31.71,Home & Kitchen,VIP
ORD-10584,92.63,Fashion,Returning
ORD-10585,200.01,Fashion,VIP
ORD-10586,29.79,Books,Returning
ORD-10587,36.51,Electronics,New
ORD-10588,69.5,Electronics,Returning
ORD-10589,158.65,Fashion,Returning
ORD-10590,28.98,Fashion,Returning
ORD-10591,70.06,Home & Kitchen,New
ORD-10592,179.97,Home & Kitchen,Returning
ORD-10593,22.4,Fashion,Returning
ORD-10594,27.98,Home & Kitchen,New
ORD-10595,46.8,Fashion,VIP
ORD-10596,44.15,Fitness,New
ORD-10597,98.25,Electronics,New
ORD-10598,69.76,Fashion,New
ORD-10599,20.8,Home & Kitchen,Returning
ORD-10600,82.21,Fashion,New
ORD-10601,42.67,Electronics,Returning
ORD-10602,129.63,Fashion,Returning
ORD-10603,41.41,Home & Kitchen,Returning
ORD-10604,41.18,Electronics,VIP
ORD-10605,83.49,Home & Kitchen,VIP
ORD-10606,95.37,Fitness,New
ORD-10607,78.95,Home & Kitchen,New
ORD-10608,21.95,Electronics,New
ORD-10609,83.33,Fitness,Returning
ORD-10610,32.44,Electronics,New
ORD-10611,69.49,Books,Returning
ORD-10612,25.68,Home & Kitchen,Returning
ORD-10613,78.87,Electronics,Returning
ORD-10614,37.19,Fitness,New
ORD-10615,27.95,Fashion,New
ORD-10616,92.6,Fashion,New
ORD-10617,69.75,Fashion,Returning
ORD-10618,41.75,Home & Kitchen,Returning
ORD-10619,144.13,Home & Kitchen,Returning
ORD-10620,46.32,Fitness,Returning
ORD-10621,61.51,Fashion,Returning
ORD-10622,70.91,Home & Kitchen,New
ORD-10623,41.6,Home & Kitchen,New
ORD-10624,80.05,Home & Kitchen,New
ORD-10625,43.81,Fashion,New
ORD-10626,47.14,Fashion,New
ORD-10627,136.67,Fitness,Returning
ORD-10628,32.32,Fashion,New
ORD-10629,14.19,Electronics,New
ORD-10630,158.63,Fashion,New
ORD-10631,278.55,Fashion,New
ORD-10632,47.32,Electronics,New
ORD-10633,18.88,Electronics,New
ORD-10634,50.08,Home & Kitchen,New
ORD-10635,50.82,Books,VIP
ORD-10636,53.84,Fashion,New
ORD-10637,30.94,Electronics,New
ORD-10638,85.43,Fitness,Returning
ORD-10639,82.66,Fashion,New
ORD-10640,24.62,Books,Returning
ORD-10641,91.79,Home & Kitchen,New
ORD-10642,206.77,Electronics,VIP
ORD-10643,66.9,Fashion,VIP
ORD-10644,49.28,Fashion,Returning
ORD-10645,55.41,Fitness,New
ORD-10646,87.28,Electronics,Returning
ORD-10647,21.36,Fitness,New
ORD-10648,66.6,Fitness,Returning
ORD-10649,47.74,Fitness,New
ORD-10650,182.86,Fitness,Returning
ORD-10651,54.35,Electronics,New
ORD-10652,164.14,Fashion,Returning
ORD-10653,31.12,Fitness,New
ORD-10654,85.83,Fashion,New
ORD-10655,73.09,Electronics,Returning
ORD-10656,35.82,Fashion,Returning
ORD-10657,67.12,Electronics,New
ORD-10658,124.9,Fitness,New
ORD-10659,49.69,Fashion,VIP
ORD-10660,21.86,Home & Kitchen,Returning
ORD-10661,59.71,Books,Returning
ORD-10662,35.11,Fashion,Returning
ORD-10663,49.14,Fitness,Returning
ORD-10664,57.46,Electronics,Returning
ORD-10665,21.68,Electronics,New
ORD-10666,22.89,Electronics,Returning
ORD-10667,80.58,Fashion,Returning
ORD-10668,44.1,Fashion,New
ORD-10669,12.95,Fashion,Returning
ORD-10670,96.63,Electronics,New
ORD-10671,71.05,Electronics,New
ORD-10672,39.32,Home & Kitchen,Returning
ORD-10673,27.38,Electronics,VIP
ORD-10674,99.63,Fitness,New
ORD-10675,74.41,Books,Returning
ORD-10676,252.03,Home & Kitchen,New
ORD-10677,77.64,Home & Kitchen,Returning
ORD-10678,76.14,Home & Kitchen,Returning
ORD-10679,54.59,Home & Kitchen,Returning
ORD-10680,98.5,Books,New
ORD-10681,87.8,Books,New
ORD-10682,127.87,Fashion,Returning
ORD-10683,44.13,Home & Kitchen,New
ORD-10684,46.47,Fitness,New
ORD-10685,45.27,Electronics,New
ORD-10686,96.98,Fashion,Returning
ORD-10687,148.27,Home & Kitchen,New
ORD-10688,45.82,Home & Kitchen,Returning
ORD-10689,46.77,Fashion,New
ORD-10690,72.85,Fashion,Returning
ORD-10691,52.07,Electronics,VIP
ORD-10692,106.83,Home & Kitchen,New
ORD-10693,15.63,Books,Returning
ORD-10694,36.74,Fitness,Returning
ORD-10695,37.73,Fashion,New
ORD-10696,15.0,Fashion,Returning
ORD-10697,33.85,Fitness,VIP
ORD-10698,34.84,Home & Kitchen,Returning
ORD-10699,53.48,Fashion,VIP
ORD-10700,117.66,Fashion,Returning
ORD-10701,52.09,Electronics,Returning
ORD-10702,32.51,Fitness,New
ORD-10703,58.31,Home & Kitchen,VIP
ORD-10704,113.24,Fashion,Returning
ORD-10705,33.6,Books,New
