Record_ID,Advertising_Spend,Sales,Region,Month
REC-20101,67276.94,138684.71,East,Mar
REC-20102,38292.04,85148.76,East,Mar
REC-20103,55771.36,117602.4,East,Sep
REC-20104,91680.98,197125.9,West,May
REC-20105,32436.3,75807.62,South,Dec
REC-20106,46934.46,114697.98,South,Sep
REC-20107,77999.6,202756.49,East,Sep
REC-20108,30591.83,95745.54,West,Jan
REC-20109,16928.19,49602.32,East,Feb
REC-20110,36077.63,111561.58,East,May
REC-20111,24509.92,61772.5,South,Apr
REC-20112,93672.79,156924.78,West,Oct
REC-20113,82730.83,155769.94,North,Sep
REC-20114,67006.34,111937.16,South,Jul
REC-20115,88431.45,177849.37,North,Jun
REC-20116,82330.49,173526.41,South,Jul
REC-20117,26791.31,103400.23,South,Jan
REC-20118,90330.31,193479.25,South,Jan
REC-20119,58540.8,126429.63,East,Aug
REC-20120,82669.61,188734.6,South,Feb
REC-20121,90648.22,148366.36,South,Dec
REC-20122,38620.31,98757.62,North,Oct
REC-20123,19904.67,74703.98,South,Nov
REC-20124,30514.16,53310.94,North,Sep
REC-20125,48439.7,132779.03,North,Jul
REC-20126,83621.33,181611.33,East,Jun
REC-20127,87465.75,174963.17,East,Jan
REC-20128,10625.69,55516.32,East,Jan
REC-20129,55967.26,166613.54,South,Feb
REC-20130,47566.99,113894.17,South,Jun
REC-20131,29989.7,83449.43,West,Jun
REC-20132,20787.88,54149.69,South,Feb
REC-20133,40385.37,82396.47,South,Jan
REC-20134,94861.87,210697.41,North,Oct
REC-20135,39088.26,79949.36,South,May
REC-20136,56691.16,128332.28,South,May
REC-20137,73271.71,148291.24,South,Feb
REC-20138,42726.66,110529.62,East,Jun
REC-20139,97460.39,206434.62,South,Sep
REC-20140,96620.26,217592.19,East,Feb
REC-20141,32660.41,74608.44,East,Oct
REC-20142,54752.37,118696.52,West,Feb
REC-20143,37079.05,74124.54,East,Mar
REC-20144,35635.64,81146.87,West,Jul
REC-20145,13319.83,55767.1,North,Jun
REC-20146,64860.79,155375.22,North,Dec
REC-20147,55241.11,107835.02,North,Aug
REC-20148,14633.09,66992.47,East,Aug
REC-20149,35078.18,112542.21,West,Jun
REC-20151,31560.57,115591.35,West,Nov
REC-20152,23040.54,52544.77,North,Oct
REC-20153,54050.75,99887.57,West,Mar
REC-20154,98708.54,170658.41,South,Mar
REC-20155,31784.97,109141.74,North,Jan
REC-20156,70492.2,163664.54,South,Jul
REC-20157,78545.77,165381.86,North,May
REC-20158,31387.38,86536.72,North,Apr
REC-20159,75539.47,140712.24,South,Oct
REC-20160,43100.48,146604.4,West,Apr
REC-20161,66907.52,147759.52,South,Apr
REC-20162,67017.67,147600.91,South,Jun
REC-20163,58219.72,142859.3,East,Aug
REC-20164,18126.08,66285.11,East,Aug
REC-20165,85177.22,182348.91,North,May
REC-20166,38870.21,80737.84,South,Jun
REC-20167,26786.67,81702.44,North,Apr
REC-20168,13669.76,83482.01,North,Dec
REC-20169,63180.36,162942.21,East,Nov
REC-20170,70980.79,181442.78,North,Sep
REC-20171,11492.9,36485.34,South,Aug
REC-20172,56088.38,108146.2,East,Oct
REC-20173,30384.62,77428.15,North,Dec
REC-20174,68065.55,148521.04,East,Oct
REC-20175,25692.98,90942.81,North,Jan
REC-20176,72184.4,124467.56,West,Feb
REC-20177,44806.18,133183.03,South,Sep
REC-20178,94305.7,191906.12,West,Aug
REC-20179,22376.88,57594.52,East,Mar
REC-20180,40695.97,80034.87,North,Aug
REC-20181,20212.62,31595.3,East,Dec
REC-20182,93222.43,207617.44,West,Jan
REC-20183,88960.54,186448.7,East,Oct
REC-20184,33214.75,61567.25,West,Apr
REC-20185,69398.56,126605.99,West,Mar
REC-20186,83550.0,169345.88,North,Jun
REC-20187,59968.07,162984.91,North,Jul
REC-20188,57668.55,124130.75,East,Apr
REC-20189,31766.71,55123.5,South,Jul
REC-20190,18379.25,53659.27,West,Sep
REC-20191,90749.42,183439.93,West,Nov
REC-20192,91037.63,140323.77,South,Feb
REC-20193,66979.13,144585.13,North,Nov
REC-20194,40512.68,93766.0,East,Mar
REC-20195,41428.86,112103.66,North,May
REC-20196,75336.01,193886.03,West,Mar
REC-20197,90739.92,208610.03,South,Nov
REC-20198,89837.78,181868.01,East,Aug
REC-20199,80188.8,149422.37,North,Dec
REC-20200,67782.85,193329.61,East,Oct
REC-20201,17572.6,57696.61,South,Aug
REC-20202,24546.58,69434.57,East,Aug
REC-20203,90869.88,188131.53,North,Dec
REC-20204,64578.62,144807.04,East,Dec
REC-20205,10827.73,41891.43,West,Sep
REC-20206,19132.44,49112.48,North,Apr
REC-20207,69715.16,140643.83,North,May
REC-20208,10455.54,43230.41,North,May
REC-20209,24472.72,59269.25,East,Aug
REC-20210,59386.04,119063.65,East,Jul
REC-20211,72270.57,157002.77,South,Sep
REC-20212,68676.51,144028.13,North,Aug
REC-20213,30184.24,106403.51,South,Feb
REC-20214,74096.13,110655.58,East,Oct
REC-20215,31352.42,101081.48,South,Dec
REC-20216,39285.97,118144.28,West,Apr
REC-20217,77184.23,126610.59,North,Jun
REC-20218,68466.96,142072.15,East,Dec
REC-20219,86430.11,173888.26,South,Feb
REC-20220,69185.16,124198.08,South,Jul
REC-20221,61147.77,121065.29,East,Mar
REC-20222,18430.73,38184.95,East,Mar
REC-20223,43094.42,134110.82,West,Nov
REC-20224,33868.21,102804.99,North,Feb
REC-20225,31959.07,105414.32,North,Nov
REC-20226,97570.95,213617.81,East,Aug
REC-20227,45378.8,86358.91,East,Jun
REC-20228,90284.19,178070.18,North,Jan
REC-20229,66802.48,154053.21,North,Dec
REC-20230,81533.02,149761.14,North,Jan
REC-20231,55237.34,137261.18,West,Jul
REC-20232,61921.35,132132.57,North,Aug
REC-20233,54326.59,116041.09,South,May
REC-20234,27571.87,87426.65,North,Dec
REC-20235,75020.69,168033.98,South,Nov
REC-20236,35269.51,81987.73,North,May
REC-20237,12188.44,67807.13,South,Apr
REC-20238,68092.51,128107.38,North,Jun
REC-20239,25939.96,82778.77,West,Jun
REC-20240,94641.27,206030.11,North,Mar
REC-20241,95853.57,191964.59,South,Sep
REC-20242,92337.8,197078.43,West,Dec
REC-20243,43314.28,80445.66,East,Nov
REC-20244,11391.1,62136.47,South,Jul
REC-20245,93548.67,190059.37,South,Jan
REC-20246,48536.57,102956.81,South,Jul
REC-20247,96998.93,218480.24,East,May
REC-20248,96725.8,186428.25,West,May
REC-20249,86770.85,155835.23,East,Feb
REC-20250,36500.4,62681.39,East,Apr
REC-20251,44658.8,116294.02,East,Dec
REC-20252,86602.3,157836.41,South,Jun
REC-20253,38522.98,125927.66,North,Oct
REC-20254,25254.35,32983.1,East,Nov
REC-20255,60112.11,163738.01,West,Jul
REC-20256,94253.93,198455.39,North,Nov
REC-20257,72642.68,154015.99,East,May
REC-20258,61305.51,125541.37,North,Sep
REC-20259,18745.88,65927.03,South,Mar
REC-20260,65350.65,141953.75,North,Jan
REC-20261,99104.85,223248.16,South,Apr
REC-20262,22607.56,67749.71,East,Sep
REC-20263,56649.67,129674.84,South,Apr
REC-20264,88963.58,178589.42,East,Feb
REC-20265,76669.18,161979.5,East,Oct
REC-20266,72731.42,161456.99,West,May
REC-20267,73223.57,126019.39,North,Mar
REC-20268,42354.2,76970.22,South,Dec
REC-20269,36423.27,103940.64,North,Sep
REC-20270,82842.5,177192.08,West,Apr
REC-20271,82910.21,170926.68,West,Jun
REC-20272,88036.51,183797.53,South,Feb
REC-20273,92191.65,197201.44,West,Jun
REC-20274,56020.82,116121.8,South,Mar
REC-20275,55136.47,110236.16,East,Dec
REC-20276,81846.57,175849.04,North,Dec
REC-20277,68496.75,130683.44,East,Sep
REC-20278,73177.02,164067.19,North,Nov
REC-20279,81621.34,141271.91,West,Feb
REC-20280,90100.48,205705.67,East,Dec
REC-20281,40419.56,106261.96,East,Dec
REC-20282,43802.47,108452.98,North,Sep
REC-20283,18458.37,75913.5,South,May
REC-20284,62045.21,166659.92,North,Aug
REC-20285,13234.8,67081.3,South,Feb
REC-20286,51903.82,85291.14,North,Jun
REC-20287,58838.02,107876.05,West,Mar
REC-20288,35788.71,78172.94,East,Dec
REC-20289,63174.99,139184.62,South,Dec
REC-20290,12745.02,57258.9,South,Oct
REC-20291,13361.34,35987.02,South,May
REC-20292,84034.05,179623.09,East,Dec
REC-20293,42417.16,87754.0,South,Aug
REC-20294,21435.45,52576.49,West,Oct
REC-20295,57001.89,102283.5,South,Jan
REC-20296,79299.42,151120.76,West,May
REC-20297,29423.89,53632.68,West,Mar
REC-20298,66060.14,126342.53,North,Apr
REC-20299,17681.27,75791.84,West,Feb
REC-20300,14651.35,34283.25,North,Sep
REC-20301,57821.92,176462.33,West,Mar
REC-20302,58657.16,139462.61,South,Feb
REC-20303,67368.69,149590.69,West,Oct
REC-20304,75348.22,145176.36,West,Nov
REC-20305,97826.69,213693.62,West,Sep
REC-20306,56467.03,116279.17,East,Jul
REC-20307,39066.08,97515.12,South,Jun
REC-20308,81566.76,217901.69,North,Jan
REC-20309,34374.9,85145.74,South,May
REC-20310,49507.43,134800.29,North,Dec
REC-20311,17061.07,43052.75,East,Nov
REC-20312,12281.57,46477.03,South,Nov
REC-20313,96638.36,230823.46,West,Mar
REC-20314,85238.21,167143.37,East,Jan
REC-20315,72637.68,188371.9,West,Apr
REC-20316,46805.76,121989.9,North,Feb
REC-20317,25596.49,60949.28,West,Feb
REC-20318,24079.33,79726.13,West,Mar
REC-20319,32521.86,101045.33,South,Aug
REC-20320,59430.4,143167.3,East,Aug
REC-20321,74313.63,130500.49,East,Dec
REC-20322,69417.76,136863.5,North,Jul
REC-20323,35194.05,83893.95,South,Jun
REC-20324,95937.88,196348.38,South,Sep
REC-20325,76410.72,173711.39,North,Apr
REC-20326,59891.86,136003.97,South,Dec
REC-20327,65054.87,118062.57,North,Jan
REC-20328,47764.01,117818.78,North,Aug
REC-20329,32295.79,94122.97,North,Jul
REC-20330,42037.54,110743.8,West,Jul
REC-20331,78206.15,185225.12,South,Mar
REC-20332,11295.41,60342.34,West,Apr
REC-20333,20446.54,70069.01,South,Oct
REC-20334,14140.24,49189.45,South,Sep
REC-20335,13665.59,30000.0,South,Jun
REC-20336,86991.45,189317.74,South,May
REC-20337,73329.21,160730.96,North,Mar
REC-20338,52675.64,124704.57,East,Sep
REC-20339,18805.07,35867.65,North,May
REC-20340,54245.43,103182.76,East,May
REC-20341,52612.46,138659.18,East,Apr
REC-20342,25588.17,70346.71,North,Apr
REC-20343,49046.65,125550.98,North,Dec
REC-20344,45865.43,108067.5,East,Jan
REC-20345,65426.51,143303.33,South,Jul
REC-20346,67158.43,162774.28,North,Sep
REC-20347,14077.36,41050.44,West,Mar
REC-20348,43715.14,105417.43,North,Dec
REC-20349,66327.39,136068.35,East,Feb
REC-20350,55282.26,116687.14,West,Mar
REC-20351,87084.09,176186.26,North,Jan
REC-20352,69282.43,153706.78,North,Jun
REC-20353,24664.1,60777.9,North,Nov
REC-20354,16351.19,77035.75,South,Nov
REC-20355,67817.74,130969.0,North,Jul
REC-20356,12386.02,43931.15,East,Nov
REC-20357,62719.8,129980.48,North,Nov
REC-20358,94620.72,221362.9,South,Feb
REC-20359,61792.68,139764.81,West,Aug
REC-20360,44935.29,124456.72,West,Jun
REC-20361,67895.94,120472.61,East,Apr
REC-20362,51242.76,122043.87,South,May
REC-20363,59105.51,147403.27,East,Aug
REC-20364,94731.83,196998.41,South,Mar
REC-20365,44749.24,124727.28,South,Mar
REC-20366,96507.15,189401.68,North,Nov
REC-20367,91481.56,215035.06,West,Apr
REC-20368,27621.2,116098.33,South,Jan
REC-20369,16242.52,47705.44,North,Sep
REC-20370,19070.02,51306.99,South,Aug
REC-20371,11639.96,72112.85,South,Aug
REC-20372,18499.87,86732.06,West,Oct
REC-20373,71470.61,144235.62,East,Jun
REC-20374,16406.98,46969.2,East,Jul
REC-20375,38707.81,89601.94,North,Jun
REC-20376,86038.78,155669.69,South,Sep
REC-20377,12094.47,30234.31,South,Mar
REC-20378,83302.16,156869.35,North,Mar
REC-20379,35366.93,74840.12,North,Mar
REC-20380,20634.83,61518.37,East,Oct
REC-20381,72706.34,160087.28,North,Mar
REC-20382,66604.86,172797.76,South,Sep
REC-20383,88972.48,167180.09,North,Dec
REC-20384,76156.39,179799.31,North,Apr
REC-20385,82313.28,169312.1,North,Jul
REC-20386,35383.11,87799.25,West,Sep
REC-20387,25969.56,83891.96,West,Nov
REC-20388,77555.33,144390.6,West,Dec
REC-20389,82615.13,180590.61,South,Jul
REC-20390,99145.46,206457.97,North,Sep
REC-20391,47135.59,118708.18,South,Dec
REC-20392,43481.63,108471.97,South,Mar
REC-20393,79877.17,212974.31,West,Apr
REC-20394,40672.32,86730.86,North,Aug
REC-20395,93768.16,184224.74,South,Jun
REC-20396,87257.15,170846.34,North,May
REC-20397,48609.46,102498.44,South,Apr
REC-20398,77578.4,153168.15,East,Aug
REC-20399,77908.86,186638.25,South,Jan
REC-20400,19281.15,85275.15,South,Sep
REC-20401,91229.76,178940.13,South,Jan
REC-20402,55472.71,109868.48,South,Aug
REC-20403,84381.17,185371.59,East,Apr
REC-20404,38804.46,84908.01,West,Sep
REC-20405,90597.09,199467.53,West,Nov
REC-20406,45028.15,109703.28,East,May
REC-20407,10975.39,30000.0,South,Mar
REC-20408,91484.38,217526.98,East,Sep
REC-20409,18215.8,90114.24,South,Nov
REC-20410,38738.23,83698.62,North,Sep
REC-20411,95505.58,189931.42,West,Apr
REC-20412,95554.64,202143.93,North,Nov
REC-20413,61609.41,141917.16,West,Apr
REC-20414,66865.35,157211.43,South,Dec
REC-20415,50360.1,151831.86,East,Aug
REC-20416,36388.97,87315.1,East,Feb
REC-20417,39579.81,81874.31,West,Sep
REC-20418,70526.66,127120.24,East,Jun
REC-20419,77713.71,151727.94,East,Sep
REC-20420,81242.11,170639.51,North,Aug
REC-20421,81065.63,203220.18,South,Jul
REC-20422,18208.55,48458.39,North,Jan
REC-20423,54497.83,127124.28,East,Dec
REC-20424,15180.29,52028.91,South,Mar
REC-20425,59457.6,153414.76,East,Nov
REC-20426,49737.75,160012.73,North,Feb
REC-20427,89893.38,177252.45,North,May
REC-20428,41582.35,91038.32,East,May
REC-20429,20536.03,80759.75,North,May
REC-20430,22869.25,78438.7,North,Apr
REC-20431,78535.96,199605.46,North,May
REC-20432,65639.63,153662.04,West,Mar
REC-20433,19101.04,52914.61,East,Dec
REC-20434,17569.61,67257.08,South,Jan
REC-20435,73087.22,176513.66,North,May
REC-20436,16548.67,69556.29,South,Sep
REC-20437,83967.41,185272.27,East,Sep
REC-20438,73561.8,176611.38,East,Apr
REC-20439,17321.39,77225.82,North,Mar
REC-20440,17635.39,81622.56,North,Jan
REC-20441,98797.56,214512.39,North,Feb
REC-20442,43684.37,100623.74,East,Aug
REC-20443,43357.79,105684.87,East,Jan
REC-20444,83151.96,196390.69,North,Aug
REC-20445,95252.37,181749.42,North,Jul
REC-20446,98740.1,209368.3,North,Aug
REC-20447,77804.04,157967.17,West,Dec
REC-20448,43863.36,104471.45,North,Jun
REC-20449,17515.06,79539.24,East,Dec
REC-20450,79943.22,172337.58,East,Sep
REC-20451,60256.38,134297.34,South,Mar
REC-20452,48179.98,87246.55,North,Oct
REC-20453,91571.89,203261.97,North,Apr
REC-20454,20007.77,72632.7,East,Jun
REC-20455,54336.26,161743.85,East,Aug
REC-20456,11021.83,39299.29,East,May
REC-20457,52179.46,122867.73,South,Mar
REC-20458,15067.29,56610.03,North,Jun
REC-20459,20693.61,90642.66,West,Apr
REC-20460,20577.36,60323.93,East,Sep
REC-20461,68428.93,153194.46,North,Mar
REC-20462,77144.04,174801.41,West,Apr
REC-20463,62503.19,140864.71,East,Jul
REC-20464,96595.53,190836.15,East,Jul
REC-20465,43738.35,107222.65,East,Dec
REC-20466,35714.09,108610.73,West,Dec
REC-20467,88173.92,165235.78,East,Apr
REC-20468,30123.63,81615.99,North,Jun
REC-20469,96690.03,186439.88,South,Dec
REC-20470,11093.9,66479.86,West,Mar
REC-20471,97289.09,172703.0,North,Jun
REC-20472,13884.39,39931.31,South,Dec
REC-20473,90202.88,194155.0,South,Feb
REC-20474,57493.1,156667.01,South,Aug
REC-20475,99366.83,202676.79,East,Feb
REC-20476,16641.69,44961.45,West,Nov
REC-20477,59846.89,166585.23,North,Jul
REC-20478,97237.23,173962.76,North,Sep
REC-20479,57078.81,88163.35,North,Jan
REC-20480,66645.88,152882.84,West,Aug
REC-20481,72617.38,146674.31,East,Jul
REC-20482,50908.7,98253.47,North,Jun
REC-20483,66480.23,157414.83,West,Jun
REC-20484,62588.29,142047.33,West,Jun
REC-20485,91104.22,178834.18,West,Sep
REC-20486,14090.17,30000.0,West,Feb
REC-20487,35286.69,104220.27,North,Jan
REC-20488,95537.03,208670.28,East,Dec
REC-20489,90123.74,185437.57,South,Jun
REC-20490,51009.11,150055.86,West,Oct
REC-20491,65811.93,124199.95,East,Nov
REC-20492,34964.31,60476.3,East,Aug
REC-20493,26930.9,61021.27,East,Mar
REC-20494,51732.86,117298.6,North,Dec
REC-20495,41801.7,104623.17,South,Oct
REC-20496,62529.05,133210.04,West,Jan
REC-20497,16996.12,61930.01,West,Sep
REC-20498,97695.53,178324.24,North,Jan
REC-20499,98758.97,228753.91,North,Mar
REC-20500,72834.55,154623.47,North,Aug
REC-20501,58248.67,149958.93,East,Mar
REC-20502,37857.49,99312.54,West,Apr
REC-20503,83241.55,183056.35,North,Aug
REC-20504,71625.81,164182.27,South,Jan
REC-20505,24635.52,77402.69,West,Jun
REC-20506,91983.45,202139.22,East,Jan
REC-20507,84028.35,200175.78,South,Jan
REC-20508,95481.99,200404.96,East,Aug
REC-20509,75314.76,173328.64,South,Nov
REC-20510,65207.37,140758.02,North,Apr
REC-20511,47641.87,136677.48,East,Dec
REC-20512,93945.56,181926.95,East,Jan
REC-20513,87945.75,215719.28,West,Oct
REC-20514,14069.68,49602.58,East,Jul
REC-20515,12373.03,30000.0,East,May
REC-20516,43881.7,106292.94,North,May
REC-20517,82949.8,162050.71,South,Jan
REC-20518,98854.85,218070.31,North,Oct
REC-20519,23537.52,55620.3,North,Nov
REC-20520,63471.76,131217.87,East,Jun
REC-20521,44280.18,70692.59,West,Sep
REC-20522,97292.3,191984.63,North,Sep
REC-20523,85790.7,135793.43,South,Aug
REC-20524,85449.58,150298.99,West,May
REC-20525,52182.38,132615.75,North,Jan
REC-20526,47333.76,124345.17,East,Sep
REC-20527,34606.64,94950.19,East,Jan
REC-20528,15073.79,34727.25,East,Aug
REC-20529,87825.01,182226.21,North,May
REC-20530,83161.09,174625.12,South,Mar
REC-20531,99974.59,184103.7,East,Nov
REC-20532,99697.32,231516.35,East,Jul
REC-20533,59988.85,148772.45,North,Jul
REC-20534,79208.87,163598.61,East,Sep
REC-20535,95028.92,196536.0,North,Jul
REC-20536,86468.27,184393.78,East,Nov
REC-20537,32261.33,46319.17,North,Mar
REC-20538,50548.97,111538.95,West,Nov
REC-20539,21624.35,51648.11,South,Jan
REC-20540,95864.59,179527.1,South,Aug
REC-20541,64555.72,136140.49,North,Dec
REC-20542,30577.85,112398.49,South,Mar
REC-20543,70453.06,163350.68,West,Dec
REC-20544,65631.54,132855.55,West,Aug
REC-20545,42234.64,111328.84,South,Aug
REC-20546,20220.18,86584.72,South,May
REC-20547,70441.59,168438.27,East,Dec
REC-20548,56827.69,128363.19,West,Jan
REC-20549,79508.66,156470.73,East,Oct
REC-20550,56814.72,139834.52,South,Jul
REC-20551,86696.34,188136.15,South,Dec
REC-20552,59671.62,148522.39,East,Oct
REC-20553,60484.42,145305.05,North,May
REC-20554,88898.82,203909.82,East,Aug
REC-20555,46313.46,98729.99,South,Sep
REC-20556,22061.37,88423.56,East,Nov
REC-20557,12590.44,51219.58,North,Jul
REC-20558,77962.35,202686.93,East,Jul
REC-20559,65827.86,131084.77,South,Jan
REC-20560,73367.18,188308.27,East,Apr
REC-20561,29166.77,81062.58,North,Feb
REC-20562,22273.43,53366.65,East,Feb
REC-20563,11309.02,36646.29,East,Feb
REC-20564,41552.88,94028.93,East,Apr
REC-20565,63092.59,146201.65,East,Jan
REC-20566,45301.96,115954.57,East,Apr
REC-20567,49372.74,103544.33,West,Feb
REC-20568,91374.28,189035.32,North,May
REC-20569,41342.99,137978.25,West,Mar
REC-20570,56259.05,157362.07,South,Dec
REC-20571,80528.77,177805.61,North,Aug
REC-20572,45688.85,107923.99,North,Apr
REC-20573,65987.8,145938.6,South,Jan
REC-20574,87612.73,193746.24,East,Jan
REC-20575,95456.86,178412.08,East,Dec
REC-20576,23236.61,62193.12,East,Oct
REC-20577,93392.89,163072.69,South,Mar
REC-20578,54290.47,129908.86,South,Sep
REC-20579,33241.99,96485.11,North,Jul
REC-20580,51322.22,108682.64,South,Feb
REC-20581,98202.93,230097.04,South,Sep
REC-20582,54335.63,100740.35,North,Oct
REC-20583,39587.64,69899.0,North,Feb
REC-20584,67006.08,149651.08,East,Mar
REC-20585,31613.11,100751.37,East,Nov
REC-20586,16827.7,85600.56,West,Oct
REC-20587,21599.17,55618.59,West,Feb
REC-20588,21524.13,83159.69,East,Mar
REC-20589,23671.24,66915.08,South,Jun
REC-20590,22494.45,62382.72,East,Sep
REC-20591,67678.73,162727.59,East,Sep
REC-20592,26369.21,84206.39,North,Jul
REC-20593,41110.06,70623.05,South,Dec
REC-20594,90710.96,214857.45,West,Mar
REC-20595,52656.55,144623.43,South,Apr
REC-20596,70080.2,139884.23,East,Jun
REC-20597,25508.79,78040.29,East,Nov
REC-20598,27306.01,83043.36,North,May
REC-20599,13678.18,54312.85,South,Feb
