Customer_ID,Churn_Probability,Risk_Score,Risk_Level,Recommended_Action
CUST_10314,0.0832,8.3,Low,Standard loyalty engagement and service maintenance
CUST_11506,0.2498,25.0,Low,Standard loyalty engagement and service maintenance
CUST_12188,0.0001,0.0,Low,Standard loyalty engagement and service maintenance
CUST_10865,0.1471,14.7,Low,Standard loyalty engagement and service maintenance
CUST_12359,0.0019,0.2,Low,Standard loyalty engagement and service maintenance
CUST_11730,0.984,98.4,Low,Priority retention outreach and contract renewal incentive
CUST_11721,0.9969,99.7,High,Priority retention outreach and contract renewal incentive
CUST_10285,0.0018,0.2,Medium,Monitor usage patterns and deploy targeted value engagement
CUST_11731,0.5171,51.7,Medium,Monitor usage patterns and deploy targeted value engagement
CUST_11578,0.0022,0.2,Low,Standard loyalty engagement and service maintenance
CUST_11847,0.0,0.0,High,Priority retention outreach and contract renewal incentive
CUST_11339,0.0066,0.7,Medium,Monitor usage patterns and deploy targeted value engagement
CUST_10951,0.9844,98.4,High,Priority retention outreach and contract renewal incentive
CUST_12292,0.0,0.0,Low,Standard loyalty engagement and service maintenance
CUST_11309,0.997,99.7,Low,Priority retention outreach and contract renewal incentive
CUST_10902,0.9991,99.9,Medium,Priority retention outreach and contract renewal incentive
CUST_11405,0.9998,100.0,Low,Priority retention outreach and contract renewal incentive
CUST_10983,0.9828,98.3,High,Priority retention outreach and contract renewal incentive
CUST_12091,0.1513,15.1,Low,Standard loyalty engagement and service maintenance
CUST_10405,0.0,0.0,Low,Standard loyalty engagement and service maintenance
CUST_12386,0.998,99.8,Low,Priority retention outreach and contract renewal incentive
CUST_12325,0.4824,48.2,Medium,Monitor usage patterns and deploy targeted value engagement
CUST_10541,0.5838,58.4,Low,Monitor usage patterns and deploy targeted value engagement
CUST_10311,0.0086,0.9,High,Priority retention outreach and contract renewal incentive
CUST_10723,0.0315,3.2,Medium,Monitor usage patterns and deploy targeted value engagement
CUST_10598,0.001,0.1,Low,Standard loyalty engagement and service maintenance
CUST_11433,0.9951,99.5,Low,Priority retention outreach and contract renewal incentive
CUST_10631,0.0,0.0,Medium,Monitor usage patterns and deploy targeted value engagement
CUST_10780,0.028,2.8,Low,Standard loyalty engagement and service maintenance
CUST_10147,0.0206,2.1,Medium,Monitor usage patterns and deploy targeted value engagement
CUST_10750,0.2152,21.5,Low,Standard loyalty engagement and service maintenance
CUST_10179,0.0486,4.9,Low,Standard loyalty engagement and service maintenance
CUST_11588,0.0719,7.2,Medium,Monitor usage patterns and deploy targeted value engagement
CUST_10164,0.4995,49.9,Medium,Monitor usage patterns and deploy targeted value engagement
CUST_11527,0.9989,99.9,Low,Priority retention outreach and contract renewal incentive
CUST_10644,0.9938,99.4,Low,Priority retention outreach and contract renewal incentive
CUST_11064,0.9351,93.5,Medium,Priority retention outreach and contract renewal incentive
CUST_10389,0.0,0.0,Medium,Monitor usage patterns and deploy targeted value engagement
CUST_12350,0.3023,30.2,High,Priority retention outreach and contract renewal incentive
CUST_11156,0.0413,4.1,Medium,Monitor usage patterns and deploy targeted value engagement
CUST_10579,0.9722,97.2,Low,Priority retention outreach and contract renewal incentive
CUST_11157,0.5504,55.0,High,Priority retention outreach and contract renewal incentive
CUST_10936,0.9297,93.0,Low,Priority retention outreach and contract renewal incentive
CUST_12076,0.9762,97.6,Low,Priority retention outreach and contract renewal incentive
CUST_11052,0.7322,73.2,Medium,Priority retention outreach and contract renewal incentive
CUST_10370,0.0001,0.0,Low,Standard loyalty engagement and service maintenance
CUST_11675,0.0644,6.4,Low,Standard loyalty engagement and service maintenance
CUST_11355,0.0,0.0,Low,Standard loyalty engagement and service maintenance
CUST_10002,0.0181,1.8,High,Priority retention outreach and contract renewal incentive
CUST_12425,0.0013,0.1,High,Priority retention outreach and contract renewal incentive
CUST_10045,0.9969,99.7,Low,Priority retention outreach and contract renewal incentive
CUST_12383,0.2004,20.0,Medium,Monitor usage patterns and deploy targeted value engagement
CUST_11364,0.0448,4.5,Low,Standard loyalty engagement and service maintenance
CUST_10032,0.0001,0.0,Low,Standard loyalty engagement and service maintenance
CUST_11616,0.7931,79.3,High,Priority retention outreach and contract renewal incentive
CUST_12177,0.0001,0.0,Medium,Monitor usage patterns and deploy targeted value engagement
CUST_10034,0.0022,0.2,Medium,Monitor usage patterns and deploy targeted value engagement
CUST_11813,0.0001,0.0,Low,Standard loyalty engagement and service maintenance
CUST_11311,0.0429,4.3,High,Priority retention outreach and contract renewal incentive
CUST_11851,0.0035,0.3,Low,Standard loyalty engagement and service maintenance
CUST_10211,0.0003,0.0,High,Priority retention outreach and contract renewal incentive
CUST_11483,0.0,0.0,Low,Standard loyalty engagement and service maintenance
CUST_11446,0.1562,15.6,Low,Standard loyalty engagement and service maintenance
CUST_10152,0.0016,0.2,Low,Standard loyalty engagement and service maintenance
CUST_11965,0.0901,9.0,Low,Standard loyalty engagement and service maintenance
CUST_12010,0.9931,99.3,High,Priority retention outreach and contract renewal incentive
CUST_12067,0.0755,7.5,Low,Standard loyalty engagement and service maintenance
CUST_10925,0.0063,0.6,Medium,Monitor usage patterns and deploy targeted value engagement
CUST_12277,0.2734,27.3,Low,Standard loyalty engagement and service maintenance
CUST_12275,0.5344,53.4,Medium,Monitor usage patterns and deploy targeted value engagement
CUST_11759,0.9976,99.8,Low,Priority retention outreach and contract renewal incentive
CUST_12337,0.5261,52.6,Low,Monitor usage patterns and deploy targeted value engagement
CUST_10848,0.3706,37.1,Medium,Monitor usage patterns and deploy targeted value engagement
CUST_12333,0.0037,0.4,Low,Standard loyalty engagement and service maintenance
CUST_10606,0.1122,11.2,Low,Standard loyalty engagement and service maintenance
CUST_10430,0.0,0.0,Low,Standard loyalty engagement and service maintenance
CUST_11540,0.7584,75.8,High,Priority retention outreach and contract renewal incentive
CUST_10755,0.2506,25.1,High,Priority retention outreach and contract renewal incentive
CUST_10250,0.9873,98.7,High,Priority retention outreach and contract renewal incentive
CUST_10190,0.9968,99.7,Low,Priority retention outreach and contract renewal incentive
CUST_11868,0.0153,1.5,High,Priority retention outreach and contract renewal incentive
CUST_10867,0.1157,11.6,High,Priority retention outreach and contract renewal incentive
CUST_10553,0.9707,97.1,Low,Priority retention outreach and contract renewal incentive
CUST_11651,0.0004,0.0,Low,Standard loyalty engagement and service maintenance
CUST_11567,0.0052,0.5,High,Priority retention outreach and contract renewal incentive
CUST_11217,0.001,0.1,Medium,Monitor usage patterns and deploy targeted value engagement
CUST_11945,0.0256,2.6,High,Priority retention outreach and contract renewal incentive
CUST_11906,0.5198,52.0,Low,Monitor usage patterns and deploy targeted value engagement
CUST_12266,0.9974,99.7,Low,Priority retention outreach and contract renewal incentive
CUST_12080,0.2283,22.8,High,Priority retention outreach and contract renewal incentive
CUST_11826,0.0,0.0,Low,Standard loyalty engagement and service maintenance
CUST_10866,0.3586,35.9,Low,Monitor usage patterns and deploy targeted value engagement
CUST_11162,0.8704,87.0,Low,Priority retention outreach and contract renewal incentive
CUST_10221,0.0,0.0,Medium,Monitor usage patterns and deploy targeted value engagement
CUST_12285,0.7968,79.7,High,Priority retention outreach and contract renewal incentive
CUST_11359,0.0907,9.1,Medium,Monitor usage patterns and deploy targeted value engagement
CUST_11146,0.0,0.0,High,Priority retention outreach and contract renewal incentive
CUST_11199,0.0005,0.0,Low,Standard loyalty engagement and service maintenance
CUST_11683,0.4938,49.4,Medium,Monitor usage patterns and deploy targeted value engagement
CUST_10142,0.6058,60.6,Medium,Monitor usage patterns and deploy targeted value engagement
CUST_11189,0.2591,25.9,Low,Standard loyalty engagement and service maintenance
CUST_12380,0.0011,0.1,Medium,Monitor usage patterns and deploy targeted value engagement
CUST_12344,0.005,0.5,Medium,Monitor usage patterns and deploy targeted value engagement
CUST_11510,0.0002,0.0,Low,Standard loyalty engagement and service maintenance
CUST_11539,0.9941,99.4,Medium,Priority retention outreach and contract renewal incentive
CUST_11308,0.0852,8.5,Low,Standard loyalty engagement and service maintenance
CUST_10456,0.4732,47.3,Low,Monitor usage patterns and deploy targeted value engagement
CUST_10347,0.9964,99.6,Low,Priority retention outreach and contract renewal incentive
CUST_11001,0.0462,4.6,Medium,Monitor usage patterns and deploy targeted value engagement
CUST_11387,0.0239,2.4,Low,Standard loyalty engagement and service maintenance
CUST_12090,0.0004,0.0,Medium,Monitor usage patterns and deploy targeted value engagement
CUST_11322,0.0001,0.0,Medium,Monitor usage patterns and deploy targeted value engagement
CUST_10783,0.9945,99.4,Medium,Priority retention outreach and contract renewal incentive
CUST_10571,0.9485,94.9,Medium,Priority retention outreach and contract renewal incentive
CUST_12257,0.9816,98.2,Low,Priority retention outreach and contract renewal incentive
CUST_11105,0.9773,97.7,Medium,Priority retention outreach and contract renewal incentive
CUST_11514,0.9237,92.4,Low,Priority retention outreach and contract renewal incentive
CUST_11080,0.3352,33.5,Low,Monitor usage patterns and deploy targeted value engagement
CUST_10992,0.2498,25.0,Low,Standard loyalty engagement and service maintenance
CUST_11017,0.0011,0.1,High,Priority retention outreach and contract renewal incentive
CUST_11657,0.0003,0.0,Medium,Monitor usage patterns and deploy targeted value engagement
CUST_10633,0.0227,2.3,High,Priority retention outreach and contract renewal incentive
CUST_11426,0.9982,99.8,High,Priority retention outreach and contract renewal incentive
CUST_11344,0.9086,90.9,Medium,Priority retention outreach and contract renewal incentive
CUST_12107,0.9557,95.6,High,Priority retention outreach and contract renewal incentive
CUST_10461,0.0779,7.8,Low,Standard loyalty engagement and service maintenance
CUST_10301,0.0564,5.6,Medium,Monitor usage patterns and deploy targeted value engagement
CUST_11750,0.0166,1.7,Medium,Monitor usage patterns and deploy targeted value engagement
CUST_10030,0.9487,94.9,Low,Priority retention outreach and contract renewal incentive
CUST_11005,0.9717,97.2,High,Priority retention outreach and contract renewal incentive
CUST_10379,0.0427,4.3,Low,Standard loyalty engagement and service maintenance
CUST_10440,0.0,0.0,Low,Standard loyalty engagement and service maintenance
CUST_11158,0.0666,6.7,Medium,Monitor usage patterns and deploy targeted value engagement
CUST_12173,0.118,11.8,Low,Standard loyalty engagement and service maintenance
CUST_10998,0.0002,0.0,High,Priority retention outreach and contract renewal incentive
CUST_12276,0.9848,98.5,Medium,Priority retention outreach and contract renewal incentive
CUST_10620,0.0319,3.2,Low,Standard loyalty engagement and service maintenance
CUST_12435,0.9227,92.3,Medium,Priority retention outreach and contract renewal incentive
CUST_11400,0.9953,99.5,High,Priority retention outreach and contract renewal incentive
CUST_10669,0.8019,80.2,Low,Priority retention outreach and contract renewal incentive
CUST_12342,0.0047,0.5,Low,Standard loyalty engagement and service maintenance
CUST_10289,0.0177,1.8,Medium,Monitor usage patterns and deploy targeted value engagement
CUST_11181,0.089,8.9,Low,Standard loyalty engagement and service maintenance
CUST_11516,0.9962,99.6,Low,Priority retention outreach and contract renewal incentive
CUST_11284,0.006,0.6,Low,Standard loyalty engagement and service maintenance
CUST_11161,0.744,74.4,High,Priority retention outreach and contract renewal incentive
CUST_10785,0.813,81.3,Low,Priority retention outreach and contract renewal incentive
CUST_10879,0.978,97.8,Medium,Priority retention outreach and contract renewal incentive
CUST_11888,0.906,90.6,Medium,Priority retention outreach and contract renewal incentive
CUST_10901,0.6459,64.6,Medium,Monitor usage patterns and deploy targeted value engagement
CUST_10200,0.0752,7.5,High,Priority retention outreach and contract renewal incentive
CUST_11642,0.0005,0.1,Medium,Monitor usage patterns and deploy targeted value engagement
CUST_10023,0.0043,0.4,Medium,Monitor usage patterns and deploy targeted value engagement
CUST_11150,0.9999,100.0,Low,Priority retention outreach and contract renewal incentive
CUST_11499,0.705,70.5,Low,Priority retention outreach and contract renewal incentive
CUST_10409,0.975,97.5,Low,Priority retention outreach and contract renewal incentive
CUST_12417,0.8683,86.8,Low,Priority retention outreach and contract renewal incentive
CUST_12457,0.0006,0.1,High,Priority retention outreach and contract renewal incentive
CUST_12375,0.9554,95.5,High,Priority retention outreach and contract renewal incentive
CUST_10533,0.7371,73.7,High,Priority retention outreach and contract renewal incentive
CUST_10016,0.5658,56.6,Medium,Monitor usage patterns and deploy targeted value engagement
CUST_12219,0.8447,84.5,Low,Priority retention outreach and contract renewal incentive
CUST_12121,0.3203,32.0,High,Priority retention outreach and contract renewal incentive
CUST_11025,0.0,0.0,Low,Standard loyalty engagement and service maintenance
CUST_12294,0.4506,45.1,Medium,Monitor usage patterns and deploy targeted value engagement
CUST_11451,0.6248,62.5,High,Priority retention outreach and contract renewal incentive
CUST_12144,0.044,4.4,High,Priority retention outreach and contract renewal incentive
CUST_12082,0.9984,99.8,Low,Priority retention outreach and contract renewal incentive
CUST_11083,0.0,0.0,Medium,Monitor usage patterns and deploy targeted value engagement
CUST_10435,0.1081,10.8,Low,Standard loyalty engagement and service maintenance
CUST_11794,0.1468,14.7,High,Priority retention outreach and contract renewal incentive
CUST_11222,0.997,99.7,Medium,Priority retention outreach and contract renewal incentive
CUST_12032,0.5008,50.1,Low,Monitor usage patterns and deploy targeted value engagement
CUST_10391,0.1197,12.0,Low,Standard loyalty engagement and service maintenance
CUST_12013,0.0004,0.0,Low,Standard loyalty engagement and service maintenance
CUST_11963,0.9312,93.1,Low,Priority retention outreach and contract renewal incentive
CUST_10710,0.0027,0.3,Medium,Monitor usage patterns and deploy targeted value engagement
CUST_11765,0.0,0.0,High,Priority retention outreach and contract renewal incentive
CUST_11282,0.9062,90.6,Low,Priority retention outreach and contract renewal incentive
CUST_12379,0.9994,99.9,Medium,Priority retention outreach and contract renewal incentive
CUST_11058,0.1401,14.0,Low,Standard loyalty engagement and service maintenance
CUST_12036,0.0,0.0,Low,Standard loyalty engagement and service maintenance
CUST_11883,0.9634,96.3,Medium,Priority retention outreach and contract renewal incentive
CUST_10539,0.9208,92.1,Low,Priority retention outreach and contract renewal incentive
CUST_12059,0.9975,99.7,High,Priority retention outreach and contract renewal incentive
CUST_11213,0.9995,100.0,Low,Priority retention outreach and contract renewal incentive
CUST_11968,0.0004,0.0,High,Priority retention outreach and contract renewal incentive
CUST_11114,0.0001,0.0,Low,Standard loyalty engagement and service maintenance
CUST_12451,0.0012,0.1,Low,Standard loyalty engagement and service maintenance
CUST_12127,0.9786,97.9,Low,Priority retention outreach and contract renewal incentive
CUST_12193,0.0,0.0,Medium,Monitor usage patterns and deploy targeted value engagement
CUST_11890,0.758,75.8,Low,Priority retention outreach and contract renewal incentive
CUST_12133,0.9744,97.4,Medium,Priority retention outreach and contract renewal incentive
CUST_11480,0.1583,15.8,Low,Standard loyalty engagement and service maintenance
CUST_10627,0.002,0.2,High,Priority retention outreach and contract renewal incentive
CUST_10634,0.0001,0.0,High,Priority retention outreach and contract renewal incentive
CUST_11752,0.0015,0.2,Low,Standard loyalty engagement and service maintenance
CUST_12416,0.0037,0.4,Low,Standard loyalty engagement and service maintenance
CUST_10532,0.0,0.0,Low,Standard loyalty engagement and service maintenance
CUST_10256,0.8708,87.1,Medium,Priority retention outreach and contract renewal incentive
CUST_11481,0.0178,1.8,Low,Standard loyalty engagement and service maintenance
