query_id,query,rank,document_id,title,category,hybrid_score,tfidf_score,embedding_score,is_relevant
Q13,PCA,1,23,Dimensionality Reduction with Principal Component Analysis,Data Science,1.0,0.12708042562007904,0.7359917759895325,True
Q13,PCA,2,28,Random Forests and Bagging Ensembles,Machine Learning,0.32278263568878174,0.0,0.4593316614627838,False
Q13,PCA,3,19,Correlation Analysis and Multicollinearity in Tabular Data,Data Science,0.30586400628089905,0.0,0.432919442653656,False
Q13,PCA,4,40,Batch Normalization and Layer Normalization,Deep Learning,0.27324703335762024,0.0,0.38199999928474426,False
Q13,PCA,5,53,Transfer Learning with Pretrained ResNet and VGG Models,Computer Vision,0.23434332013130188,0.0,0.3212660849094391,False
Q14,SQL indexing,1,86,SQL Indexing Strategies: B-Trees and Hash Indexes,Databases,0.9592194557189941,0.19813427329063416,0.5903897881507874,True
Q14,SQL indexing,2,93,SQL Query Optimization and EXPLAIN ANALYZE Execution Plans,Databases,0.7268149852752686,0.08987964689731598,0.6432954668998718,True
Q14,SQL indexing,3,100,SQL Injection Attacks and Defense Mechanisms,Cybersecurity,0.6954476833343506,0.09741178154945374,0.5779427886009216,False
Q14,SQL indexing,4,77,"Web Application Security: Mitigating XSS, CSRF, and SQL Injection",Web Development,0.5324336886405945,0.058149512857198715,0.4949995279312134,False
Q14,SQL indexing,5,88,"PostgreSQL Advanced Features: JSONB, Arrays, and Full-Text Search",Databases,0.5094180703163147,0.05753335356712341,0.4671579599380493,False
Q15,BERT transformer,1,66,BERT: Bidirectional Encoder Representations from Transformers,NLP,1.0,0.226811021566391,0.7486611008644104,True
Q15,BERT transformer,2,65,Transformer Architecture and Multi-Head Self-Attention,NLP,0.5407286882400513,0.06967747956514359,0.5767708420753479,True
Q15,BERT transformer,3,68,Named Entity Recognition and Information Extraction,NLP,0.4308958053588867,0.07125448435544968,0.404217392206192,False
Q15,BERT transformer,4,63,Word2Vec Embeddings: CBOW and Skip-Gram Architectures,NLP,0.38349446654319763,0.0,0.5712403059005737,False
Q15,BERT transformer,5,48,Weight Initialization Strategies: Xavier and He Initialization,Deep Learning,0.2630620300769806,0.0,0.3878394067287445,False
Q16,how can I reduce the dimensionality of my high-dimensional dataset using orthogonal variance projections?,1,23,Dimensionality Reduction with Principal Component Analysis,Data Science,1.0,0.25797542929649353,0.8005720973014832,True
Q16,how can I reduce the dimensionality of my high-dimensional dataset using orthogonal variance projections?,2,19,Correlation Analysis and Multicollinearity in Tabular Data,Data Science,0.5368632674217224,0.08172265440225601,0.6324840188026428,False
Q16,how can I reduce the dimensionality of my high-dimensional dataset using orthogonal variance projections?,3,64,Cosine Similarity and Semantic Vector Comparison,NLP,0.46240460872650146,0.04671189934015274,0.6233528852462769,False
Q16,how can I reduce the dimensionality of my high-dimensional dataset using orthogonal variance projections?,4,38,Backpropagation and Gradient Descent Optimization,Deep Learning,0.4549071192741394,0.04241212084889412,0.6245094537734985,False
Q16,how can I reduce the dimensionality of my high-dimensional dataset using orthogonal variance projections?,5,10,Functional Programming Tools in Python,Python,0.44504427909851074,0.07594288140535355,0.5209820866584778,False
Q17,what is the difference between mean pooling and tf-idf weighted pooling when creating document embeddings?,1,67,Document Embeddings: Mean Pooling vs Weighted Pooling,NLP,1.0,0.5433288216590881,0.9249380826950073,True
Q17,what is the difference between mean pooling and tf-idf weighted pooling when creating document embeddings?,2,62,TF-IDF Vectorization and Term Frequency Weighting,NLP,0.5583232045173645,0.15889811515808105,0.7803857922554016,False
Q17,what is the difference between mean pooling and tf-idf weighted pooling when creating document embeddings?,3,64,Cosine Similarity and Semantic Vector Comparison,NLP,0.42385587096214294,0.1180618405342102,0.61960768699646,False
Q17,what is the difference between mean pooling and tf-idf weighted pooling when creating document embeddings?,4,63,Word2Vec Embeddings: CBOW and Skip-Gram Architectures,NLP,0.30182886123657227,0.021013054996728897,0.5656307935714722,False
Q17,what is the difference between mean pooling and tf-idf weighted pooling when creating document embeddings?,5,70,Sentiment Analysis using Classical Machine Learning Classifiers,NLP,0.2865830659866333,0.07569456845521927,0.4565156102180481,False
Q18,how do asynchronous event loops handle non-blocking concurrent network requests in python?,1,4,Asynchronous Programming with Asyncio in Python,Python,1.0,0.2976193130016327,0.8548442125320435,True
Q18,how do asynchronous event loops handle non-blocking concurrent network requests in python?,2,73,Building High Performance REST APIs with FastAPI,Web Development,0.4501655697822571,0.06788560748100281,0.6153941750526428,False
Q18,how do asynchronous event loops handle non-blocking concurrent network requests in python?,3,3,Python Metaclasses and Dynamic Class Creation,Python,0.3966060280799866,0.08130507171154022,0.5041974186897278,False
Q18,how do asynchronous event loops handle non-blocking concurrent network requests in python?,4,104,Security Information and Event Management (SIEM) and Log Analysis,Cybersecurity,0.393982470035553,0.052973393350839615,0.5699089169502258,False
Q18,how do asynchronous event loops handle non-blocking concurrent network requests in python?,5,18,NumPy Broadcasting and Vectorized Array Computations,Data Science,0.3797081708908081,0.0582781657576561,0.5360311269760132,False
Q19,how to build an ensemble of shallow decision trees sequentially by fitting pseudo-residuals?,1,27,Gradient Boosted Decision Trees with XGBoost and LightGBM,Machine Learning,1.0,0.3593287467956543,0.8606821298599243,True
Q19,how to build an ensemble of shallow decision trees sequentially by fitting pseudo-residuals?,2,28,Random Forests and Bagging Ensembles,Machine Learning,0.5827939510345459,0.15424571931362152,0.663093626499176,False
Q19,how to build an ensemble of shallow decision trees sequentially by fitting pseudo-residuals?,3,25,Linear Regression and Ordinary Least Squares,Machine Learning,0.5116354823112488,0.11655356734991074,0.6350515484809875,False
Q19,how to build an ensemble of shallow decision trees sequentially by fitting pseudo-residuals?,4,38,Backpropagation and Gradient Descent Optimization,Deep Learning,0.3765050172805786,0.01882416382431984,0.6363379955291748,False
Q19,how to build an ensemble of shallow decision trees sequentially by fitting pseudo-residuals?,5,26,Logistic Regression for Binary Classification,Machine Learning,0.26265737414360046,0.014494236558675766,0.4747399091720581,False
Q20,how can microservices communicate securely across an api gateway using json web tokens?,1,79,Microservices Architecture and API Gateway Routing,Web Development,1.0,0.2793683707714081,0.751823902130127,True
Q20,how can microservices communicate securely across an api gateway using json web tokens?,2,78,OAuth 2.0 and JSON Web Tokens for API Authentication,Web Development,0.7188819646835327,0.19810791313648224,0.5820326805114746,True
Q20,how can microservices communicate securely across an api gateway using json web tokens?,3,3,Python Metaclasses and Dynamic Class Creation,Python,0.5391347408294678,0.07718624174594879,0.627924382686615,False
Q20,how can microservices communicate securely across an api gateway using json web tokens?,4,1,Python Memory Management and Garbage Collection,Python,0.3891712427139282,0.04185808449983597,0.5193850994110107,False
Q20,how can microservices communicate securely across an api gateway using json web tokens?,5,111,Kubernetes Cluster Architecture and Container Orchestration,Cloud,0.37412524223327637,0.011264098808169365,0.5690774321556091,False
Q21,dog chased cat,1,36,The Dog Chased the Cat Across the Yard,Machine Learning,0.9906743168830872,0.40004807710647583,0.9442707300186157,True
Q21,dog chased cat,2,43,The Cat Chased the Dog Across the Yard,Deep Learning,0.8645773530006409,0.2916969358921051,0.9630966186523438,False
Q21,dog chased cat,3,119,Auto Scaling Groups and Load Balancing in the Cloud,Cloud,0.22461336851119995,0.0,0.4071723222732544,False
Q21,dog chased cat,4,56,Optical Flow and Video Motion Tracking,Computer Vision,0.20360295474529266,0.0,0.3647584915161133,False
Q21,dog chased cat,5,46,Generative Adversarial Networks and Minimax Training,Deep Learning,0.196226567029953,0.0,0.34986773133277893,False
Q22,cat chased dog,1,43,The Cat Chased the Dog Across the Yard,Deep Learning,1.0,0.4064401388168335,0.9630966782569885,True
Q22,cat chased dog,2,36,The Dog Chased the Cat Across the Yard,Machine Learning,0.843874454498291,0.2871094346046448,0.9442707896232605,False
Q22,cat chased dog,3,119,Auto Scaling Groups and Load Balancing in the Cloud,Cloud,0.22461336851119995,0.0,0.40717238187789917,False
Q22,cat chased dog,4,56,Optical Flow and Video Motion Tracking,Computer Vision,0.20360293984413147,0.0,0.36475852131843567,False
Q22,cat chased dog,5,46,Generative Adversarial Networks and Minimax Training,Deep Learning,0.19622653722763062,0.0,0.34986773133277893,False
Q23,evaluating retrieval ranking systems with precision recall and mean reciprocal rank,1,71,"Information Retrieval Metrics: Precision, Recall, and MRR",NLP,1.0,0.5647416710853577,0.9461777806282043,True
Q23,evaluating retrieval ranking systems with precision recall and mean reciprocal rank,2,33,"Evaluation Metrics: Precision, Recall, F1-Score, and ROC-AUC",Machine Learning,0.6057513952255249,0.16042552888393402,0.8817489147186279,False
Q23,evaluating retrieval ranking systems with precision recall and mean reciprocal rank,3,117,"Site Reliability Engineering and Observability: Metrics, Logs, Traces",Cloud,0.3171834349632263,0.022794285789132118,0.5857089161872864,False
Q23,evaluating retrieval ranking systems with precision recall and mean reciprocal rank,4,15,Data Cleaning and Missing Value Imputation,Data Science,0.28122761845588684,0.02671048976480961,0.5157042741775513,False
Q23,evaluating retrieval ranking systems with precision recall and mean reciprocal rank,5,94,Vector Databases and Approximate Nearest Neighbor Search,Databases,0.24939203262329102,0.030851751565933228,0.4526621401309967,False
Q24,symmetric and asymmetric encryption algorithms for data confidentiality,1,97,Symmetric and Asymmetric Cryptography: AES and RSA,Cybersecurity,1.0,0.36593902111053467,0.9262183904647827,True
Q24,symmetric and asymmetric encryption algorithms for data confidentiality,2,98,"Public Key Infrastructure, SSL/TLS, and Digital Certificates",Cybersecurity,0.36348405480384827,0.10399355739355087,0.45870503783226013,True
Q24,symmetric and asymmetric encryption algorithms for data confidentiality,3,115,Cloud Object Storage: Amazon S3 and Blob Storage Architectures,Cloud,0.3191934823989868,0.030211439356207848,0.553550124168396,False
Q24,symmetric and asymmetric encryption algorithms for data confidentiality,4,13,Exploratory Data Analysis and Feature Distribution,Data Science,0.3114638924598694,0.028026776388287544,0.5455886125564575,False
Q24,symmetric and asymmetric encryption algorithms for data confidentiality,5,24,Vehicle Maintenance Diagnostics and Sensor Data Analytics,Data Science,0.30232349038124084,0.046278953552246094,0.4884023666381836,False
Q25,automating infrastructure provisioning declaratively across multiple clouds,1,113,Infrastructure as Code with Terraform and Declarative Provisioning,Cloud,1.0,0.18373753130435944,0.8104365468025208,True
Q25,automating infrastructure provisioning declaratively across multiple clouds,2,116,Virtual Private Clouds (VPC) and Cloud Network Subnetting,Cloud,0.6413435935974121,0.0975719466805458,0.6258291006088257,False
Q25,automating infrastructure provisioning declaratively across multiple clouds,3,109,"Cloud Computing Service Models: IaaS, PaaS, and SaaS",Cloud,0.5030824542045593,0.05116552114486694,0.608024001121521,False
Q25,automating infrastructure provisioning declaratively across multiple clouds,4,120,Multi-Region Cloud Deployments and Disaster Recovery Strategies,Cloud,0.5022966265678406,0.05370434746146202,0.5965847373008728,False
Q25,automating infrastructure provisioning declaratively across multiple clouds,5,14,Pandas DataFrame Aggregations and GroupBy Operations,Data Science,0.49730628728866577,0.11100649833679199,0.3573443293571472,False
