Trial,Outcome,Cumulative_Heads,Cumulative_Proportion
33901,1,16840,0.496741
34001,1,16895,0.496897
34101,1,16948,0.496994
34201,0,16992,0.496828
34301,0,17047,0.496983
34401,0,17099,0.49705
34501,0,17145,0.496942
34601,1,17194,0.496922
34701,1,17245,0.49696
34801,0,17292,0.496882
34901,1,17350,0.49712
35001,0,17405,0.497272
35101,0,17458,0.497365
35201,1,17510,0.497429
35301,1,17565,0.497578
35401,1,17611,0.497472
35501,0,17660,0.497451
35601,1,17708,0.497402
35701,0,17751,0.497213
35801,0,17802,0.497249
35901,0,17842,0.496978
36001,0,17896,0.497097
36101,1,17942,0.496995
36201,0,17985,0.496809
36301,1,18036,0.496846
36401,0,18089,0.496937
36501,0,18143,0.497055
36601,0,18190,0.496981
36701,1,18232,0.496771
36801,0,18278,0.496671
36901,0,18321,0.496491
37001,0,18366,0.496365
37101,0,18408,0.496159
37201,1,18463,0.496304
37301,1,18502,0.496019
37401,1,18551,0.496003
37501,1,18606,0.496147
37601,0,18660,0.496263
37701,0,18714,0.496379
37801,0,18763,0.496363
37901,0,18811,0.496319
38001,0,18866,0.496461
38101,1,18916,0.49647
38201,0,18965,0.496453
38301,1,19019,0.496567
38401,0,19062,0.496393
38501,0,19111,0.496377
38601,0,19157,0.496282
38701,0,19200,0.496111
38801,0,19252,0.496173
38901,0,19299,0.496105
39001,0,19346,0.496039
39101,0,19394,0.495998
39201,1,19451,0.496186
39301,0,19499,0.496145
39401,1,19549,0.496155
39501,1,19598,0.496139
39601,0,19650,0.4962
39701,0,19702,0.49626
39801,1,19750,0.496219
39901,0,19807,0.496404
40001,0,19852,0.496288
40101,0,19906,0.496397
40201,0,19964,0.496605
40301,0,20015,0.496638
40401,1,20075,0.496894
40501,0,20127,0.496951
40601,1,20175,0.496909
40701,0,20230,0.497039
40801,1,20277,0.496973
40901,0,20326,0.496956
41001,0,20368,0.496768
41101,0,20416,0.496728
41201,1,20460,0.49659
41301,0,20507,0.496526
41401,0,20555,0.496486
41501,1,20609,0.49659
41601,0,20663,0.496695
41701,0,20716,0.496775
41801,0,20767,0.496806
41901,1,20815,0.496766
42001,0,20861,0.496679
42101,0,20906,0.496568
42201,1,20948,0.496386
42301,0,21000,0.496442
42401,0,21057,0.496616
42501,0,21106,0.4966
42601,0,21149,0.496444
42701,1,21206,0.496616
42801,0,21249,0.49646
42901,1,21309,0.496702
43001,0,21354,0.496593
43101,1,21400,0.496508
43201,0,21447,0.496447
43301,0,21492,0.49634
43401,1,21548,0.496486
43501,1,21604,0.496632
43601,1,21654,0.49664
43701,1,21711,0.496808
43801,0,21760,0.496792
43901,0,21807,0.496731
44001,1,21858,0.496761
44101,1,21907,0.496746
44201,0,21947,0.496527
44301,1,21998,0.496558
44401,1,22045,0.496498
44501,1,22096,0.496528
44601,0,22145,0.496514
44701,0,22195,0.496521
44801,0,22237,0.496351
44901,1,22295,0.496537
45001,0,22349,0.496633
45101,1,22395,0.496552
45201,0,22438,0.496405
45301,1,22491,0.496479
45401,0,22544,0.496553
45501,1,22587,0.496407
45601,1,22632,0.496305
45701,1,22686,0.496401
45801,0,22734,0.496365
45901,1,22789,0.496482
46001,1,22836,0.496424
46101,0,22881,0.496323
46201,0,22926,0.496223
46301,1,22976,0.496231
46401,0,23031,0.496347
46501,1,23076,0.496247
46601,1,23129,0.49632
46701,1,23174,0.496221
46801,1,23218,0.496101
46901,1,23268,0.496109
47001,1,23324,0.496245
47101,0,23379,0.496359
47201,1,23432,0.49643
47301,1,23475,0.49629
47401,0,23521,0.496213
47501,1,23573,0.496263
47601,1,23625,0.496313
47701,1,23676,0.496342
47801,1,23731,0.496454
47901,0,23784,0.496524
48001,1,23827,0.496385
48101,0,23881,0.496476
48201,1,23932,0.496504
48301,0,23982,0.496511
48401,1,24027,0.496415
48501,0,24078,0.496443
48601,0,24130,0.496492
48701,1,24180,0.496499
48801,0,24235,0.496609
48901,0,24290,0.496718
49001,0,24338,0.496684
49101,1,24398,0.496894
49201,0,24444,0.496819
49301,1,24496,0.496866
49401,1,24542,0.496792
49501,0,24596,0.496879
49601,0,24650,0.496966
49701,0,24705,0.497072
49801,0,24746,0.496898
49901,1,24796,0.496904
