order_id,order_total_usd,customer_segment,discount_applied,items_count
ORD-7096,86.5,Standard,1,6
ORD-7097,145.39,Standard,0,1
ORD-7098,140.19,Standard,0,2
ORD-7099,139.53,Standard,1,8
ORD-7100,125.45,Gold,0,8
ORD-7101,137.22,Standard,0,8
ORD-7102,171.12,Gold,0,6
ORD-7103,117.27,Gold,0,4
ORD-7104,129.35,Standard,0,3
ORD-7105,94.45,Gold,1,4
ORD-7106,100.65,Standard,0,5
ORD-7107,128.19,Standard,0,3
ORD-7108,156.86,Gold,1,8
ORD-7109,118.1,Standard,0,3
ORD-7110,118.68,Gold,0,4
ORD-7111,113.8,Standard,1,1
ORD-7112,110.16,Platinum,1,8
ORD-7113,133.81,Standard,0,3
ORD-7114,82.73,Standard,1,5
ORD-7115,161.91,Standard,0,6
ORD-7116,106.44,Gold,1,1
ORD-7117,145.97,Gold,0,1
ORD-7118,89.21,Standard,1,1
ORD-7119,144.46,Gold,0,3
ORD-7120,144.55,Standard,1,1
ORD-7121,136.35,Standard,1,4
ORD-7122,97.06,Gold,1,1
ORD-7123,132.51,Gold,0,5
ORD-7124,91.68,Gold,0,8
ORD-7125,118.2,Gold,0,8
ORD-7126,154.74,Standard,1,2
ORD-7127,148.11,Gold,0,5
ORD-7128,125.83,Standard,1,3
ORD-7129,97.62,Standard,1,1
ORD-7130,143.8,Standard,0,1
ORD-7131,125.95,Standard,1,4
ORD-7132,59.27,Standard,0,6
ORD-7133,147.7,Standard,0,1
ORD-7134,124.71,Standard,0,7
ORD-7135,159.67,Standard,0,5
ORD-7136,94.18,Standard,1,3
ORD-7137,34.86,Standard,0,8
ORD-7138,133.35,Standard,0,2
ORD-7139,133.71,Gold,1,1
ORD-7140,77.22,Gold,1,2
ORD-7141,97.51,Gold,0,1
ORD-7142,203.92,Standard,1,3
ORD-7143,116.69,Gold,0,6
ORD-7144,146.23,Standard,0,5
ORD-7145,106.86,Standard,0,8
ORD-7146,65.83,Standard,0,3
ORD-7147,120.55,Gold,1,2
ORD-7148,117.83,Standard,0,1
ORD-7149,114.0,Standard,1,2
ORD-7150,122.13,Standard,0,5
ORD-7151,132.93,Gold,0,7
ORD-7152,121.12,Gold,1,8
ORD-7153,89.38,Standard,1,3
ORD-7154,139.26,Standard,0,2
ORD-7155,69.84,Standard,0,2
ORD-7156,66.96,Gold,0,5
ORD-7157,146.47,Standard,0,7
ORD-7158,139.85,Gold,1,1
ORD-7159,123.76,Standard,1,7
ORD-7160,85.63,Gold,0,2
ORD-7161,105.22,Standard,1,5
ORD-7162,117.91,Standard,0,1
ORD-7163,79.92,Standard,0,7
ORD-7164,104.34,Standard,0,8
ORD-7165,143.99,Standard,0,7
ORD-7166,166.08,Gold,0,8
ORD-7167,113.45,Standard,0,7
ORD-7168,146.96,Gold,0,6
ORD-7169,70.85,Gold,0,1
ORD-7170,144.19,Standard,1,7
ORD-7171,102.49,Gold,0,6
ORD-7172,134.16,Gold,0,3
ORD-7173,118.34,Standard,1,5
ORD-7174,163.03,Gold,1,7
ORD-7175,100.48,Standard,1,8
ORD-7176,143.29,Standard,0,1
ORD-7177,117.43,Gold,0,8
ORD-7178,120.89,Standard,0,6
ORD-7179,120.16,Standard,0,6
ORD-7180,101.3,Standard,1,3
ORD-7181,125.0,Gold,0,8
ORD-7182,123.61,Platinum,0,4
ORD-7183,132.28,Standard,0,5
ORD-7184,127.81,Gold,0,8
ORD-7185,148.14,Platinum,1,4
ORD-7186,151.72,Standard,0,1
ORD-7187,95.46,Standard,0,5
ORD-7188,150.16,Gold,0,8
ORD-7189,91.59,Gold,0,3
ORD-7190,142.15,Gold,0,1
ORD-7191,143.06,Standard,0,5
ORD-7192,70.93,Standard,0,8
ORD-7193,128.05,Standard,1,8
ORD-7194,112.05,Standard,1,5
ORD-7195,103.78,Standard,1,4
ORD-7196,163.9,Gold,1,1
ORD-7197,106.77,Standard,0,3
ORD-7198,102.42,Gold,0,3
ORD-7199,127.56,Standard,0,1
ORD-7200,144.94,Standard,1,1
ORD-7201,121.36,Standard,1,6
ORD-7202,158.64,Standard,1,2
ORD-7203,140.53,Standard,0,8
ORD-7204,63.32,Platinum,1,4
ORD-7205,110.31,Gold,0,1
ORD-7206,109.39,Standard,0,1
ORD-7207,139.06,Standard,0,2
ORD-7208,50.59,Platinum,0,2
ORD-7209,198.05,Standard,0,5
ORD-7210,140.53,Standard,0,7
ORD-7211,129.64,Standard,0,3
ORD-7212,159.07,Platinum,0,4
ORD-7213,192.19,Standard,1,5
ORD-7214,150.22,Standard,1,1
ORD-7215,152.44,Platinum,0,8
ORD-7216,129.12,Standard,1,2
ORD-7217,121.37,Standard,1,6
ORD-7218,111.84,Standard,0,3
ORD-7219,101.86,Gold,0,5
ORD-7220,105.82,Standard,0,6
ORD-7221,86.91,Platinum,0,3
ORD-7222,123.24,Gold,1,7
ORD-7223,77.39,Standard,1,7
ORD-7224,130.84,Platinum,0,6
ORD-7225,124.36,Standard,1,2
ORD-7226,129.59,Standard,1,5
ORD-7227,110.52,Standard,1,5
ORD-7228,213.09,Standard,0,7
ORD-7229,164.16,Standard,1,3
ORD-7230,89.93,Standard,0,6
ORD-7231,132.04,Standard,0,2
ORD-7232,108.07,Gold,0,1
ORD-7233,96.49,Standard,0,5
ORD-7234,87.21,Platinum,1,8
ORD-7235,137.72,Standard,0,1
ORD-7236,105.98,Standard,0,2
ORD-7237,152.98,Standard,0,7
ORD-7238,153.72,Standard,1,8
ORD-7239,164.56,Standard,0,5
ORD-7240,101.11,Gold,1,5
ORD-7241,138.95,Platinum,0,6
ORD-7242,143.42,Platinum,0,8
ORD-7243,111.89,Standard,0,1
ORD-7244,103.4,Gold,0,7
ORD-7245,171.27,Standard,0,6
ORD-7246,131.88,Standard,0,4
ORD-7247,143.53,Gold,1,1
ORD-7248,101.97,Gold,0,1
ORD-7249,90.65,Standard,0,4
ORD-7250,109.17,Standard,0,2
ORD-7251,121.87,Standard,1,8
ORD-7252,95.07,Gold,0,8
ORD-7253,125.12,Standard,0,2
ORD-7254,77.28,Platinum,1,5
ORD-7255,93.48,Standard,0,3
ORD-7256,144.52,Standard,0,6
ORD-7257,142.61,Standard,0,3
ORD-7258,114.23,Standard,0,5
ORD-7259,96.39,Standard,0,8
ORD-7260,96.12,Gold,0,3
ORD-7261,114.76,Gold,0,1
ORD-7262,143.77,Platinum,0,1
ORD-7263,151.86,Gold,0,4
ORD-7264,111.25,Gold,1,4
ORD-7265,92.53,Standard,1,5
ORD-7266,133.03,Gold,1,5
ORD-7267,101.93,Standard,0,7
ORD-7268,110.63,Standard,0,5
ORD-7269,163.17,Standard,0,1
ORD-7270,148.97,Standard,0,3
ORD-7271,129.9,Standard,1,6
ORD-7272,89.15,Platinum,0,7
ORD-7273,131.42,Standard,0,7
ORD-7274,155.69,Standard,0,8
ORD-7275,114.69,Standard,0,7
ORD-7276,163.91,Standard,0,5
ORD-7277,162.24,Standard,0,5
ORD-7278,172.82,Standard,0,1
ORD-7279,134.1,Standard,1,6
ORD-7280,142.14,Standard,0,1
ORD-7281,165.7,Gold,1,6
ORD-7282,138.15,Gold,1,1
ORD-7283,111.11,Standard,0,3
ORD-7284,112.62,Standard,1,8
ORD-7285,132.2,Standard,0,5
ORD-7286,88.62,Gold,1,2
ORD-7287,121.32,Standard,0,2
ORD-7288,156.65,Standard,0,8
ORD-7289,62.95,Gold,0,5
ORD-7290,169.13,Standard,0,7
ORD-7291,157.39,Standard,1,5
ORD-7292,112.3,Standard,0,5
ORD-7293,140.89,Platinum,1,8
ORD-7294,125.49,Gold,0,5
ORD-7295,160.45,Gold,1,7
ORD-7296,153.41,Standard,0,6
ORD-7297,85.5,Standard,0,8
ORD-7298,142.14,Platinum,0,3
ORD-7299,119.54,Platinum,1,2
ORD-7300,127.76,Standard,0,8
ORD-7301,104.65,Gold,0,4
ORD-7302,175.22,Standard,0,2
ORD-7303,155.04,Standard,1,2
ORD-7304,104.32,Gold,0,7
ORD-7305,87.36,Standard,0,1
ORD-7306,114.41,Platinum,0,5
ORD-7307,137.78,Standard,1,5
ORD-7308,132.25,Standard,1,5
ORD-7309,161.11,Platinum,0,1
ORD-7310,147.91,Platinum,0,7
ORD-7311,153.03,Standard,0,8
ORD-7312,134.72,Standard,0,3
ORD-7313,85.8,Gold,0,3
ORD-7314,119.82,Standard,1,7
ORD-7315,155.61,Platinum,0,4
ORD-7316,123.93,Platinum,1,3
ORD-7317,139.74,Standard,0,7
ORD-7318,116.32,Standard,1,8
ORD-7319,96.05,Standard,0,3
ORD-7320,121.88,Platinum,0,5
ORD-7321,134.21,Standard,0,6
ORD-7322,106.71,Standard,0,7
ORD-7323,118.68,Standard,0,2
ORD-7324,98.63,Standard,1,3
ORD-7325,157.3,Standard,1,3
ORD-7326,117.01,Standard,0,1
ORD-7327,166.8,Platinum,0,4
ORD-7328,168.97,Platinum,0,6
ORD-7329,123.09,Gold,0,8
ORD-7330,96.66,Standard,0,1
ORD-7331,65.95,Standard,1,5
ORD-7332,83.45,Gold,1,2
ORD-7333,86.25,Standard,1,4
ORD-7334,164.69,Platinum,0,1
ORD-7335,128.7,Gold,1,7
ORD-7336,136.5,Standard,1,3
ORD-7337,62.12,Platinum,0,3
ORD-7338,91.26,Platinum,0,4
ORD-7339,150.68,Standard,1,3
ORD-7340,133.57,Standard,0,7
ORD-7341,121.2,Standard,0,1
ORD-7342,141.5,Standard,0,1
ORD-7343,172.02,Standard,0,3
ORD-7344,119.1,Standard,0,3
ORD-7345,127.38,Platinum,1,5
ORD-7346,130.89,Standard,1,2
ORD-7347,193.58,Standard,0,8
ORD-7348,65.57,Gold,0,4
ORD-7349,144.87,Standard,0,1
ORD-7350,122.13,Gold,0,4
ORD-7351,141.55,Standard,0,5
ORD-7352,106.66,Standard,0,1
ORD-7353,124.0,Standard,0,5
ORD-7354,145.68,Gold,0,5
ORD-7355,214.12,Standard,0,6
ORD-7356,148.43,Gold,0,3
ORD-7357,101.23,Standard,0,7
ORD-7358,113.32,Standard,1,6
ORD-7359,112.48,Standard,0,8
ORD-7360,74.22,Platinum,1,4
ORD-7361,115.99,Platinum,0,7
ORD-7362,146.29,Standard,0,4
ORD-7363,89.08,Standard,1,3
ORD-7364,155.28,Standard,0,7
ORD-7365,139.3,Standard,0,6
ORD-7366,104.47,Standard,0,4
ORD-7367,121.37,Platinum,0,6
ORD-7368,170.95,Platinum,1,3
ORD-7369,146.31,Standard,0,7
ORD-7370,125.65,Standard,0,7
ORD-7371,118.63,Gold,0,1
ORD-7372,127.58,Gold,0,5
ORD-7373,110.81,Standard,1,5
ORD-7374,65.41,Standard,1,6
ORD-7375,183.6,Standard,0,7
ORD-7376,129.83,Standard,0,4
ORD-7377,136.75,Standard,1,6
ORD-7378,123.75,Standard,0,6
ORD-7379,104.45,Gold,0,2
ORD-7380,120.1,Standard,0,8
ORD-7381,79.82,Standard,0,7
ORD-7382,190.3,Standard,1,5
ORD-7383,90.22,Gold,1,7
ORD-7384,95.99,Gold,0,3
ORD-7385,112.85,Standard,0,6
ORD-7386,162.11,Standard,0,2
ORD-7387,125.81,Platinum,0,2
ORD-7388,90.17,Standard,0,5
ORD-7389,161.15,Standard,1,5
ORD-7390,146.23,Standard,0,5
ORD-7391,140.75,Standard,0,3
ORD-7392,145.8,Standard,0,2
ORD-7393,193.64,Platinum,0,4
ORD-7394,187.68,Gold,0,3
ORD-7395,105.83,Standard,1,1
ORD-7396,171.68,Platinum,0,8
ORD-7397,136.32,Standard,1,8
ORD-7398,139.62,Standard,0,6
ORD-7399,77.17,Standard,0,8
ORD-7400,120.54,Gold,0,5
ORD-7401,102.23,Standard,0,2
ORD-7402,149.0,Standard,0,8
ORD-7403,155.93,Gold,0,6
ORD-7404,66.28,Gold,1,8
ORD-7405,124.77,Gold,1,7
ORD-7406,157.37,Standard,0,3
ORD-7407,120.08,Standard,0,1
ORD-7408,146.18,Standard,0,7
ORD-7409,135.41,Standard,0,3
ORD-7410,135.14,Platinum,0,3
ORD-7411,117.67,Standard,1,4
ORD-7412,90.73,Standard,0,8
ORD-7413,93.44,Gold,0,6
ORD-7414,145.62,Standard,0,4
ORD-7415,125.95,Standard,0,3
ORD-7416,121.45,Gold,0,8
ORD-7417,113.32,Gold,0,1
ORD-7418,116.7,Gold,0,2
ORD-7419,155.24,Standard,0,2
ORD-7420,115.85,Standard,0,8
ORD-7421,87.18,Gold,1,7
ORD-7422,146.59,Standard,0,6
ORD-7423,119.56,Standard,0,5
ORD-7424,126.29,Gold,1,5
ORD-7425,171.22,Standard,0,2
ORD-7426,124.81,Gold,0,3
ORD-7427,133.64,Standard,0,3
ORD-7428,91.8,Standard,0,4
ORD-7429,119.14,Standard,0,8
ORD-7430,142.77,Gold,1,6
ORD-7431,81.07,Standard,1,8
ORD-7432,131.12,Standard,0,8
ORD-7433,128.27,Gold,0,4
ORD-7434,126.58,Gold,0,5
ORD-7435,154.96,Platinum,0,8
ORD-7436,134.93,Standard,0,2
ORD-7437,167.53,Standard,0,7
ORD-7438,97.08,Platinum,1,8
ORD-7439,129.27,Gold,0,3
ORD-7440,127.81,Standard,0,8
ORD-7441,94.93,Standard,0,2
ORD-7442,152.65,Gold,1,1
ORD-7443,191.65,Standard,1,2
ORD-7444,124.92,Gold,0,1
ORD-7445,139.79,Standard,0,4
ORD-7446,127.81,Standard,1,4
ORD-7447,105.06,Gold,0,5
ORD-7448,73.51,Standard,1,2
ORD-7449,105.29,Standard,0,2
ORD-7450,85.73,Standard,0,1
ORD-7451,173.97,Standard,0,4
ORD-7452,122.12,Gold,1,1
ORD-7453,115.54,Gold,0,4
ORD-7454,150.74,Gold,1,1
ORD-7455,93.43,Standard,0,4
ORD-7456,103.54,Standard,0,1
ORD-7457,127.34,Standard,0,7
ORD-7458,154.72,Platinum,0,4
ORD-7459,139.7,Gold,0,6
ORD-7460,132.48,Gold,0,1
ORD-7461,127.63,Standard,1,2
ORD-7462,136.81,Standard,0,5
ORD-7463,131.15,Standard,1,6
ORD-7464,96.05,Standard,0,6
ORD-7465,126.71,Standard,1,1
ORD-7466,94.8,Platinum,0,5
ORD-7467,127.71,Standard,0,2
ORD-7468,111.7,Standard,0,6
ORD-7469,197.77,Standard,0,2
ORD-7470,124.26,Platinum,1,4
ORD-7471,85.38,Standard,0,8
ORD-7472,121.58,Gold,0,7
ORD-7473,140.2,Platinum,1,8
ORD-7474,173.09,Standard,0,8
ORD-7475,108.6,Gold,1,5
ORD-7476,80.3,Standard,0,7
ORD-7477,148.68,Standard,1,3
ORD-7478,86.05,Gold,0,4
ORD-7479,112.97,Gold,0,5
ORD-7480,118.06,Standard,0,1
ORD-7481,123.42,Standard,1,7
ORD-7482,145.04,Standard,0,1
ORD-7483,105.92,Standard,0,2
ORD-7484,117.6,Standard,0,8
ORD-7485,124.99,Standard,1,6
ORD-7486,129.66,Standard,1,7
ORD-7487,128.19,Gold,1,3
ORD-7488,137.83,Standard,0,1
ORD-7489,149.45,Standard,0,5
ORD-7490,136.59,Standard,0,7
ORD-7491,138.33,Gold,1,7
ORD-7492,80.31,Standard,0,6
ORD-7493,126.83,Standard,0,6
ORD-7494,139.07,Standard,1,5
ORD-7495,146.17,Gold,0,6
ORD-7496,105.67,Standard,0,1
ORD-7497,106.62,Gold,0,5
ORD-7498,109.04,Platinum,0,8
ORD-7499,140.69,Gold,1,5
