order_id,delivery_time_minutes,vehicle_type,weather,on_time
DEL-1054,37.47,Van,Clear,0
DEL-1055,36.92,Scooter,Rain,0
DEL-1056,27.18,Van,Clear,1
DEL-1057,30.1,Scooter,Clear,0
DEL-1058,33.62,Scooter,Rain,0
DEL-1059,37.17,Motorcycle,Fog,0
DEL-1060,29.16,Motorcycle,Clear,1
DEL-1061,30.78,Van,Clear,0
DEL-1062,25.72,Motorcycle,Clear,1
DEL-1063,25.22,Van,Clear,1
DEL-1064,36.27,Scooter,Clear,0
DEL-1065,39.26,Scooter,Clear,0
DEL-1066,31.4,Motorcycle,Clear,0
DEL-1067,37.32,Van,Clear,0
DEL-1068,33.79,Bicycle,Clear,0
DEL-1069,28.25,Scooter,Clear,1
DEL-1070,33.79,Scooter,Clear,0
DEL-1071,40.26,Motorcycle,Clear,0
DEL-1072,31.6,Scooter,Clear,0
DEL-1073,40.41,Van,Fog,0
DEL-1074,17.39,Van,Clear,1
DEL-1075,36.32,Scooter,Rain,0
DEL-1076,32.28,Motorcycle,Rain,0
DEL-1077,30.16,Motorcycle,Clear,0
DEL-1078,32.3,Scooter,Clear,0
DEL-1079,20.87,Van,Clear,1
DEL-1080,30.59,Motorcycle,Clear,0
DEL-1081,33.76,Van,Rain,0
DEL-1082,39.93,Scooter,Clear,0
DEL-1083,28.95,Van,Clear,1
DEL-1084,27.35,Scooter,Clear,1
DEL-1085,29.04,Scooter,Clear,1
DEL-1086,36.83,Van,Clear,0
DEL-1087,33.61,Scooter,Clear,0
DEL-1088,28.89,Scooter,Clear,1
DEL-1089,34.62,Bicycle,Windy,0
DEL-1090,32.33,Bicycle,Clear,0
DEL-1091,37.13,Motorcycle,Clear,0
DEL-1092,27.94,Motorcycle,Clear,1
DEL-1093,30.0,Scooter,Clear,1
DEL-1094,29.64,Scooter,Clear,1
DEL-1095,23.75,Scooter,Clear,1
DEL-1096,33.43,Motorcycle,Clear,0
DEL-1097,33.24,Motorcycle,Clear,0
DEL-1098,31.83,Motorcycle,Clear,0
DEL-1099,30.51,Motorcycle,Fog,0
DEL-1100,24.02,Scooter,Clear,1
DEL-1101,29.49,Motorcycle,Clear,1
DEL-1102,29.92,Scooter,Clear,1
DEL-1103,27.39,Motorcycle,Windy,1
DEL-1104,30.91,Scooter,Clear,0
DEL-1105,34.02,Van,Clear,0
DEL-1106,42.17,Scooter,Windy,0
DEL-1107,32.76,Scooter,Fog,0
DEL-1108,33.22,Scooter,Rain,0
DEL-1109,31.39,Motorcycle,Clear,0
DEL-1110,21.25,Motorcycle,Clear,1
DEL-1111,31.65,Scooter,Rain,0
DEL-1112,32.13,Scooter,Fog,0
DEL-1113,45.35,Motorcycle,Clear,0
DEL-1114,30.74,Scooter,Clear,0
DEL-1115,33.46,Van,Clear,0
DEL-1116,31.61,Motorcycle,Rain,0
DEL-1117,25.37,Scooter,Clear,1
DEL-1118,38.09,Scooter,Clear,0
DEL-1119,35.94,Bicycle,Clear,0
DEL-1120,36.15,Scooter,Clear,0
DEL-1121,26.8,Scooter,Clear,1
DEL-1122,39.52,Van,Clear,0
DEL-1123,24.09,Van,Clear,1
DEL-1124,35.03,Bicycle,Clear,0
DEL-1125,43.85,Motorcycle,Clear,0
DEL-1126,26.35,Scooter,Clear,1
DEL-1127,28.69,Scooter,Clear,1
DEL-1128,32.35,Motorcycle,Clear,0
DEL-1129,29.03,Motorcycle,Clear,1
DEL-1130,23.27,Scooter,Clear,1
DEL-1131,32.18,Van,Clear,0
DEL-1132,25.96,Scooter,Clear,1
DEL-1133,34.4,Motorcycle,Windy,0
DEL-1134,26.74,Scooter,Clear,1
DEL-1135,40.32,Motorcycle,Rain,0
DEL-1136,27.49,Scooter,Clear,1
DEL-1137,30.03,Scooter,Rain,0
DEL-1138,36.27,Scooter,Rain,0
DEL-1139,25.03,Motorcycle,Clear,1
DEL-1140,33.05,Motorcycle,Clear,0
DEL-1141,38.99,Motorcycle,Clear,0
DEL-1142,22.96,Bicycle,Clear,1
DEL-1143,32.82,Scooter,Fog,0
DEL-1144,33.23,Scooter,Rain,0
DEL-1145,36.1,Van,Windy,0
DEL-1146,25.0,Scooter,Clear,1
DEL-1147,24.54,Bicycle,Rain,1
DEL-1148,34.67,Scooter,Fog,0
DEL-1149,33.43,Bicycle,Clear,0
DEL-1150,33.18,Scooter,Clear,0
DEL-1151,33.71,Van,Rain,0
DEL-1152,28.06,Motorcycle,Clear,1
DEL-1153,33.08,Bicycle,Rain,0
DEL-1154,33.41,Scooter,Clear,0
DEL-1155,27.87,Motorcycle,Rain,1
DEL-1156,42.06,Bicycle,Clear,0
DEL-1157,34.41,Motorcycle,Clear,0
DEL-1158,25.25,Motorcycle,Clear,1
DEL-1159,35.41,Motorcycle,Rain,0
DEL-1160,26.44,Motorcycle,Rain,1
DEL-1161,36.13,Motorcycle,Clear,0
DEL-1162,38.17,Motorcycle,Clear,0
DEL-1163,27.29,Van,Fog,1
DEL-1164,37.1,Scooter,Clear,0
DEL-1165,34.07,Scooter,Rain,0
DEL-1166,36.32,Bicycle,Clear,0
DEL-1167,42.23,Van,Clear,0
DEL-1168,30.45,Motorcycle,Clear,0
DEL-1169,27.65,Motorcycle,Clear,1
DEL-1170,26.91,Scooter,Rain,1
DEL-1171,27.31,Scooter,Clear,1
DEL-1172,31.38,Motorcycle,Clear,0
DEL-1173,33.68,Scooter,Fog,0
DEL-1174,33.32,Motorcycle,Clear,0
DEL-1175,36.35,Scooter,Clear,0
DEL-1176,31.87,Bicycle,Fog,0
DEL-1177,39.79,Bicycle,Clear,0
DEL-1178,30.34,Motorcycle,Clear,0
DEL-1179,46.76,Motorcycle,Fog,0
DEL-1180,35.24,Scooter,Clear,0
DEL-1181,27.09,Van,Clear,1
DEL-1182,25.91,Motorcycle,Clear,1
DEL-1183,34.45,Scooter,Rain,0
DEL-1184,30.57,Van,Clear,0
DEL-1185,35.73,Van,Clear,0
DEL-1186,34.4,Van,Fog,0
DEL-1187,31.4,Motorcycle,Rain,0
DEL-1188,27.14,Motorcycle,Clear,1
DEL-1189,23.47,Scooter,Clear,1
DEL-1190,29.34,Van,Clear,1
DEL-1191,36.51,Van,Rain,0
DEL-1192,32.98,Scooter,Clear,0
DEL-1193,24.95,Scooter,Clear,1
DEL-1194,32.75,Scooter,Rain,0
DEL-1195,33.92,Van,Fog,0
DEL-1196,26.94,Bicycle,Clear,1
DEL-1197,32.65,Scooter,Rain,0
DEL-1198,32.12,Motorcycle,Clear,0
DEL-1199,25.51,Scooter,Rain,1
DEL-1200,33.77,Bicycle,Clear,0
DEL-1201,34.88,Van,Clear,0
DEL-1202,37.76,Van,Rain,0
DEL-1203,37.6,Motorcycle,Clear,0
DEL-1204,24.22,Scooter,Clear,1
DEL-1205,26.64,Scooter,Rain,1
DEL-1206,34.63,Scooter,Rain,0
DEL-1207,34.63,Van,Clear,0
DEL-1208,34.63,Van,Rain,0
DEL-1209,52.99,Bicycle,Clear,0
DEL-1210,34.94,Bicycle,Clear,0
DEL-1211,38.05,Motorcycle,Clear,0
DEL-1212,37.05,Motorcycle,Clear,0
DEL-1213,35.38,Van,Fog,0
DEL-1214,30.07,Van,Clear,0
DEL-1215,35.97,Scooter,Clear,0
DEL-1216,27.55,Motorcycle,Clear,1
DEL-1217,30.5,Scooter,Fog,0
DEL-1218,29.13,Bicycle,Clear,1
DEL-1219,32.25,Motorcycle,Clear,0
DEL-1220,44.53,Scooter,Clear,0
DEL-1221,21.53,Motorcycle,Clear,1
DEL-1222,35.57,Motorcycle,Clear,0
DEL-1223,22.93,Scooter,Fog,1
DEL-1224,29.2,Scooter,Fog,1
DEL-1225,37.79,Motorcycle,Clear,0
DEL-1226,32.15,Motorcycle,Rain,0
DEL-1227,25.87,Motorcycle,Fog,1
DEL-1228,27.87,Motorcycle,Rain,1
DEL-1229,35.54,Van,Clear,0
DEL-1230,27.78,Motorcycle,Clear,1
DEL-1231,32.99,Motorcycle,Clear,0
DEL-1232,32.05,Van,Clear,0
DEL-1233,28.22,Scooter,Rain,1
DEL-1234,43.59,Scooter,Fog,0
DEL-1235,35.29,Scooter,Fog,0
DEL-1236,20.66,Motorcycle,Clear,1
DEL-1237,32.83,Motorcycle,Clear,0
DEL-1238,28.16,Motorcycle,Windy,1
DEL-1239,36.49,Scooter,Rain,0
DEL-1240,27.44,Scooter,Clear,1
DEL-1241,31.17,Scooter,Fog,0
DEL-1242,34.58,Scooter,Fog,0
DEL-1243,36.56,Motorcycle,Clear,0
DEL-1244,25.2,Scooter,Clear,1
DEL-1245,29.96,Scooter,Clear,1
DEL-1246,29.19,Van,Clear,1
DEL-1247,28.21,Scooter,Clear,1
DEL-1248,41.51,Motorcycle,Rain,0
DEL-1249,34.03,Motorcycle,Clear,0
