item_id,weight_grams,machine_id,temperature_celsius,within_tolerance
ITEM-5143,493.15,Line_C,19.6,0
ITEM-5144,499.48,Line_A,23.3,1
ITEM-5145,503.72,Line_A,21.5,1
ITEM-5146,502.52,Line_C,24.1,1
ITEM-5147,502.17,Line_B,22.5,1
ITEM-5148,499.9,Line_A,23.2,1
ITEM-5149,496.71,Line_A,20.8,1
ITEM-5150,502.45,Line_B,21.4,1
ITEM-5151,498.13,Line_B,21.7,1
ITEM-5152,507.79,Line_B,24.0,0
ITEM-5153,502.63,Line_C,25.5,1
ITEM-5154,498.94,Line_A,21.1,1
ITEM-5155,498.84,Line_B,24.4,1
ITEM-5156,500.5,Line_B,18.6,1
ITEM-5157,500.03,Line_B,20.4,1
ITEM-5158,504.37,Line_A,20.8,1
ITEM-5159,501.4,Line_C,20.1,1
ITEM-5160,498.46,Line_C,19.6,1
ITEM-5161,506.85,Line_B,23.2,0
ITEM-5162,500.96,Line_B,22.1,1
ITEM-5163,503.26,Line_A,23.2,1
ITEM-5164,498.85,Line_B,23.7,1
ITEM-5165,501.96,Line_B,23.0,1
ITEM-5166,501.8,Line_B,23.7,1
ITEM-5167,494.75,Line_C,22.4,1
ITEM-5168,507.25,Line_B,20.4,0
ITEM-5169,504.93,Line_A,24.4,1
ITEM-5170,499.53,Line_C,21.4,1
ITEM-5171,497.27,Line_A,20.8,1
ITEM-5172,501.91,Line_A,22.2,1
ITEM-5173,501.08,Line_A,20.9,1
ITEM-5174,501.94,Line_B,21.7,1
ITEM-5175,501.41,Line_C,23.1,1
ITEM-5176,502.42,Line_B,23.1,1
ITEM-5177,505.43,Line_C,20.9,1
ITEM-5178,502.62,Line_B,21.6,1
ITEM-5179,497.44,Line_A,24.4,1
ITEM-5180,505.16,Line_C,23.4,1
ITEM-5181,506.05,Line_A,26.2,0
ITEM-5182,510.89,Line_A,24.6,0
ITEM-5183,497.2,Line_B,24.6,1
ITEM-5184,501.58,Line_A,20.0,1
ITEM-5185,494.14,Line_A,23.9,1
ITEM-5186,502.57,Line_B,22.4,1
ITEM-5187,499.05,Line_B,21.5,1
ITEM-5188,506.96,Line_B,22.8,0
ITEM-5189,498.32,Line_C,24.2,1
ITEM-5190,495.39,Line_B,23.4,1
ITEM-5191,499.29,Line_C,20.9,1
ITEM-5192,494.48,Line_A,23.8,1
ITEM-5193,503.2,Line_B,21.4,1
ITEM-5194,494.19,Line_C,22.9,1
ITEM-5195,500.89,Line_B,22.0,1
ITEM-5196,494.15,Line_B,22.1,1
ITEM-5197,499.78,Line_A,23.9,1
ITEM-5198,506.06,Line_A,20.6,0
ITEM-5199,501.95,Line_B,26.0,1
ITEM-5200,498.04,Line_A,19.2,1
ITEM-5201,500.7,Line_C,21.4,1
ITEM-5202,500.86,Line_A,23.2,1
ITEM-5203,502.31,Line_C,23.6,1
ITEM-5204,496.43,Line_C,22.3,1
ITEM-5205,502.7,Line_A,22.4,1
ITEM-5206,492.15,Line_A,23.2,0
ITEM-5207,498.78,Line_C,22.1,1
ITEM-5208,499.24,Line_C,25.0,1
ITEM-5209,502.83,Line_B,24.0,1
ITEM-5210,500.87,Line_A,24.1,1
ITEM-5211,496.3,Line_B,20.8,1
ITEM-5212,497.65,Line_B,22.4,1
ITEM-5213,501.44,Line_A,22.0,1
ITEM-5214,500.55,Line_B,20.7,1
ITEM-5215,498.95,Line_A,23.1,1
ITEM-5216,499.26,Line_A,21.5,1
ITEM-5217,503.03,Line_A,23.7,1
ITEM-5218,499.14,Line_A,20.6,1
ITEM-5219,500.52,Line_A,25.6,1
ITEM-5220,507.74,Line_B,20.9,0
ITEM-5221,496.24,Line_A,22.9,1
ITEM-5222,494.87,Line_A,23.9,1
ITEM-5223,503.31,Line_A,21.5,1
ITEM-5224,498.63,Line_C,24.0,1
ITEM-5225,499.78,Line_B,20.3,1
ITEM-5226,498.3,Line_B,25.1,1
ITEM-5227,499.97,Line_B,22.5,1
ITEM-5228,505.92,Line_C,21.4,1
ITEM-5229,503.37,Line_A,22.0,1
ITEM-5230,503.56,Line_B,24.0,1
ITEM-5231,496.27,Line_B,21.4,1
ITEM-5232,497.12,Line_B,21.2,1
ITEM-5233,491.71,Line_A,22.1,0
ITEM-5234,498.21,Line_B,20.4,1
ITEM-5235,503.86,Line_A,25.8,1
ITEM-5236,502.45,Line_B,21.5,1
ITEM-5237,500.09,Line_B,24.0,1
ITEM-5238,500.73,Line_A,22.9,1
ITEM-5239,498.6,Line_C,20.7,1
ITEM-5240,501.46,Line_A,22.5,1
ITEM-5241,503.25,Line_C,23.9,1
ITEM-5242,495.63,Line_B,22.2,1
ITEM-5243,501.76,Line_A,24.6,1
ITEM-5244,503.78,Line_A,24.3,1
ITEM-5245,499.47,Line_C,24.2,1
ITEM-5246,503.04,Line_A,21.7,1
ITEM-5247,509.81,Line_A,20.6,0
ITEM-5248,500.47,Line_A,21.4,1
ITEM-5249,502.06,Line_B,22.9,1
ITEM-5250,498.44,Line_B,23.5,1
ITEM-5251,501.38,Line_A,18.6,1
ITEM-5252,502.27,Line_A,22.5,1
ITEM-5253,501.42,Line_A,22.8,1
ITEM-5254,497.54,Line_A,22.0,1
ITEM-5255,501.46,Line_B,24.8,1
ITEM-5256,505.48,Line_B,23.3,1
ITEM-5257,502.24,Line_A,24.9,1
ITEM-5258,503.88,Line_A,22.1,1
ITEM-5259,500.04,Line_A,24.2,1
ITEM-5260,503.2,Line_C,25.4,1
ITEM-5261,501.69,Line_C,24.9,1
ITEM-5262,497.76,Line_C,20.5,1
ITEM-5263,501.82,Line_A,22.0,1
ITEM-5264,497.63,Line_A,21.9,1
ITEM-5265,498.77,Line_A,23.4,1
ITEM-5266,501.41,Line_A,23.7,1
ITEM-5267,501.75,Line_B,21.0,1
ITEM-5268,496.99,Line_C,22.6,1
ITEM-5269,504.17,Line_C,18.9,1
ITEM-5270,502.63,Line_C,25.1,1
ITEM-5271,498.54,Line_A,21.6,1
ITEM-5272,495.88,Line_B,22.6,1
ITEM-5273,500.34,Line_A,21.9,1
ITEM-5274,499.37,Line_A,24.6,1
ITEM-5275,501.16,Line_B,17.4,1
ITEM-5276,499.64,Line_A,22.5,1
ITEM-5277,494.38,Line_B,22.3,1
ITEM-5278,499.56,Line_A,21.7,1
ITEM-5279,499.82,Line_B,25.6,1
ITEM-5280,502.83,Line_C,20.9,1
ITEM-5281,498.57,Line_A,23.9,1
ITEM-5282,506.17,Line_C,23.1,0
ITEM-5283,494.68,Line_A,24.8,1
ITEM-5284,505.0,Line_B,21.3,1
ITEM-5285,500.08,Line_B,21.2,1
ITEM-5286,503.55,Line_B,24.5,1
ITEM-5287,501.06,Line_C,23.3,1
ITEM-5288,504.45,Line_A,19.7,1
ITEM-5289,499.56,Line_B,21.5,1
ITEM-5290,497.28,Line_B,23.2,1
ITEM-5291,505.35,Line_C,24.0,1
ITEM-5292,500.44,Line_A,21.3,1
ITEM-5293,501.51,Line_C,17.3,1
ITEM-5294,504.75,Line_B,23.4,1
ITEM-5295,497.5,Line_A,20.3,1
ITEM-5296,502.71,Line_B,18.9,1
ITEM-5297,498.91,Line_A,17.4,1
ITEM-5298,500.38,Line_B,24.0,1
ITEM-5299,501.03,Line_C,22.7,1
