session_id,converted,variant,device,visit_duration_seconds
SESS-10106,0,Variant_B,Desktop,154.8
SESS-10107,0,Control,Mobile,30.4
SESS-10108,0,Variant_B,Mobile,349.7
SESS-10109,0,Variant_B,Desktop,39.0
SESS-10110,1,Variant_B,Mobile,132.0
SESS-10111,0,Variant_B,Mobile,45.2
SESS-10112,0,Variant_B,Desktop,59.0
SESS-10113,0,Variant_B,Mobile,109.9
SESS-10114,0,Control,Desktop,79.8
SESS-10115,1,Variant_B,Mobile,36.0
SESS-10116,0,Control,Tablet,37.5
SESS-10117,0,Control,Mobile,80.0
SESS-10118,0,Control,Mobile,184.9
SESS-10119,0,Control,Desktop,288.9
SESS-10120,0,Variant_B,Mobile,25.5
SESS-10121,0,Variant_B,Desktop,74.9
SESS-10122,0,Variant_B,Desktop,27.7
SESS-10123,0,Variant_B,Mobile,17.0
SESS-10124,0,Control,Mobile,145.1
SESS-10125,1,Control,Mobile,125.7
SESS-10126,0,Control,Mobile,36.4
SESS-10127,0,Control,Tablet,47.0
SESS-10128,0,Control,Desktop,17.9
SESS-10129,0,Control,Desktop,231.2
SESS-10130,0,Variant_B,Desktop,456.2
SESS-10131,1,Variant_B,Mobile,32.5
SESS-10132,0,Variant_B,Tablet,46.6
SESS-10133,0,Variant_B,Desktop,258.4
SESS-10134,0,Variant_B,Desktop,328.2
SESS-10135,0,Control,Desktop,80.3
SESS-10136,0,Variant_B,Mobile,21.2
SESS-10137,0,Variant_B,Desktop,19.8
SESS-10138,0,Control,Mobile,117.4
SESS-10139,0,Control,Mobile,74.9
SESS-10140,0,Variant_B,Mobile,18.5
SESS-10141,0,Control,Tablet,120.0
SESS-10142,0,Variant_B,Desktop,16.4
SESS-10143,0,Variant_B,Desktop,200.8
SESS-10144,0,Control,Desktop,58.9
SESS-10145,0,Control,Mobile,19.9
SESS-10146,0,Control,Tablet,121.5
SESS-10147,0,Control,Mobile,75.8
SESS-10148,0,Control,Mobile,452.0
SESS-10149,1,Variant_B,Mobile,109.3
SESS-10150,0,Control,Desktop,53.6
SESS-10151,0,Variant_B,Desktop,163.3
SESS-10152,0,Control,Mobile,53.0
SESS-10153,0,Variant_B,Mobile,296.5
SESS-10154,0,Control,Desktop,71.3
SESS-10155,0,Control,Mobile,110.8
SESS-10156,0,Variant_B,Desktop,21.2
SESS-10157,0,Variant_B,Tablet,81.6
SESS-10158,0,Control,Mobile,229.3
SESS-10159,0,Variant_B,Mobile,211.6
SESS-10160,0,Control,Desktop,45.5
SESS-10161,0,Control,Desktop,45.8
SESS-10162,0,Control,Mobile,219.0
SESS-10163,0,Control,Tablet,334.8
SESS-10164,0,Variant_B,Mobile,27.0
SESS-10165,0,Control,Mobile,86.8
SESS-10166,0,Control,Desktop,64.4
SESS-10167,0,Variant_B,Desktop,260.5
SESS-10168,0,Variant_B,Mobile,25.5
SESS-10169,0,Control,Desktop,43.5
SESS-10170,0,Variant_B,Mobile,182.5
SESS-10171,0,Control,Mobile,21.3
SESS-10172,0,Variant_B,Mobile,96.4
SESS-10173,0,Variant_B,Desktop,85.0
SESS-10174,1,Variant_B,Mobile,63.8
SESS-10175,0,Control,Mobile,75.2
SESS-10176,1,Control,Mobile,105.6
SESS-10177,0,Control,Desktop,36.1
SESS-10178,0,Control,Desktop,116.8
SESS-10179,0,Control,Desktop,211.4
SESS-10180,0,Variant_B,Mobile,186.3
SESS-10181,0,Control,Desktop,35.1
SESS-10182,0,Control,Mobile,34.4
SESS-10183,0,Variant_B,Desktop,52.5
SESS-10184,0,Control,Desktop,68.8
SESS-10185,0,Variant_B,Mobile,78.0
SESS-10186,0,Control,Desktop,151.6
SESS-10187,0,Control,Mobile,22.0
SESS-10188,0,Control,Mobile,19.2
SESS-10189,1,Control,Mobile,74.7
SESS-10190,1,Variant_B,Mobile,158.3
SESS-10191,0,Control,Mobile,40.8
SESS-10192,0,Variant_B,Desktop,138.1
SESS-10193,1,Control,Mobile,51.1
SESS-10194,0,Control,Desktop,275.7
SESS-10195,0,Variant_B,Mobile,286.2
SESS-10196,1,Control,Mobile,57.3
SESS-10197,0,Variant_B,Desktop,46.4
SESS-10198,0,Variant_B,Mobile,78.6
SESS-10199,0,Variant_B,Mobile,48.0
SESS-10200,1,Variant_B,Desktop,148.9
SESS-10201,1,Control,Mobile,224.9
SESS-10202,1,Control,Mobile,149.2
SESS-10203,0,Control,Mobile,223.7
SESS-10204,0,Variant_B,Tablet,75.7
SESS-10205,0,Variant_B,Desktop,35.4
SESS-10206,0,Control,Desktop,175.7
SESS-10207,0,Variant_B,Desktop,68.6
SESS-10208,0,Control,Mobile,148.5
SESS-10209,0,Variant_B,Mobile,52.9
SESS-10210,0,Control,Desktop,25.2
SESS-10211,0,Variant_B,Mobile,603.5
SESS-10212,0,Variant_B,Mobile,35.4
SESS-10213,0,Control,Mobile,550.0
SESS-10214,0,Control,Mobile,469.1
SESS-10215,0,Control,Tablet,204.5
SESS-10216,0,Control,Mobile,144.3
SESS-10217,0,Control,Mobile,118.5
SESS-10218,0,Variant_B,Mobile,256.3
SESS-10219,0,Variant_B,Tablet,56.0
SESS-10220,0,Variant_B,Mobile,90.7
SESS-10221,0,Control,Mobile,130.9
SESS-10222,1,Variant_B,Desktop,78.6
SESS-10223,0,Variant_B,Desktop,81.9
SESS-10224,0,Control,Mobile,63.1
SESS-10225,0,Variant_B,Mobile,114.7
SESS-10226,0,Variant_B,Mobile,243.1
SESS-10227,0,Control,Mobile,42.0
SESS-10228,0,Control,Mobile,342.0
SESS-10229,0,Control,Mobile,155.2
SESS-10230,1,Control,Mobile,223.0
SESS-10231,0,Variant_B,Mobile,112.5
SESS-10232,1,Variant_B,Desktop,196.4
SESS-10233,0,Variant_B,Tablet,17.0
SESS-10234,0,Control,Desktop,219.7
SESS-10235,0,Control,Mobile,19.9
SESS-10236,0,Variant_B,Mobile,279.8
SESS-10237,0,Variant_B,Tablet,593.8
SESS-10238,0,Control,Mobile,56.8
SESS-10239,1,Variant_B,Mobile,43.3
SESS-10240,0,Variant_B,Mobile,189.0
SESS-10241,0,Control,Desktop,50.0
SESS-10242,0,Control,Desktop,255.8
SESS-10243,0,Variant_B,Mobile,28.0
SESS-10244,0,Control,Mobile,31.2
SESS-10245,0,Control,Tablet,479.5
SESS-10246,0,Control,Mobile,149.4
SESS-10247,0,Control,Desktop,240.2
SESS-10248,0,Variant_B,Desktop,62.0
SESS-10249,0,Variant_B,Desktop,150.4
SESS-10250,0,Control,Mobile,123.2
SESS-10251,0,Variant_B,Mobile,125.9
SESS-10252,1,Variant_B,Mobile,152.7
SESS-10253,0,Variant_B,Desktop,117.8
SESS-10254,0,Control,Tablet,82.3
SESS-10255,0,Control,Mobile,53.7
SESS-10256,0,Variant_B,Mobile,190.6
SESS-10257,1,Variant_B,Tablet,45.8
SESS-10258,0,Control,Desktop,156.5
SESS-10259,0,Control,Desktop,46.9
SESS-10260,0,Control,Mobile,132.8
SESS-10261,1,Variant_B,Mobile,180.0
SESS-10262,1,Variant_B,Desktop,44.6
SESS-10263,0,Control,Desktop,22.4
SESS-10264,0,Control,Mobile,31.8
SESS-10265,0,Variant_B,Mobile,126.8
SESS-10266,1,Variant_B,Mobile,242.2
SESS-10267,0,Control,Mobile,20.5
SESS-10268,1,Variant_B,Mobile,174.0
SESS-10269,0,Variant_B,Tablet,65.1
SESS-10270,0,Control,Mobile,93.1
SESS-10271,0,Variant_B,Desktop,332.2
SESS-10272,0,Control,Mobile,63.4
SESS-10273,0,Variant_B,Desktop,90.1
SESS-10274,0,Variant_B,Tablet,16.7
SESS-10275,0,Variant_B,Mobile,25.2
SESS-10276,0,Variant_B,Mobile,50.9
SESS-10277,0,Control,Mobile,18.4
SESS-10278,0,Variant_B,Mobile,134.8
SESS-10279,1,Variant_B,Desktop,81.7
SESS-10280,1,Control,Desktop,110.3
SESS-10281,1,Variant_B,Mobile,38.0
SESS-10282,1,Variant_B,Mobile,57.1
SESS-10283,0,Control,Mobile,145.8
SESS-10284,0,Variant_B,Desktop,418.3
SESS-10285,0,Variant_B,Mobile,21.2
SESS-10286,0,Control,Mobile,280.3
SESS-10287,0,Variant_B,Desktop,118.2
SESS-10288,0,Control,Desktop,114.6
SESS-10289,0,Control,Mobile,98.2
SESS-10290,0,Control,Desktop,23.6
SESS-10291,0,Variant_B,Mobile,26.3
SESS-10292,0,Variant_B,Mobile,125.2
SESS-10293,0,Control,Desktop,65.0
SESS-10294,0,Control,Desktop,314.1
SESS-10295,0,Variant_B,Mobile,77.6
SESS-10296,0,Control,Mobile,33.6
SESS-10297,0,Variant_B,Mobile,165.5
SESS-10298,1,Variant_B,Mobile,56.7
SESS-10299,1,Variant_B,Mobile,104.5
SESS-10300,0,Variant_B,Mobile,158.6
SESS-10301,0,Control,Mobile,291.6
SESS-10302,0,Variant_B,Desktop,203.5
SESS-10303,0,Variant_B,Desktop,150.4
SESS-10304,0,Variant_B,Desktop,151.6
SESS-10305,0,Control,Mobile,365.1
SESS-10306,0,Variant_B,Tablet,57.1
SESS-10307,0,Control,Desktop,15.1
SESS-10308,0,Control,Desktop,53.1
SESS-10309,0,Control,Desktop,44.5
SESS-10310,0,Variant_B,Tablet,145.1
SESS-10311,0,Variant_B,Mobile,135.5
SESS-10312,0,Variant_B,Mobile,123.0
SESS-10313,0,Variant_B,Desktop,17.0
SESS-10314,0,Control,Desktop,171.6
SESS-10315,0,Variant_B,Desktop,61.9
SESS-10316,0,Control,Mobile,146.3
SESS-10317,0,Variant_B,Mobile,112.6
SESS-10318,0,Variant_B,Mobile,65.4
SESS-10319,0,Variant_B,Tablet,32.3
SESS-10320,0,Variant_B,Mobile,26.9
SESS-10321,0,Control,Mobile,228.7
SESS-10322,0,Control,Mobile,315.7
SESS-10323,1,Variant_B,Mobile,140.9
SESS-10324,0,Control,Desktop,28.1
SESS-10325,0,Control,Desktop,76.7
SESS-10326,0,Control,Desktop,171.6
SESS-10327,0,Variant_B,Mobile,196.6
SESS-10328,0,Control,Desktop,30.1
SESS-10329,0,Control,Mobile,15.0
SESS-10330,0,Variant_B,Desktop,164.4
SESS-10331,0,Variant_B,Mobile,67.9
SESS-10332,0,Control,Mobile,50.2
SESS-10333,0,Control,Desktop,16.6
SESS-10334,0,Control,Tablet,108.3
SESS-10335,1,Control,Mobile,243.6
SESS-10336,0,Control,Desktop,394.4
SESS-10337,0,Variant_B,Mobile,115.1
SESS-10338,0,Variant_B,Mobile,101.7
SESS-10339,0,Variant_B,Mobile,25.7
SESS-10340,0,Control,Mobile,110.5
SESS-10341,0,Variant_B,Mobile,72.4
SESS-10342,0,Control,Mobile,127.1
SESS-10343,0,Variant_B,Mobile,74.1
SESS-10344,0,Variant_B,Tablet,48.0
SESS-10345,0,Control,Mobile,27.0
SESS-10346,0,Variant_B,Desktop,60.4
SESS-10347,0,Control,Mobile,27.2
SESS-10348,0,Variant_B,Desktop,38.4
SESS-10349,1,Control,Mobile,539.3
SESS-10350,0,Control,Mobile,85.5
SESS-10351,0,Variant_B,Mobile,106.1
SESS-10352,0,Control,Mobile,263.2
SESS-10353,0,Variant_B,Mobile,665.3
SESS-10354,0,Control,Desktop,119.9
SESS-10355,0,Variant_B,Desktop,215.9
SESS-10356,0,Variant_B,Desktop,62.5
SESS-10357,0,Variant_B,Desktop,58.8
SESS-10358,1,Control,Mobile,76.8
SESS-10359,0,Control,Mobile,149.0
SESS-10360,0,Control,Mobile,152.6
SESS-10361,1,Control,Mobile,60.4
SESS-10362,0,Variant_B,Mobile,32.2
SESS-10363,1,Variant_B,Mobile,135.1
SESS-10364,0,Variant_B,Mobile,31.5
SESS-10365,0,Variant_B,Mobile,118.7
SESS-10366,0,Variant_B,Desktop,156.9
SESS-10367,0,Variant_B,Desktop,159.7
SESS-10368,0,Control,Mobile,183.0
SESS-10369,0,Variant_B,Desktop,262.5
SESS-10370,0,Variant_B,Tablet,98.2
SESS-10371,0,Variant_B,Mobile,172.2
SESS-10372,0,Control,Mobile,130.8
SESS-10373,0,Control,Mobile,39.8
SESS-10374,1,Control,Tablet,18.1
SESS-10375,1,Variant_B,Desktop,55.2
SESS-10376,0,Variant_B,Mobile,85.2
SESS-10377,0,Control,Mobile,130.2
SESS-10378,0,Variant_B,Mobile,242.6
SESS-10379,0,Control,Mobile,41.2
SESS-10380,0,Control,Mobile,31.1
SESS-10381,0,Control,Desktop,412.2
SESS-10382,0,Variant_B,Desktop,28.7
SESS-10383,0,Variant_B,Desktop,93.1
SESS-10384,0,Control,Desktop,120.7
SESS-10385,0,Variant_B,Desktop,108.5
SESS-10386,0,Control,Mobile,25.8
SESS-10387,1,Variant_B,Desktop,22.0
SESS-10388,0,Variant_B,Mobile,28.4
SESS-10389,0,Variant_B,Desktop,120.7
SESS-10390,0,Control,Mobile,109.3
SESS-10391,0,Variant_B,Desktop,46.9
SESS-10392,0,Variant_B,Mobile,136.9
SESS-10393,0,Control,Mobile,220.8
SESS-10394,0,Variant_B,Mobile,20.1
SESS-10395,0,Control,Mobile,97.7
SESS-10396,0,Variant_B,Desktop,155.3
SESS-10397,0,Control,Desktop,49.9
SESS-10398,1,Variant_B,Mobile,59.1
SESS-10399,0,Variant_B,Mobile,129.1
SESS-10400,0,Control,Mobile,288.9
SESS-10401,1,Control,Mobile,214.2
SESS-10402,0,Control,Mobile,120.0
SESS-10403,0,Control,Desktop,172.2
SESS-10404,0,Control,Mobile,69.5
SESS-10405,0,Variant_B,Mobile,137.9
SESS-10406,1,Control,Mobile,90.3
SESS-10407,0,Control,Mobile,40.3
SESS-10408,1,Variant_B,Mobile,160.2
SESS-10409,0,Control,Desktop,112.6
SESS-10410,0,Variant_B,Mobile,68.3
SESS-10411,0,Variant_B,Mobile,305.8
SESS-10412,0,Variant_B,Mobile,17.5
SESS-10413,0,Variant_B,Mobile,60.5
SESS-10414,0,Variant_B,Mobile,22.0
SESS-10415,0,Control,Tablet,189.6
SESS-10416,1,Control,Desktop,160.3
SESS-10417,0,Control,Mobile,63.3
SESS-10418,0,Variant_B,Mobile,150.1
SESS-10419,0,Control,Mobile,75.5
SESS-10420,0,Variant_B,Mobile,184.4
SESS-10421,0,Variant_B,Desktop,87.7
SESS-10422,0,Variant_B,Desktop,78.8
SESS-10423,0,Variant_B,Mobile,342.5
SESS-10424,0,Control,Mobile,49.7
SESS-10425,0,Variant_B,Mobile,30.4
SESS-10426,1,Variant_B,Desktop,120.4
SESS-10427,0,Control,Desktop,433.1
SESS-10428,0,Control,Mobile,71.9
SESS-10429,0,Variant_B,Mobile,22.7
SESS-10430,0,Variant_B,Desktop,64.7
SESS-10431,0,Variant_B,Mobile,99.6
SESS-10432,0,Variant_B,Mobile,36.2
SESS-10433,0,Variant_B,Mobile,143.8
SESS-10434,0,Variant_B,Desktop,746.6
SESS-10435,0,Control,Mobile,87.1
SESS-10436,0,Control,Mobile,67.6
SESS-10437,0,Control,Desktop,76.4
SESS-10438,0,Variant_B,Mobile,29.7
SESS-10439,0,Variant_B,Mobile,272.8
SESS-10440,0,Variant_B,Mobile,79.3
SESS-10441,0,Control,Mobile,73.8
SESS-10442,0,Variant_B,Desktop,144.3
SESS-10443,0,Variant_B,Mobile,85.0
SESS-10444,0,Variant_B,Mobile,140.4
SESS-10445,0,Variant_B,Mobile,22.6
SESS-10446,0,Control,Desktop,216.7
SESS-10447,0,Variant_B,Desktop,353.6
SESS-10448,0,Control,Mobile,140.6
SESS-10449,0,Control,Mobile,386.0
SESS-10450,0,Control,Desktop,34.7
SESS-10451,0,Variant_B,Mobile,92.9
SESS-10452,0,Variant_B,Desktop,125.5
SESS-10453,0,Variant_B,Desktop,119.6
SESS-10454,0,Variant_B,Desktop,76.6
SESS-10455,1,Variant_B,Mobile,64.5
SESS-10456,0,Variant_B,Mobile,31.3
SESS-10457,0,Control,Desktop,74.7
SESS-10458,0,Control,Mobile,36.3
SESS-10459,0,Control,Mobile,174.1
SESS-10460,0,Control,Desktop,43.1
SESS-10461,0,Control,Desktop,22.2
SESS-10462,0,Control,Mobile,111.5
SESS-10463,0,Control,Mobile,123.5
SESS-10464,0,Variant_B,Mobile,261.6
SESS-10465,0,Control,Desktop,118.2
SESS-10466,0,Control,Desktop,65.9
SESS-10467,0,Control,Mobile,210.0
SESS-10468,0,Variant_B,Mobile,108.3
SESS-10469,0,Control,Desktop,24.9
SESS-10470,0,Control,Mobile,115.1
SESS-10471,0,Variant_B,Mobile,301.3
SESS-10472,0,Control,Tablet,75.6
SESS-10473,0,Control,Mobile,57.2
SESS-10474,0,Control,Desktop,33.6
SESS-10475,0,Control,Mobile,34.7
SESS-10476,0,Control,Mobile,83.0
SESS-10477,0,Control,Desktop,123.7
SESS-10478,0,Variant_B,Mobile,25.1
SESS-10479,1,Variant_B,Tablet,351.7
SESS-10480,0,Variant_B,Mobile,183.8
SESS-10481,0,Control,Mobile,121.0
SESS-10482,0,Variant_B,Mobile,226.5
SESS-10483,0,Control,Mobile,25.0
SESS-10484,0,Control,Mobile,92.7
SESS-10485,0,Variant_B,Mobile,134.3
SESS-10486,0,Control,Mobile,226.7
SESS-10487,0,Control,Mobile,198.6
SESS-10488,0,Variant_B,Desktop,53.9
SESS-10489,1,Variant_B,Desktop,354.4
SESS-10490,0,Control,Desktop,30.9
SESS-10491,0,Variant_B,Mobile,264.7
SESS-10492,0,Variant_B,Mobile,439.6
SESS-10493,0,Control,Desktop,38.4
SESS-10494,0,Control,Mobile,168.6
SESS-10495,0,Control,Mobile,19.9
SESS-10496,0,Control,Desktop,77.4
SESS-10497,0,Control,Desktop,102.2
SESS-10498,0,Variant_B,Mobile,119.3
SESS-10499,0,Variant_B,Mobile,344.7
SESS-10500,0,Variant_B,Desktop,148.9
SESS-10501,0,Control,Mobile,93.8
SESS-10502,1,Variant_B,Desktop,214.1
SESS-10503,0,Variant_B,Desktop,375.8
SESS-10504,0,Variant_B,Desktop,17.7
SESS-10505,0,Control,Mobile,500.6
SESS-10506,0,Variant_B,Mobile,25.8
SESS-10507,0,Control,Desktop,217.1
SESS-10508,0,Control,Desktop,54.5
SESS-10509,0,Control,Desktop,32.0
SESS-10510,0,Variant_B,Mobile,84.5
SESS-10511,1,Variant_B,Mobile,138.9
SESS-10512,1,Control,Desktop,72.5
SESS-10513,0,Control,Desktop,21.7
SESS-10514,0,Control,Desktop,124.8
SESS-10515,0,Control,Desktop,294.2
SESS-10516,0,Control,Mobile,73.0
SESS-10517,0,Control,Desktop,44.3
SESS-10518,0,Variant_B,Desktop,85.1
SESS-10519,0,Control,Mobile,20.9
SESS-10520,0,Control,Desktop,221.1
SESS-10521,0,Control,Mobile,225.1
SESS-10522,0,Variant_B,Mobile,121.4
SESS-10523,0,Variant_B,Desktop,67.3
SESS-10524,0,Variant_B,Mobile,208.0
SESS-10525,0,Control,Mobile,112.1
SESS-10526,1,Variant_B,Mobile,224.8
SESS-10527,0,Control,Mobile,134.8
SESS-10528,0,Variant_B,Mobile,199.1
SESS-10529,0,Variant_B,Mobile,124.5
SESS-10530,0,Variant_B,Desktop,79.2
SESS-10531,0,Variant_B,Mobile,395.3
SESS-10532,0,Variant_B,Mobile,108.5
SESS-10533,0,Control,Mobile,126.5
SESS-10534,1,Variant_B,Desktop,44.9
SESS-10535,0,Control,Mobile,132.9
SESS-10536,0,Variant_B,Desktop,116.7
SESS-10537,0,Control,Desktop,39.5
SESS-10538,1,Control,Desktop,22.4
SESS-10539,0,Control,Mobile,126.3
SESS-10540,0,Control,Desktop,188.1
SESS-10541,0,Control,Mobile,103.9
SESS-10542,0,Variant_B,Tablet,45.9
SESS-10543,0,Control,Desktop,146.8
SESS-10544,0,Control,Mobile,25.0
SESS-10545,1,Variant_B,Mobile,85.0
SESS-10546,0,Control,Mobile,36.4
SESS-10547,0,Variant_B,Desktop,39.5
SESS-10548,1,Variant_B,Mobile,42.1
SESS-10549,0,Variant_B,Mobile,73.7
SESS-10550,0,Variant_B,Mobile,21.3
SESS-10551,0,Control,Desktop,75.9
SESS-10552,0,Variant_B,Desktop,101.0
SESS-10553,0,Control,Desktop,94.2
SESS-10554,0,Control,Desktop,72.9
SESS-10555,0,Variant_B,Mobile,234.3
SESS-10556,0,Control,Mobile,33.8
SESS-10557,0,Variant_B,Desktop,99.6
SESS-10558,0,Variant_B,Mobile,22.7
SESS-10559,0,Variant_B,Mobile,23.9
SESS-10560,1,Variant_B,Mobile,117.4
SESS-10561,0,Control,Mobile,115.2
SESS-10562,0,Control,Mobile,267.5
SESS-10563,0,Variant_B,Desktop,112.9
SESS-10564,0,Control,Mobile,400.6
SESS-10565,0,Variant_B,Mobile,21.0
SESS-10566,1,Variant_B,Mobile,27.4
SESS-10567,0,Variant_B,Desktop,20.4
SESS-10568,0,Control,Mobile,39.6
SESS-10569,0,Control,Desktop,108.5
SESS-10570,0,Control,Desktop,139.5
SESS-10571,0,Control,Mobile,20.6
SESS-10572,0,Variant_B,Desktop,365.2
SESS-10573,0,Control,Tablet,236.5
SESS-10574,0,Control,Desktop,57.2
SESS-10575,0,Control,Desktop,24.6
SESS-10576,0,Variant_B,Mobile,37.3
SESS-10577,0,Variant_B,Mobile,31.3
SESS-10578,0,Control,Mobile,30.8
SESS-10579,0,Control,Mobile,102.7
SESS-10580,0,Control,Tablet,48.9
SESS-10581,0,Control,Mobile,68.2
SESS-10582,0,Variant_B,Desktop,561.8
SESS-10583,0,Variant_B,Desktop,153.4
SESS-10584,0,Control,Desktop,372.1
SESS-10585,0,Control,Tablet,33.5
SESS-10586,0,Variant_B,Mobile,72.8
SESS-10587,0,Control,Mobile,112.1
SESS-10588,0,Variant_B,Mobile,24.6
SESS-10589,0,Control,Mobile,15.5
SESS-10590,0,Control,Mobile,148.2
SESS-10591,0,Control,Mobile,138.2
SESS-10592,0,Variant_B,Desktop,78.5
SESS-10593,1,Variant_B,Mobile,95.7
SESS-10594,0,Control,Mobile,79.4
SESS-10595,0,Control,Desktop,17.9
SESS-10596,0,Control,Mobile,64.0
SESS-10597,1,Control,Mobile,38.4
SESS-10598,0,Control,Desktop,27.4
SESS-10599,0,Control,Desktop,391.8
SESS-10600,0,Variant_B,Desktop,124.8
SESS-10601,0,Control,Mobile,171.5
SESS-10602,1,Control,Desktop,60.5
SESS-10603,1,Variant_B,Desktop,74.9
SESS-10604,0,Control,Mobile,47.4
SESS-10605,1,Variant_B,Desktop,27.2
SESS-10606,0,Control,Desktop,38.7
SESS-10607,0,Variant_B,Mobile,206.7
SESS-10608,0,Variant_B,Mobile,150.8
SESS-10609,0,Variant_B,Tablet,110.0
SESS-10610,0,Variant_B,Desktop,92.3
SESS-10611,0,Control,Mobile,321.8
SESS-10612,0,Variant_B,Desktop,24.1
SESS-10613,0,Control,Mobile,54.5
SESS-10614,0,Control,Mobile,66.7
SESS-10615,0,Control,Mobile,198.0
SESS-10616,0,Variant_B,Tablet,602.4
SESS-10617,0,Control,Tablet,48.0
SESS-10618,1,Variant_B,Mobile,263.9
