Variable_1,Variable_2,Pearson_r,Pearson_p,CI_Lower,CI_Upper,Spearman_rho,Spearman_p,Abs_Diff,Strength,Direction,Is_Significant,Is_Strong,Is_Multicollinear,Is_Divergent
Cost_Price,Page_Views,0.3579,1.424288156870093e-37,0.3075,0.4062,0.3239,1.0593268255540486e-30,0.034,Weak (0.20 - 0.39),Positive,True,False,False,False
Discount,Revenue,-0.028,0.3321225028260787,-0.0845,0.0286,-0.0605,0.03624577611852186,0.0324,Very Weak (0.00 - 0.19),Negative,False,False,False,False
Discount,Cost,-0.0122,0.6735156627532777,-0.0687,0.0444,-0.0059,0.8382696099376108,0.0063,Very Weak (0.00 - 0.19),Negative,False,False,False,False
Discount,Profit,-0.2661,6.7220281912494285e-21,-0.3179,-0.2127,-0.1598,2.6254496281748484e-08,0.1063,Weak (0.20 - 0.39),Negative,True,False,False,False
Discount,Profit_Margin,-0.4775,2.3625296088041824e-69,-0.52,-0.4326,-0.631,2.9498252509832797e-134,0.1535,Moderate (0.40 - 0.59),Negative,True,False,False,False
Discount,Customer_Rating,-0.0691,0.016617978064300074,-0.1252,-0.0126,-0.0684,0.017862493061679686,0.0008,Very Weak (0.00 - 0.19),Negative,True,False,False,False
Discount,Delivery_Time_Days,-0.0144,0.6192205847029156,-0.0709,0.0423,-0.0091,0.7531914888472807,0.0053,Very Weak (0.00 - 0.19),Negative,False,False,False,False
Discount,Marketing_Spend,-0.0254,0.3795282699438113,-0.0819,0.0312,-0.0722,0.01241443150143188,0.0468,Very Weak (0.00 - 0.19),Negative,False,False,False,False
Discount,Page_Views,-0.0576,0.04604896029268696,-0.1138,-0.001,-0.046,0.11139831576033946,0.0116,Very Weak (0.00 - 0.19),Negative,True,False,False,False
Revenue,Cost,0.7821,2.5207680028554683e-248,0.7591,0.8031,0.9911,0.0,0.209,Strong (0.60 - 0.79),Positive,True,True,True,True
Revenue,Profit,0.5228,3.7766752609806295e-85,0.4805,0.5628,0.9789,0.0,0.456,Moderate (0.40 - 0.59),Positive,True,False,False,True
Revenue,Profit_Margin,0.0322,0.2647831526705515,-0.0244,0.0886,0.0475,0.10014140492643654,0.0153,Very Weak (0.00 - 0.19),Positive,False,False,False,False
Revenue,Customer_Rating,-0.0358,0.21468134334609565,-0.0922,0.0208,-0.0557,0.05360832814075757,0.0199,Very Weak (0.00 - 0.19),Negative,False,False,False,False
Revenue,Delivery_Time_Days,0.0679,0.0185710940879381,0.0114,0.1241,0.1294,6.936623146754923e-06,0.0614,Very Weak (0.00 - 0.19),Positive,True,False,False,False
Revenue,Marketing_Spend,0.2334,2.637645502209219e-16,0.1791,0.2862,0.9677,0.0,0.7343,Weak (0.20 - 0.39),Positive,True,False,False,True
Revenue,Page_Views,0.7013,2.829526657743986e-178,0.6713,0.7289,0.8896,0.0,0.1883,Strong (0.60 - 0.79),Positive,True,True,False,False
Cost,Profit,0.8598,0.0,0.8443,0.8739,0.9644,0.0,0.1045,Very Strong (0.80 - 1.00),Positive,True,True,True,False
Cost,Profit_Margin,-0.0077,0.7889814015277724,-0.0643,0.0489,-0.0391,0.17576857609057744,0.0314,Very Weak (0.00 - 0.19),Negative,False,False,False,False
Cost,Customer_Rating,-0.0627,0.029745779537885323,-0.1189,-0.0062,-0.0606,0.035759333322916066,0.0021,Very Weak (0.00 - 0.19),Negative,True,False,False,False
Cost,Delivery_Time_Days,0.11,0.00013451966251971538,0.0537,0.1656,0.1311,5.161589642428199e-06,0.0212,Very Weak (0.00 - 0.19),Positive,True,False,False,False
Cost,Marketing_Spend,0.299,3.370592911540759e-26,0.2465,0.3496,0.9668,0.0,0.6678,Weak (0.20 - 0.39),Positive,True,False,False,True
Cost,Page_Views,0.903,0.0,0.8919,0.9129,0.8919,0.0,0.011,Very Strong (0.80 - 1.00),Positive,True,True,True,False
Profit,Profit_Margin,0.1567,4.825078358831876e-08,0.101,0.2115,0.192,2.0152971816193087e-11,0.0352,Very Weak (0.00 - 0.19),Positive,True,False,False,False
Profit,Customer_Rating,-0.0369,0.20184430835452935,-0.0933,0.0198,-0.0491,0.08936370676011747,0.0122,Very Weak (0.00 - 0.19),Negative,False,False,False,False
Profit,Delivery_Time_Days,0.1081,0.00017443630320983586,0.0519,0.1637,0.1343,3.0197486623434475e-06,0.0262,Very Weak (0.00 - 0.19),Positive,True,False,False,False
Profit,Marketing_Spend,0.2621,2.7049557443588688e-20,0.2086,0.314,0.9596,0.0,0.6976,Weak (0.20 - 0.39),Positive,True,False,False,True
Profit,Page_Views,0.8093,4.218847789407657e-279,0.7888,0.828,0.8789,0.0,0.0696,Very Strong (0.80 - 1.00),Positive,True,True,True,False
Profit_Margin,Customer_Rating,0.0359,0.21392081367636104,-0.0207,0.0923,0.0297,0.30402040444455813,0.0062,Very Weak (0.00 - 0.19),Positive,False,False,False,False
Profit_Margin,Delivery_Time_Days,0.0252,0.3837271340351244,-0.0315,0.0816,0.0189,0.5133283807360782,0.0063,Very Weak (0.00 - 0.19),Positive,False,False,False,False
Profit_Margin,Marketing_Spend,0.0053,0.8538476231910893,-0.0513,0.0619,0.0545,0.05908276990212151,0.0492,Very Weak (0.00 - 0.19),Positive,False,False,False,False
Profit_Margin,Page_Views,0.0379,0.18986895036284665,-0.0188,0.0943,0.0355,0.21953489349362368,0.0024,Very Weak (0.00 - 0.19),Positive,False,False,False,False
Customer_Rating,Delivery_Time_Days,-0.2965,8.752300265854169e-26,-0.3473,-0.244,-0.3027,7.685181388876797e-27,0.0061,Weak (0.20 - 0.39),Negative,True,False,False,False
Customer_Rating,Marketing_Spend,-0.0228,0.42937134367218405,-0.0793,0.0338,-0.0597,0.0387894183916087,0.0368,Very Weak (0.00 - 0.19),Negative,False,False,False,False
Customer_Rating,Page_Views,-0.0658,0.02261067298372737,-0.1219,-0.0093,-0.0701,0.01520280642532211,0.0042,Very Weak (0.00 - 0.19),Negative,True,False,False,False
Delivery_Time_Days,Marketing_Spend,0.006,0.8358168097745678,-0.0506,0.0626,0.1284,8.171178270882367e-06,0.1224,Very Weak (0.00 - 0.19),Positive,False,False,False,False
Delivery_Time_Days,Page_Views,0.1443,5.131024180301539e-07,0.0885,0.1993,0.1565,5.102112808241611e-08,0.0121,Very Weak (0.00 - 0.19),Positive,True,False,False,False
Marketing_Spend,Page_Views,0.276,1.987934931464678e-22,0.2229,0.3275,0.8898,0.0,0.6138,Weak (0.20 - 0.39),Positive,True,False,False,True
